municipio_ibge,uf,regiao,portfolio_hhi_norm,portfolio_cr1,portfolio_cr4,exposicao_strength,log_populacao,log_despesa_pc,log_n_fornecedores,log_instr_por_forn,n_compradores
1100098,RO,Norte,0.4514025222277189,0.7395515587368828,1.0,0.866535365624302,10.299642791318515,8.63743931587361,1.2424533248940002,0.5352207058507067,2
1100114,RO,Norte,0.170297762535814,0.4939293863914269,0.902273230567778,0.2092597310595789,10.860728270739237,8.634462801599776,1.791759469228055,0.4054651081081644,1
1100205,RO,Norte,0.3636586652231567,0.5194709823252536,0.9999999848369648,0.8900257200883122,13.042774566703974,8.7137498010885,1.6094379124341003,0.0,1
1100304,RO,Norte,0.691565239520426,0.8642239741300479,0.9960801987652074,0.8218064589528167,11.467917638733738,8.908658115068427,1.6094379124341003,0.1823215567939546,1
1100809,RO,Norte,0.3122599227714567,0.5740255240082492,0.9963923872659648,0.9738179600764546,10.024110994859866,8.751500918640012,1.791759469228055,0.15415067982725836,1
1300607,AM,Norte,0.2774934054307465,0.5660885295368222,0.9022291727643488,0.4614761961000299,10.530388087277148,9.111639161989755,2.0794415416798357,0.11778303565638346,1
1300631,AM,Norte,0.1991910476825988,0.5530005310674455,1.0,0.681411885840655,9.943044747534582,8.84479793156789,1.3862943611198906,0.22314355131420976,1
1302900,AM,Norte,0.1045768784645435,0.3197116781956635,0.9190257513224438,0.5635945111043087,11.021363107385085,8.637783883116123,1.791759469228055,0.0,1
1500107,PA,Norte,0.1493820051264632,0.3572579014252551,0.9172058966607304,0.9635253951280331,11.970616099469298,8.417802929492748,2.1972245773362196,0.0,1
1500602,PA,Norte,0.3539011921531308,0.6028093194917518,0.9390737562020259,0.9660588821245474,11.813526230602589,8.627965000652848,2.14108232117784,0.07438118377140325,3
1501402,PA,Norte,0.5565092462501148,0.7476467448620329,0.8786269350299599,0.9901295327524264,14.128374879212613,8.321525629676223,3.7376696182833684,0.04652001563489291,1
1501451,PA,Norte,0.0655271334321096,0.2825744352082722,0.999999529042608,0.6759330800055472,9.801454826970977,8.770520110075095,1.6094379124341003,0.0,1
1501725,PA,Norte,0.0322484206348812,0.198864466854428,0.5718449432075098,0.9238283029025788,10.31606067210367,8.703236328740372,2.4849066497880004,0.08004270767353636,1
1502400,PA,Norte,0.09946571045755845,0.382506740343365,0.868128720758993,0.7753135964273313,12.206087645417675,8.489729098358575,1.868834809141684,0.0,2
1504208,PA,Norte,0.2817753123839747,0.47951034148388727,0.769712307444539,0.7914482989413449,12.511057900738024,8.784919064153856,2.8672433943602615,0.08534656285591047,4
1505304,PA,Norte,0.38338261711731697,0.5692483181715235,0.7952009893202703,0.9002585726674512,11.240329029936488,8.704133321829488,2.484906649788,0.13860538629224278,2
1505536,PA,Norte,0.1716217089388737,0.5390985334053803,1.0,0.6402501404010443,12.512000987722962,9.117562423504346,1.3862943611198906,0.6931471805599453,1
1508100,PA,Norte,0.14613361602590882,0.40106551150606085,0.8205928499175577,0.9746051352093676,11.410139410319752,9.084620835021932,2.2674649211081035,0.32359297238607493,3
1702109,TO,Norte,0.4486247383077409,0.6147170662211561,0.9293903009108226,0.853129912731997,12.138152412846193,8.736774179723126,2.109312261243065,0.0,3
1703701,TO,Norte,0.0591807271527953,0.2016422900342042,0.568055137067787,0.7426973799765407,8.46653127661401,9.125978882457792,2.995732273553991,0.0,1
1705508,TO,Norte,0.2895093571980669,0.4994894013127233,0.8376286674527796,0.8204013051432333,10.433144744037243,8.917360425810193,2.1930837373367003,0.031770059934774976,3
1709500,TO,Norte,0.3005868141537279,0.4992118141144752,0.8447339144869962,0.8297069784209614,11.336391129857876,9.05307348192812,2.35268248669366,0.28342451652939754,12
1711902,TO,Norte,0.14273111494745983,0.3391509953681921,0.7784758114386108,0.8122507666818737,9.687629894522718,8.68571431462893,2.3052411495437712,0.09983884336626125,3
1713809,TO,Norte,0.0114098659482964,0.2490297544638112,0.7314955517295176,0.5589152734944635,8.58653266949485,8.995106080756653,1.791759469228055,0.0,1
1714880,TO,Norte,0.3542599243777674,0.5852303315423426,0.7938671215122797,0.8055538223676124,9.245031611766112,8.85412881984766,2.3502401828962083,0.08352704233158312,2
1716505,TO,Norte,0.2818704123386774,0.4952989961146697,0.885859969498361,0.7831877049663829,9.593900644696298,8.757666487373145,2.097189713186107,0.026680902557845453,3
1718204,TO,Norte,0.0941234153674418,0.29503340667032846,0.8107323536854452,0.8807502702904968,11.171856680390034,8.760957913237968,2.983073369561846,0.30306790178515775,2
2100055,MA,Nordeste,0.1740766679099377,0.4301311239902127,0.8361709926698233,0.9363349323757512,11.58303904156588,8.814736798933652,2.3978952727983707,0.0,1
2101707,MA,Nordeste,0.0555080396230728,0.1840583453830639,0.4816180423483634,0.974242874531154,11.146373330360662,8.568972847390201,3.6375861597263857,1.289667525430819,1
2102002,MA,Nordeste,0.1755371049146043,0.392231382986505,0.9060278978261498,0.693137593665703,10.401045549301214,8.86370123872705,1.9459101490553132,0.4519851237430572,1
2102325,MA,Nordeste,0.0389440623657906,0.2049585651960268,0.6429145753725031,0.5325479382807009,10.866566445909042,9.041119967576458,2.302585092994046,0.1823215567939546,1
2110856,MA,Nordeste,0.3281363662706163,0.6316457055556569,0.8631871289930629,0.7690132257557266,9.086702731518004,8.962419749627866,1.9459101490553132,0.0,1
2211001,PI,Nordeste,0.12488666841780925,0.28722283116406233,0.7877993794087438,0.7589176971920015,13.674549346753633,8.681824304305707,2.7803408155077642,0.04765508990216247,2
2300754,CE,Nordeste,0.28688774700149905,0.48662412203667604,0.8426006879697041,0.8580022646729203,10.768190209737188,8.748573786297856,2.575094915420043,0.04098199622938852,13
2302206,CE,Nordeste,0.0684996465534609,0.2940755329263542,0.8353242246912448,0.5068891003088003,10.872863971501873,8.699625509249652,1.9459101490553132,0.0,1
2302602,CE,Nordeste,0.0792812513390863,0.2944527928171997,0.8331651125572178,0.8209253808492043,11.041624995190192,8.494627718558366,2.0794415416798357,0.3184537311185346,1
2303204,CE,Nordeste,0.244897452688448,0.5747316515830302,0.9777503833548814,0.8305650278866903,10.174887792413626,8.655939747490638,1.6094379124341003,0.0,1
2304400,CE,Nordeste,0.0874720996384982,0.2386643678763541,0.6389125240584786,0.8270452496763882,14.769542832635354,8.590297034307847,3.091042453358316,0.127833371509885,1
2304459,CE,Nordeste,0.04351797962244945,0.24575474096229866,0.6250190067374913,0.6250875232956994,9.758924101344775,8.915779932895546,2.3502401828962083,0.13466646689179215,2
2306900,CE,Nordeste,0.4032469848696158,0.6934757708234122,0.9207673516230268,0.8023050622050473,10.40259478334792,9.028539887875,1.791759469228055,0.0,1
2307254,CE,Nordeste,0.0908621134441136,0.28732495245613787,0.671638358043804,0.7874766094393038,10.291195939055033,8.9021673335534,2.7917481543908496,0.23429643007135886,2
2308708,CE,Nordeste,0.0260340614239073,0.1671005729747588,0.6593919668856904,0.578610665948382,11.0176450525397,8.632101792054282,2.0794415416798357,0.0,1
2309300,CE,Nordeste,0.1002623347690825,0.3293391851706905,0.6148061173928311,0.6944894185394136,10.32607195245168,8.889811297500103,2.772588722239781,0.0,1
2309706,CE,Nordeste,0.0688746268659575,0.2285076319576786,0.588125799541497,0.9269893501038504,11.31972899002397,8.361394028870722,2.833213344056216,0.0,1
2311355,CE,Nordeste,0.0695261848486571,0.3222534377927191,0.7490254666334063,0.6949298270596722,9.673822784231653,8.903731952932997,2.0794415416798357,0.5596157879354227,1
2311405,CE,Nordeste,0.2707483736476491,0.4915742846289668,0.9213978655699644,0.9396932201370436,11.270879381152955,8.752183796617851,3.044522437723423,0.0,1
2313005,CE,Nordeste,0.0602081226301348,0.3086345252656199,0.8809821855839213,0.7120816828025648,9.80272754938498,8.999984221244171,1.791759469228055,0.15415067982725836,1
2314003,CE,Nordeste,0.17338992608608064,0.40031000889800383,0.7350168844376885,0.8429866888149959,10.566819648016887,8.610721046763317,2.7058230259275198,0.0,2
2400208,RN,Nordeste,0.8051268613141114,0.9134422983034982,0.9928468963970104,0.9417777049566112,10.941677282305049,8.54349378635074,1.791759469228055,0.0,1
2402006,RN,Nordeste,0.0531558325753522,0.1839355049111784,0.7357420196447139,0.8803174861767469,11.021248660042998,8.509190834678046,2.0794415416798357,0.0,1
2403608,RN,Nordeste,0.445472297935569,0.6940314641796204,0.8619271421191541,0.8530525214550513,11.02485561999279,8.530795456995339,2.3978952727983707,0.0,1
2405702,RN,Nordeste,0.1208904624603827,0.3411390205472296,0.8638435991303797,0.4848555242405074,9.360741172643708,8.486799475639739,2.1972245773362196,0.20067069546215124,1
2406007,RN,Nordeste,0.0333793294293436,0.2216245937389304,0.6365196951136957,0.6246609049262452,8.66544076787644,8.877625508689002,2.1972245773362196,0.0,1
2407401,RN,Nordeste,0.1424861715466528,0.393654459094146,0.8725257022753514,0.7279240655481624,9.009202900924588,8.659915259442002,1.9459101490553132,0.13353139262452257,1
2408102,RN,Nordeste,0.3796542531353689,0.6874110882926259,1.0000000000000002,0.9036089786325904,13.530401173311427,8.753977994661875,1.3862943611198906,0.5596157879354227,1
2411908,RN,Nordeste,0.5520503904904384,0.7814125653549865,0.9889365004288492,0.7535795227738813,8.336150816120663,9.059742821128795,1.6094379124341003,0.0,1
2412005,RN,Nordeste,0.1638174328209101,0.3694793668848085,0.7155253783361817,0.9064207512056284,11.656740053834168,8.427984553591102,3.332204510175204,0.10178269430994238,1
2413805,RN,Nordeste,0.1814442632917657,0.3605330612554831,0.7910524201721556,0.6880859723347545,7.75491027202143,9.407097879102547,2.5619819897016294,0.0,2
2414902,RN,Nordeste,0.1354778667162673,0.3557063198285383,0.854707236760385,0.5049450925497141,7.507690077819904,9.513702662889818,2.0794415416798357,0.11778303565638346,1
2503704,PB,Nordeste,0.8572904849442748,0.9380459938797188,0.987415592506818,0.9708541418396488,11.052761269339682,8.614466155565712,1.791759469228055,0.0,1
2504009,PB,Nordeste,0.18134322732787614,0.31499723586396555,0.4845088374352107,0.8774917314576474,12.943571583660619,8.55391832054867,4.293359627032424,0.38485541189161504,2
2506301,PB,Nordeste,0.1010261864803422,0.2175252260859136,0.6366477872254814,0.9082135184798322,10.962336314087443,8.442275728180254,3.4339872044851463,0.03174869831458027,1
2507507,PB,Nordeste,0.2615253882879281,0.4836907708208712,0.7822994545059228,0.967048857714023,13.698547436086704,8.603770679453008,3.5888912080975985,0.17795564682671755,2
2508901,PB,Nordeste,0.101333325595283,0.44200668807257,0.9196811451702936,0.8711310230275189,10.705466716232126,8.512122813872313,1.6094379124341003,0.0,1
2513703,PB,Nordeste,0.1463163053880073,0.439376503818391,0.9345468493914983,0.6244236280434246,11.908198813083555,8.3834788407838,1.791759469228055,0.15415067982725836,1
2514453,PB,Nordeste,0.0081759611888565,0.207107696001921,0.653319726257654,0.5015599347483346,8.679312040892672,9.00766186585757,1.9459101490553132,0.0,1
2515302,PB,Nordeste,0.09919028418939521,0.26170351944544623,0.714500345585257,0.8077236947206511,10.84236135641054,8.575424617330485,2.7058230259275198,0.08592512846332961,2
2600401,PE,Nordeste,0.06840395178907345,0.2757743926372034,0.726453050537321,0.7680890451495853,10.183880624651032,8.717955747330812,2.2924837393352857,0.13353139262452257,2
2602209,PE,Nordeste,0.16702217558107954,0.35261388550035805,0.762991811628451,0.9151405074098581,10.523795186919116,8.603492483536275,2.4508137000811945,0.04435016926239068,3
2604007,PE,Nordeste,0.14179489872137316,0.31363676308729704,0.6988447683308308,0.8910032362216292,11.275492808921575,8.348887069352507,3.290780342469124,0.08910824479593782,4
2604155,PE,Nordeste,0.0079711566856836,0.2267573200413915,0.8695946832232958,0.6020460852796908,9.44375103564617,9.020714600498833,1.6094379124341003,0.1823215567939546,1
2607109,PE,Nordeste,0.1126486152471276,0.2978660834100174,0.7361520400193573,0.7929507163631088,8.465899897028686,9.303335293925382,2.70805020110221,0.42744401482693967,1
2608008,PE,Nordeste,0.0277777777777778,0.2777777777777778,0.6666666666666667,0.502354025847913,9.643355794171352,8.893244312455021,1.9459101490553132,0.0,1
2608453,PE,Nordeste,0.03321304537175015,0.2258730439151276,0.6054114582598582,0.6432353479777602,9.762384711558127,8.783135911280516,2.302585092994046,0.04765508990216247,2
2608909,PE,Nordeste,0.11173537837352217,0.25673542617111894,0.6262569934155359,0.827364659724025,10.931623727399913,8.42183366343006,3.8872990140275427,0.06575098365049686,3
2609105,PE,Nordeste,0.2399359698933202,0.509007529219694,0.8847114166425003,0.7780939108445394,9.311813340906816,9.110996344839911,1.791759469228055,0.07707533991362918,2
2610608,PE,Nordeste,0.23124169460932043,0.42168931688775996,0.7502629927584147,0.9137798721834405,10.916396699011266,8.588793789040599,3.6517043499933,0.1781130196015618,3
2611606,PE,Nordeste,0.1581502487271734,0.3236462636655953,0.6659595262724268,0.9414507807144353,14.217359803379725,8.773935827603683,3.1819373694212705,0.3341049735890726,3
2612471,PE,Nordeste,0.1279109308489546,0.3361746547248915,0.6891358398537182,0.911023025109728,9.358587948436385,8.89991854272801,2.9444389791664403,0.3136575588550416,1
2612703,PE,Nordeste,0.0525663276409459,0.3069998360838136,0.9481156268237598,0.8843063696409876,9.526245403371703,8.588498419509065,1.6094379124341003,0.0,1
2613602,PE,Nordeste,0.14559848483657245,0.32682241701296444,0.5815827495788565,0.8287359903595628,10.34669792688655,8.611972794240238,3.1549591391132585,0.08352704233158312,2
2614600,PE,Nordeste,0.164205137847368,0.4166405195997037,0.8541332271110107,0.8427112181105714,10.222123085309558,8.47207463424176,2.0715673631957663,0.0,2
2615003,PE,Nordeste,0.3997569977013716,0.5386524339454011,0.7701181578189125,0.6586083858226339,10.099670922267554,8.459029115921641,2.6590599969221085,0.0,2
2615904,PE,Nordeste,0.1092849788754295,0.3005529909896344,0.7442121198313596,0.8260761724652923,8.989444293202451,9.013378982905241,2.1972245773362196,0.0,2
2700300,AL,Nordeste,0.06765245179184165,0.2826782066706039,0.7833190855321674,0.30643095780853286,12.36770242985551,8.695563715498377,2.0715673631957663,0.06676569631226129,2
2704302,AL,Nordeste,0.3054264505637278,0.5126836034759997,0.8665851596083524,0.760469104097524,13.775383113854698,8.618511594614546,2.247067030414013,0.062168681828164846,9
2706406,AL,Nordeste,0.6077836668065069,0.8081988022999722,0.9967260572597428,0.9576218164895278,10.074116010739036,8.99833765902499,1.791759469228055,0.0,1
2709152,AL,Nordeste,0.1980392509299365,0.459451037277245,0.7598279039982136,0.9040288527931568,10.545315122572783,9.079862321208301,2.5649493574615367,0.0,1
2800308,SE,Nordeste,0.3500802860827405,0.5611251543904472,0.8842820894272816,0.8785931701441495,13.31349435042941,8.799322982808317,2.0692504034575387,0.44744848352827016,11
2800605,SE,Nordeste,0.3124744391887324,0.5169458837189882,0.9809505441849552,0.8415086143690367,10.636912579594643,9.008900767370678,2.1972245773362196,0.0,1
2802304,SE,Nordeste,0.3610030028337272,0.5810640304716324,0.9460633825691559,0.9106850852389596,9.586102000710904,8.698712656022984,2.0948273710132126,0.04350568849481485,2
2802908,SE,Nordeste,0.3663099305975792,0.5494176890933549,0.9290924379655392,0.9667362129909325,11.54848564036878,8.600230485674867,2.84686606940135,0.4315231086776714,2
2803005,SE,Nordeste,0.20996130845535524,0.37650013405868127,0.9406965306019004,0.9158874178393116,10.604429276561985,8.544515955754939,2.2154083994216567,0.0,2
2803203,SE,Nordeste,0.064394866302154,0.3433521736833764,0.9308767931661598,0.8094416890508322,10.446218737313103,8.747083091965807,1.6094379124341003,0.0,1
2803302,SE,Nordeste,0.302989574088015,0.514109832891484,0.6832653009423852,0.8815236905066665,9.670798588378387,9.008949026378614,2.772588722239781,0.03031231090821742,2
2803500,SE,Nordeste,0.37357252736419655,0.5719924927426132,0.9335793901305075,0.9510999570559018,11.529212114532909,8.47879699921117,1.9459101490553132,0.0,2
2804300,SE,Nordeste,0.051310443807990005,0.21917070067087796,0.6994055103947187,0.6925857473743835,8.964567702601611,8.744762210964524,2.3221954495706862,0.3368645473514219,2
2804508,SE,Nordeste,0.09265649860599767,0.2569495968057441,0.610778500112302,0.8353520816283938,10.627818428076326,8.728412998922357,3.2767033609104512,0.12773744896589653,3
2804607,SE,Nordeste,0.2940398087908883,0.5533076315045806,0.8527750861352223,0.8789176070654328,10.126631103850338,8.63298558665314,2.2975599250672953,0.04350568849481485,2
2804805,SE,Nordeste,0.392210486993743,0.6082681476873697,0.8677461592060265,0.972335976097465,12.167201871141181,8.281803278007809,2.1383330595080277,0.0,2
2805109,SE,Nordeste,0.11899090064944676,0.3375140946372216,0.9125832560011181,0.7419068398282346,8.9082888855571,9.154444380557177,1.9560115027140732,0.04765508990216247,2
2805406,SE,Nordeste,0.19946607404481098,0.470088921463102,0.9089194289208751,0.8008953875117955,10.418165745617609,8.586677525364387,2.0471722811110507,0.0,2
2805505,SE,Nordeste,0.34638940655357986,0.6479562671213042,0.9701751504870653,0.9283397582933954,9.988563724891247,8.559144291504433,1.7005986908310775,0.0,2
