modelo,tipo,termo,coef,erro_padrao,p,ci95_inf,ci95_sup,papel
WLS_HHI_norm,WLS_peso_municipio_cluster,Intercept,0.16586848310502075,0.24971336830649946,0.5065395981058147,-0.323560725233904,0.6552976914439455,concentracao
WLS_HHI_norm,WLS_peso_municipio_cluster,C(regiao)[T.Nordeste],-0.02433419537602578,0.0203234534802309,0.23117192040841228,-0.06416743223875356,0.015499041486702,concentracao
WLS_HHI_norm,WLS_peso_municipio_cluster,C(regiao)[T.Norte],0.004242162091178914,0.03372816481201665,0.8999099809634091,-0.06186382620500489,0.07034815038736272,concentracao
WLS_HHI_norm,WLS_peso_municipio_cluster,C(regiao)[T.Sudeste],0.04214828233288961,0.01939890722975617,0.029801829974412674,0.004127122823133843,0.08016944184264538,concentracao
WLS_HHI_norm,WLS_peso_municipio_cluster,C(regiao)[T.Sul],0.07202799496770283,0.017598293463777413,4.260177777105522e-05,0.037535973589332465,0.10652001634607319,concentracao
WLS_HHI_norm,WLS_peso_municipio_cluster,log_populacao,0.020589508702468225,0.005148609702751349,6.359927634753126e-05,0.010498419114622109,0.030680598290314342,concentracao
WLS_HHI_norm,WLS_peso_municipio_cluster,log_despesa_pc,0.0004518930613671652,0.02437149693748622,0.9852065780474405,-0.047315363185434056,0.04821914930816838,concentracao
WLS_HHI_norm,WLS_peso_municipio_cluster,log_n_fornecedores,-0.07151725548261698,0.007443815253603786,7.425422255773162e-22,-0.08610686528725028,-0.05692764567798367,concentracao
WLS_HHI_norm,WLS_peso_municipio_cluster,log_instr_por_forn,0.030115289848048902,0.016715236759160805,0.071597818855272,-0.0026459721929662887,0.06287655188906409,concentracao
MUNI_HHI_norm,OLS_municipio_HC3,Intercept,0.17415400374748252,0.2559652522925833,0.496262977742985,-0.32752867203968933,0.6758366795346544,concentracao
MUNI_HHI_norm,OLS_municipio_HC3,C(regiao)[T.Nordeste],-0.026029253805135853,0.020578719262783637,0.20592056091758626,-0.06636280240815244,0.014304294797880732,concentracao
MUNI_HHI_norm,OLS_municipio_HC3,C(regiao)[T.Norte],0.0016784341753927963,0.03518263315449546,0.9619502922318904,-0.06727825968870314,0.07063512803948872,concentracao
MUNI_HHI_norm,OLS_municipio_HC3,C(regiao)[T.Sudeste],0.04153834953530477,0.019482025385997963,0.03299557569613485,0.0033542814328537188,0.07972241763775581,concentracao
MUNI_HHI_norm,OLS_municipio_HC3,C(regiao)[T.Sul],0.0753649278906038,0.018275560078394894,3.726571744463126e-05,0.039545488339651796,0.1111843674415558,concentracao
MUNI_HHI_norm,OLS_municipio_HC3,log_populacao,0.020676725455668264,0.005260627349608738,8.478081132339849e-05,0.010366085314348737,0.03098736559698779,concentracao
