orgao_cnpj,portfolio_hhi_mar,portfolio_hhi_norm_mar,portfolio_cr1_mar,portfolio_cr4_mar,count_hhi_mar,count_hhi_norm_mar,exposicao_strength_global_mar,exposicao_degree_global_mar,n_fornecedores_mar,n_instrumentos_mar,quadrante_mar,exposicao_oculta_mar,portfolio_hhi_abr,portfolio_hhi_norm_abr,portfolio_cr1_abr,portfolio_cr4_abr,count_hhi_abr,count_hhi_norm_abr,exposicao_strength_global_abr,exposicao_degree_global_abr,n_fornecedores_abr,n_instrumentos_abr,quadrante_abr,exposicao_oculta_abr,delta_hhi,delta_hhi_norm,delta_exposicao_strength,quadrante_estavel
01397083000167,0.3972133065598983,0.3570275269972249,0.5710187418288565,0.9252499135275686,0.0743801652892562,0.0126721763085399,0.6618984138330563,0.6608090760711074,16,22,hhi_alto,False,0.2366719241252105,0.2073131519761801,0.4217927108953458,0.7559180680094052,0.0665294924554183,0.0306267806267806,0.684335781921302,0.7464542544696515,27,54,baixo_baixo,False,-0.1605413824346878,-0.1497143750210448,0.0224373680882457,False
01404511000131,0.2274182779097953,0.1867560820103109,0.3463398847135283,0.8876948194928246,0.08203125,0.0337171052631578,0.7158535114071404,0.4237897571152078,20,32,baixo_baixo,False,0.1695751351530033,0.1409397949858655,0.3092165129053812,0.7318948808157161,0.0710059171597633,0.0389716384411344,0.7427881757581279,0.4147747648465809,30,52,baixo_baixo,False,-0.057843142756792004,-0.0458162870244454,0.02693466435098757,True
01420402000108,0.2070496206486367,0.1079308232297163,0.3540265803156501,0.8163968590761794,0.1239669421487603,0.0144628099173553,0.6484428800362312,0.7946867962728098,9,11,baixo_baixo,False,0.7028043610551932,0.6757865756965744,0.8355120608031337,0.9359562280766384,0.0918367346938775,0.0092764378478664,0.8531973680651624,0.4626017349862958,12,14,hhi_alto,False,0.4957547404065565,0.5678557524668582,0.20475448802893126,False
01465988000127,0.1406400207143756,0.1241138672665752,0.3073836316156011,0.6208619397544702,0.0422191739064167,0.0238003118661554,0.824931488696342,0.6451281261510384,53,81,baixo_baixo,False,0.1009652556342129,0.0894391691679849,0.2323459317078937,0.5483085366382829,0.0267069790879314,0.0142288634352126,0.8044029908250854,0.6114692137758163,79,126,baixo_baixo,False,-0.0396747650801627,-0.03467469809859029,-0.020528497871256657,True
01600293000100,0.2739602189198392,0.1529535887398123,0.4522186979869987,0.8634429979780606,0.1428571428571428,0.0,0.7499846767775312,0.9871552537329988,7,7,baixo_baixo,False,0.1873950118486135,0.1395947184279437,0.3700129415584127,0.7046651377937484,0.0672153635116598,0.0123456790123456,0.8038253417223027,0.993474759277767,18,27,baixo_baixo,False,-0.08656520707122567,-0.01335887031186861,0.053840664944771466,True
01610999000153,0.2179819651579029,0.1062651030376033,0.297441998810232,0.8647111035570286,0.125,0.0,0.722963215304371,0.9889191873724316,8,8,baixo_baixo,False,0.379511129578573,0.3231030504493524,0.5953658643055947,0.843736029178226,0.0887573964497041,0.0059171597633136,0.810395809357148,0.993698502680622,12,13,hhi_alto,False,0.1615291644206701,0.2168379474117491,0.08743259405277692,False
01648573000199,0.3440094100351512,0.3228484232620915,0.5761637751459782,0.7242194846559543,0.0343316289262235,0.0031810363109404,0.8826216585759108,0.5129467756364453,32,37,baixo_baixo,False,0.3289291467145105,0.307958182549339,0.5630230539799139,0.7077020173638056,0.035,0.00484375,0.8775445428704077,0.5395688961893396,33,40,baixo_baixo,False,-0.015080263320640663,-0.014890240712752523,-0.005077115705503066,True
01650166000116,0.2138000615108942,0.1576429230473867,0.4144727530102292,0.6717912538374133,0.074074074074074,0.0079365079365079,0.6945728529735713,0.4870381266049738,15,18,baixo_baixo,False,0.2138000615108942,0.1576429230473867,0.4144727530102292,0.6717912538374133,0.074074074074074,0.0079365079365079,0.6797993646672814,0.4842487104156421,15,18,baixo_baixo,False,0.0,0.0,-0.014773488306289884,True
01746653000187,0.0371363924432176,0.0280527735040027,0.0963596351879562,0.2681495461670998,0.0237746388590004,0.0145649656406891,0.9125488217928412,0.995678318115716,107,418,baixo_baixo,False,0.034610940319132,0.0275643048470088,0.0926148921164038,0.2723206939978005,0.0214382758804411,0.0142954895729991,0.914523868022002,0.9961280917729416,138,548,baixo_baixo,False,-0.0025254521240856004,-0.0004884686569938991,0.0019750462291607818,True
01815216000178,0.1035861143336811,0.0900040857629793,0.2519416176137219,0.5151051899193506,0.0163257646838055,0.0014216096032571,0.9106674573692308,0.452428219567515,67,73,baixo_baixo,False,0.2118377667636317,0.2040341802959449,0.432564297020969,0.6523970958285075,0.0105785123966942,0.0007822600441862,0.936951545280044,0.4355309444748664,102,110,oculta,True,0.10825165242995059,0.11403009453296559,0.02628408791081316,False
01823752000115,0.3558613379604957,0.1411484506139943,0.4666917435696878,1.0,0.2777777777777778,0.037037037037037,0.7025348859842135,0.7093074124324621,4,6,baixo_baixo,False,0.3240054066190527,0.1888064879428633,0.4444399859353791,0.952320224343146,0.1851851851851851,0.0222222222222222,0.7033652079283477,0.7252267318372383,6,9,baixo_baixo,False,-0.03185593134144299,0.047658037328869,0.000830321944134127,True
