grupo,n,portfolio_hhi_mediana,portfolio_hhi_norm_mediana,portfolio_cr1_mediana,portfolio_cr4_mediana,count_hhi_mediana,count_hhi_norm_mediana,n_fornecedores_mediana,n_instrumentos_mediana,exposicao_strength_global_mediana,exposicao_degree_global_mediana
todos_mar,780,0.2450569407409969,0.15018514692537516,0.3812120257426427,0.821427029667158,0.0909090909090909,0.0069444444444444,12.0,14.0,0.836465738971448,0.5975512770401846
todos_abr,1013,0.2470038993811713,0.1532255646315564,0.392956345482527,0.8245484141925796,0.0909090909090909,0.0069444444444444,13.0,14.0,0.8361711607346892,0.6006518708074267
comuns_mar,780,0.2450569407409969,0.15018514692537516,0.3812120257426427,0.821427029667158,0.0909090909090909,0.0069444444444444,12.0,14.0,0.836465738971448,0.5975512770401846
comuns_abr,780,0.21297932334749795,0.1496874291944491,0.3709980500104566,0.7598923423740789,0.0714285714285714,0.0082644628099173,16.0,20.0,0.8460154411897202,0.6053498709248706
novos_elegiveis_abr,233,0.3371415664950002,0.1750577942688467,0.4694741017320284,0.9543418802499865,0.1666666666666666,3.4694469519536136e-17,6.0,7.0,0.7858023502538538,0.5896584524003444
