fornecedor_id_limpo,degree,strength,reach,system_share,pct_degree,pct_strength
00000000000191,11,772575.55,0.00830188679245283,0.00034808706797308003,0.9723984771573604,0.938769035532995
00000000037788,3,5250.0,0.0022641509433962265,2.3654089323156422e-06,0.9190196700507615,0.2575348984771574
00000000045888,4,15000.0,0.0030188679245283017,6.7583112351875496e-06,0.9409105329949239,0.40767766497461927
00000000049603,5,37000.0,0.0037735849056603774,1.6670501046795957e-05,0.9513800761421319,0.569479695431472
00000000051349,2,5380.0,0.0015094339622641509,2.423980963020601e-06,0.8601681472081218,0.26078680203045684
00000000051500,1,2000.0,0.0007547169811320754,9.011081646916732e-07,0.40831218274111675,0.15109454314720813
00000000052906,1,250.0,0.0007547169811320754,1.1263852058645916e-07,0.40831218274111675,0.03148794416243655
00000000065994,1,2500.0,0.0007547169811320754,1.1263852058645917e-06,0.40831218274111675,0.17227157360406092
00000000141330,1,5000.0,0.0007547169811320754,2.2527704117291833e-06,0.40831218274111675,0.25158629441624364
00000000159204,1,16617.6,0.0007547169811320754,7.487127518790174e-06,0.40831218274111675,0.42385786802030456
00000000178845,2,3300.0,0.0015094339622641509,1.486828471741261e-06,0.8601681472081218,0.20209390862944163
00000000203700,1,115.0,0.0007547169811320754,5.181371946977121e-08,0.40831218274111675,0.015228426395939087
00000118295160,1,41000.0,0.0007547169811320754,1.8472717376179302e-05,0.40831218274111675,0.5869289340101523
00003228000135,1,9737.24,0.0007547169811320754,4.387153232781174e-06,0.40831218274111675,0.3418464467005076
00011080000180,1,9945.0,0.0007547169811320754,4.480760348929345e-06,0.40831218274111675,0.34454314720812185
00019761000195,1,350.0,0.0007547169811320754,1.576939288210428e-07,0.40831218274111675,0.041560913705583756
00028682000140,2,438469.66000000003,0.0015094339622641509,0.000197554295297791,0.8601681472081218,0.9021256345177665
00028986014672,1,10250000.0,0.0007547169811320754,0.004618179344044826,0.40831218274111675,0.9941307106598984
00071556000179,1,1100.0,0.0007547169811320754,4.956094905804203e-07,0.40831218274111675,0.101998730964467
00085822000112,1,61298.5,0.0007547169811320754,2.7618289416676265e-05,0.40831218274111675,0.6694162436548223
00108786000165,1,17000.0,0.0007547169811320754,7.659419399879223e-06,0.40831218274111675,0.428378807106599
00126365000167,1,24740.0,0.0007547169811320754,1.1146707997235997e-05,0.40831218274111675,0.49508248730964466
00126381000230,1,264000.0,0.0007547169811320754,0.00011894627773930087,0.40831218274111675,0.8615164974619289
