orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_neff,hhi_gap_value_minus_count,exposicao_degree,exposicao_strength
00091238000170,290789.24,4,3,0.5692677424868517,0.687783117422089,1.0,1.7566426575155834,0.5762647907147272,0.375,2.6666666666666665,0.19426774248685175,0.4094987526185143,0.7993928963475123
00094350000164,238365.99,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.40831218274111675,0.8515228426395939
00118735000114,91544.05,3,3,0.69545779764209,0.8246745692374327,1.0,1.4379017726027992,0.5331782364205487,0.3333333333333333,3.0,0.3621244643087567,0.44779970504033817,0.6512554378622533
00204125000133,58304.74,4,4,0.7141039706446769,0.8397258953560208,1.0,1.4003563081958816,0.44183251922106515,0.25,4.0,0.4641039706446769,0.44958040571555763,0.5656146439502289
00282872000190,215000.0,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.40831218274111675,0.8405774111675127
00421772000105,626.06,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9871510152284264,0.9907994923857868
00460408000146,98978.6,3,3,0.9411913766996579,0.9699066262808324,0.9999999999999999,1.0624831726641588,0.14132922287383626,0.3333333333333333,3.0,0.6078580433663245,0.4179978827859431,0.7297773308091692
00536717000152,144110.76,3,3,0.34264281469343094,0.3955291055296634,0.9999999999999999,2.9184910849355443,0.9869942249625737,0.3333333333333333,3.0,0.009309481360097627,0.5512750828459646,0.6827874491606669
00652007000198,2067.76,2,2,0.5071784739614501,0.5599102410337756,0.9999999999999999,1.9716925132670526,0.9896187268721555,0.5,2.0,0.007178473961450105,0.8860680997107342,0.4033989415751693
00675468000186,2154583.44,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.40831218274111675,0.9733502538071066
00734500000157,5000.0,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9618496192893401,0.688769035532995
00734571000150,10449.55,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8601681472081218,0.5520304568527918
00898427000159,2378.0,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9808058375634517,0.5506027918781726
00955107000193,99170.6,6,5,0.3775733228824713,0.5622129945770218,0.9604721560623813,2.648492198457765,0.7614952654386126,0.22222222222222227,4.499999999999999,0.15535110066024904,0.4373616478754997,0.5355322984749215
00956081000106,31051.32,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9574079949238579,0.8104378172588832
01031661000147,9629.28,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8601681472081218,0.5125317258883249
01071994000108,2330112.26,26,26,0.18011921632404948,0.27890776386885324,0.7425009643097624,5.551878474759277,0.6640751768379669,0.038461538461538464,26.0,0.14165767786251102,0.5940995749963444,0.8866911929815148
01203660000132,5030.64,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9723984771573604,0.748730964467005
01280363000190,16989621.619999997,11,11,0.5693974337276639,0.6922886373263444,0.9988515565304273,1.756242548290599,0.27585666519774127,0.09090909090909091,11.0,0.478488342818573,0.40876414804436917,0.9899461220237535
01282378000198,100873.0,2,2,0.9828409055337317,0.9913455533195206,1.0,1.017458669424173,0.07173477677367185,0.5,2.0,0.4828409055337317,0.9778670090817819,0.9807573286226472
01294821000140,14224.720000000001,2,2,0.5001247860402497,0.5078989252512527,0.9999999999999999,1.999500980380366,0.9998199643094764,0.5,2.0,0.00012478604024968032,0.9716297003717528,0.9301742235144634
01349236000109,191826.14800000002,27,17,0.21273178461255818,0.4081821003881077,0.7291516378674298,4.700754999170759,0.7223757159057139,0.07818930041152262,12.789473684210527,0.13454248420103554,0.9954207915831956,0.8966513426591152
01397083000167,1448.6999999999998,8,8,0.13930565369220682,0.2136398150065576,0.6313936632843239,7.178459549168628,0.974071999974957,0.125,8.0,0.014305653692206821,0.993454928652995,0.570898458236143
01404511000131,524974.44,29,18,0.2343311387491839,0.3516615208923314,0.901334567831531,4.267465285825069,0.5853703100936017,0.0915576694411415,10.922077922077921,0.1427734693080424,0.4202054360656159,0.7340315303319584
01420402000108,71493.42,9,8,0.2547945801048297,0.41961903626935176,0.8663035003780768,3.9247302654105582,0.7727225772255563,0.13580246913580246,7.363636363636364,0.11899211096902723,0.8132747528420091,0.6697680255227549
01465988000127,2133361.67,49,27,0.2072486374544865,0.3846639046439791,0.74135461522565,4.82512219275559,0.6254930205132954,0.09537692628071637,10.48471615720524,0.11187171117377012,0.6711250085625865,0.867275424483054
01494665000161,55800.0,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.40831218274111675,0.6456218274111675
01600293000100,8279.18,7,7,0.2739602189198392,0.4522186979869987,0.8634429979780606,3.650164990898187,0.8012742504026116,0.14285714285714285,7.0,0.13110307606269633,0.978387555850298,0.7122761975201374
01605008000144,16100.0,2,2,0.5972377608888546,0.7204968944099379,1.0,1.674375040372069,0.8547728733342832,0.5,2.0,0.09723776088885461,0.5346073280890374,0.3839137922880474
01610999000153,3405.35,4,4,0.317917274435023,0.3700060199392133,1.0,3.1454723615667617,0.8631333462361437,0.25,4.0,0.06791727443502299,0.9796096383013023,0.603543413305534
01648573000199,4232841.69,36,31,0.35156461700745223,0.5825583569131781,0.7322572699382008,2.844427316127785,0.5591788420283629,0.035493827160493846,28.173913043478247,0.31607078984695836,0.4619312288797714,0.8826725362132902
