modelo,tipo,termo,coef,erro_padrao,estatistica,p,ci95_inf,ci95_sup,ame_continuo,janela,mes_final
F2_HHI_norm_regiao,fractional_logit_cluster,log_despesa_pc,-0.0947351615790249,0.2336715979402594,-0.4054200956131819,0.685168741957365,-0.5527230777518573,0.3632527545938073,-0.0163711616686788,jan_fev,2
F2_HHI_norm_regiao,fractional_logit_cluster,log_despesa_pc,-0.0156838633827102,0.1736851374822135,-0.0903005496616907,0.9280483833704768,-0.3561004774977365,0.3247327507323161,-0.0026694131346609,jan_mar,3
F2_HHI_norm_regiao,fractional_logit_cluster,log_despesa_pc,0.0916874631819959,0.1295805078871535,0.7075714139185415,0.4792114500374886,-0.1622856653752333,0.3456605917392252,0.015726843178905,jan_abr,4
F2_HHI_norm_regiao,fractional_logit_cluster,log_despesa_pc,0.0618649608742736,0.117389189161034,0.5270073106085396,0.5981885117387964,-0.1682136220557126,0.2919435438042599,0.0105610728737532,jan_mai,5
F2_HHI_norm_regiao,fractional_logit_cluster,log_despesa_pc,0.1183229212381303,0.109278686432294,1.0827630263604962,0.2789136207336985,-0.0958593684470117,0.3325052109232725,0.0199188469067771,jan_jun,6
F2_HHI_norm_regiao,fractional_logit_cluster,log_instr_por_forn,0.0771627662986704,0.1369684226264529,0.5633617210377941,0.5731885974130124,-0.1912904090684383,0.3456159416657793,0.0133344800475614,jan_fev,2
F2_HHI_norm_regiao,fractional_logit_cluster,log_instr_por_forn,0.110214593127173,0.1138532674673883,0.9680406682991556,0.3330240594467379,-0.1129337106311138,0.3333628968854599,0.0187586613926595,jan_mar,3
F2_HHI_norm_regiao,fractional_logit_cluster,log_instr_por_forn,0.0005754232070163,0.1044437744081396,0.0055094064751795,0.9956041518725512,-0.2041306130423635,0.2052814594563963,9.87004136027446e-05,jan_abr,4
F2_HHI_norm_regiao,fractional_logit_cluster,log_instr_por_forn,-0.0078109581588982,0.0857076843672245,-0.0911348640039245,0.9273854304300464,-0.1757949327169849,0.1601730163991883,-0.0013334219752859,jan_mai,5
F2_HHI_norm_regiao,fractional_logit_cluster,log_instr_por_forn,0.1217733052471385,0.0790545286339704,1.5403710242958988,0.1234699402034676,-0.0331707236902339,0.276717334184511,0.0204996952337611,jan_jun,6
F2_HHI_norm_regiao,fractional_logit_cluster,log_n_fornecedores,-0.4583185801617045,0.0745302542379023,-6.149429984483093,7.776190353792266e-10,-0.6043951942266068,-0.3122419660968023,-0.0792019293209066,jan_fev,2
F2_HHI_norm_regiao,fractional_logit_cluster,log_n_fornecedores,-0.4300077397463516,0.0573827568686205,-7.493675159784788,6.697135474156324e-14,-0.5424758765424662,-0.317539602950237,-0.0731878543235843,jan_mar,3
F2_HHI_norm_regiao,fractional_logit_cluster,log_n_fornecedores,-0.3963260929867361,0.044355382700394,-8.935242328169904,4.062867718484778e-19,-0.4832610455999995,-0.3093911403734728,-0.0679804860533479,jan_abr,4
F2_HHI_norm_regiao,fractional_logit_cluster,log_n_fornecedores,-0.3932284513218573,0.0384633785260807,-10.223450627334326,1.5569774912839532e-24,-0.4686152879567068,-0.3178416146870079,-0.067128698891172,jan_mai,5
F2_HHI_norm_regiao,fractional_logit_cluster,log_n_fornecedores,-0.4002496740161544,0.0355013531715227,-11.274208959933755,1.7595295859720696e-29,-0.4698310476347759,-0.330668300397533,-0.0673792693570351,jan_jun,6
F2_HHI_norm_regiao,fractional_logit_cluster,log_populacao,0.082569230126789,0.0413956866350287,1.9946336644871496,0.046082849145221,0.0014351752068267,0.1637032850467514,0.0142687698287865,jan_fev,2
F2_HHI_norm_regiao,fractional_logit_cluster,log_populacao,0.0911108727648694,0.0277412347380322,3.284312094441843,0.0010223164446312,0.0367390517916548,0.145482693738084,0.0155071843291547,jan_mar,3
F2_HHI_norm_regiao,fractional_logit_cluster,log_populacao,0.1100486740398715,0.0212623420731559,5.175755034945557,2.269911245060941e-07,0.0683752493495152,0.1517220987302279,0.0188762801217009,jan_abr,4
F2_HHI_norm_regiao,fractional_logit_cluster,log_populacao,0.1175343645717278,0.0201518879351639,5.832424483000274,5.462773089433479e-09,0.0780373899983193,0.1570313391451363,0.020064491626123,jan_mai,5
F2_HHI_norm_regiao,fractional_logit_cluster,log_populacao,0.1347021661465455,0.0172177371877512,7.823453493201937,5.139354870033411e-15,0.1009560213632771,0.1684483109298139,0.022676179707264,jan_jun,6
O2_HHI_norm_regiao,OLS_cluster,log_despesa_pc,-0.0130428535676869,0.041528924633803,-0.314066730181367,0.7534703574395589,-0.0944380501666191,0.0683523430312452,,jan_fev,2
O2_HHI_norm_regiao,OLS_cluster,log_despesa_pc,0.0017129751541735,0.0305360745131325,0.0560967701803607,0.9552647169116066,-0.0581366311207977,0.0615625814291448,,jan_mar,3
O2_HHI_norm_regiao,OLS_cluster,log_despesa_pc,0.0204866222268825,0.0233140900293187,0.8787227895714345,0.3795515989190349,-0.0252081545629065,0.0661813990166716,,jan_abr,4
O2_HHI_norm_regiao,OLS_cluster,log_despesa_pc,0.0155293854771025,0.0207127115418076,0.749751448319898,0.4534044151352063,-0.0250667831670075,0.0561255541212126,,jan_mai,5
O2_HHI_norm_regiao,OLS_cluster,log_despesa_pc,0.0261036419650558,0.0193866951189776,1.3464719904478717,0.1781503475851968,-0.0118935822473987,0.0641008661775105,,jan_jun,6
O2_HHI_norm_regiao,OLS_cluster,log_instr_por_forn,0.0187440509331842,0.0244280681572311,0.7673161386540395,0.4428935753334995,-0.0291340828668784,0.066622184733247,,jan_fev,2
O2_HHI_norm_regiao,OLS_cluster,log_instr_por_forn,0.0243398552510315,0.0196329071823556,1.239747889854342,0.2150686578549995,-0.0141399357382032,0.0628196462402664,,jan_mar,3
O2_HHI_norm_regiao,OLS_cluster,log_instr_por_forn,0.0047295491584358,0.0169853856383761,0.2784481470794578,0.780668364206765,-0.0285611949563051,0.0380202932731768,,jan_abr,4
O2_HHI_norm_regiao,OLS_cluster,log_instr_por_forn,0.0063732164846236,0.013624606266839,0.4677725256645014,0.639947270066062,-0.0203305211019195,0.0330769540711669,,jan_mai,5
O2_HHI_norm_regiao,OLS_cluster,log_instr_por_forn,0.0275172026683303,0.0129084721230904,2.13171647317641,0.0330301617606258,0.0022170622116338,0.0528173431250268,,jan_jun,6
O2_HHI_norm_regiao,OLS_cluster,log_n_fornecedores,-0.0795496044759813,0.0128181974800031,-6.205989929557681,5.435365894630416e-10,-0.1046728098835096,-0.054426399068453,,jan_fev,2
O2_HHI_norm_regiao,OLS_cluster,log_n_fornecedores,-0.072705739275636,0.0097186920443951,-7.4810209998953825,7.374739207799593e-14,-0.0917540256594864,-0.0536574528917856,,jan_mar,3
O2_HHI_norm_regiao,OLS_cluster,log_n_fornecedores,-0.066727104694528,0.0073100857000174,-9.128087881975013,6.971977297367e-20,-0.0810546093904634,-0.0523995999985925,,jan_abr,4
O2_HHI_norm_regiao,OLS_cluster,log_n_fornecedores,-0.0664866019971229,0.0064507988352378,-10.306723817511754,6.570301978937118e-25,-0.0791299353857021,-0.0538432686085438,,jan_mai,5
O2_HHI_norm_regiao,OLS_cluster,log_n_fornecedores,-0.0675380850278978,0.0059377918610565,-11.37427626435536,5.6166829887130566e-30,-0.0791759432232637,-0.0559002268325319,,jan_jun,6
O2_HHI_norm_regiao,OLS_cluster,log_populacao,0.0154606917040317,0.0077064547967732,2.0062002712979328,0.0448348849491861,0.0003563178538702,0.0305650655541932,,jan_fev,2
O2_HHI_norm_regiao,OLS_cluster,log_populacao,0.0167917137497299,0.0050978160602605,3.2939034188831844,0.0009880644216485,0.0068001778718093,0.0267832496276505,,jan_mar,3
O2_HHI_norm_regiao,OLS_cluster,log_populacao,0.0205347718955118,0.0040787443476643,5.03458175976898,4.788932520438537e-07,0.0125405798719433,0.0285289639190803,,jan_abr,4
O2_HHI_norm_regiao,OLS_cluster,log_populacao,0.0218359081043004,0.0037026691813543,5.897342439951255,3.694027192870281e-09,0.0145788098621795,0.0290930063464213,,jan_mai,5
O2_HHI_norm_regiao,OLS_cluster,log_populacao,0.024823719048481,0.0033566998646334,7.395275136161646,1.411157733564717e-13,0.0182447082068889,0.031402729890073,,jan_jun,6
