modelo,tipo,termo,coef,erro_padrao,estatistica,p,ci95_inf,ci95_sup,ame_continuo,janela,mes_final
O3_Gap_regiao,OLS_cluster,log_despesa_pc,0.0037200527842707,0.0306928738697511,0.1212024914987495,0.903530650737222,-0.056436874582472,0.0638769801510134,,jan_mar,3
O3_Gap_regiao,OLS_cluster,log_despesa_pc,0.0217035505581782,0.0236734338973044,0.9167892859282036,0.3592530680264371,-0.0246955272709281,0.0681026283872846,,jan_abr,4
O3_Gap_regiao,OLS_cluster,log_despesa_pc,0.0144990141665573,0.0207153766224543,0.6999155473157626,0.4839800473707395,-0.0261023779396362,0.0551004062727508,,jan_mai,5
O3_Gap_regiao,OLS_cluster,log_despesa_pc,0.0252596143469661,0.0196483095816191,1.2855871515072357,0.1985871831904172,-0.0132503647901007,0.063769593484033,,jan_jun,6
O3_Gap_regiao,OLS_cluster,log_instr_por_forn,-0.0450068142120547,0.0237205989204011,-1.89737259008862,0.0577787805844805,-0.0914983337877606,0.001484705363651,,jan_mar,3
O3_Gap_regiao,OLS_cluster,log_instr_por_forn,-0.0716824583379973,0.0208052137195803,-3.445408410803056,0.000570197162129,-0.1124599279190334,-0.0309049887569611,,jan_abr,4
O3_Gap_regiao,OLS_cluster,log_instr_por_forn,-0.0631189510160001,0.0164431509478841,-3.838616528915473,0.0001237294911599,-0.0953469346662087,-0.0308909673657916,,jan_mai,5
O3_Gap_regiao,OLS_cluster,log_instr_por_forn,-0.04687817030414,0.0178362268002686,-2.628256011155567,0.0085823898144378,-0.0818365324527545,-0.0119198081555254,,jan_jun,6
O3_Gap_regiao,OLS_cluster,log_n_fornecedores,-0.0542230036108013,0.0104807120919486,-5.173599192029711,2.2962712913861455e-07,-0.074764821843354,-0.0336811853782486,,jan_mar,3
O3_Gap_regiao,OLS_cluster,log_n_fornecedores,-0.0452794729180137,0.0080707130328126,-5.61034356368803,2.0192533358480722e-08,-0.0610977797918846,-0.0294611660441428,,jan_abr,4
O3_Gap_regiao,OLS_cluster,log_n_fornecedores,-0.0471234860805376,0.0069171063822375,-6.812601032354543,9.584969447816376e-12,-0.0606807654669553,-0.0335662066941198,,jan_mai,5
O3_Gap_regiao,OLS_cluster,log_n_fornecedores,-0.0461709373532263,0.0066617017549905,-6.930802226118572,4.184607372676299e-12,-0.059227632868755,-0.0331142418376976,,jan_jun,6
O3_Gap_regiao,OLS_cluster,log_populacao,0.0160654824743378,0.0051062305927454,3.1462508757756904,0.0016537808275416,0.0060574544158002,0.0260735105328754,,jan_mar,3
O3_Gap_regiao,OLS_cluster,log_populacao,0.0185839005522685,0.0043166156731071,4.305201565209446,1.668337606512903e-05,0.0101234892978774,0.0270443118066597,,jan_abr,4
O3_Gap_regiao,OLS_cluster,log_populacao,0.0200691331023594,0.0035996368749862,5.575321566966734,2.4707304033314933e-08,0.0130139744699641,0.0271242917347547,,jan_mai,5
O3_Gap_regiao,OLS_cluster,log_populacao,0.0228170286705151,0.0034854530561498,6.546359484100845,5.895656835258471e-11,0.0159856662106562,0.0296483911303739,,jan_jun,6
