modelo,tipo,termo,coef,erro_padrao,estatistica,p,ci95_inf,ci95_sup,ame_continuo,janela,mes_final
O4_Exposicao_strength_regiao,OLS_cluster,log_despesa_pc,-0.0161335069185337,0.0238927581694861,-0.6752467339303695,0.4995190194520589,-0.0629624524220517,0.0306954385849843,,jan_mar,3
O4_Exposicao_strength_regiao,OLS_cluster,log_despesa_pc,-0.0079497728924036,0.0180823532177923,-0.4396426060619934,0.6601959772926564,-0.0433905339550086,0.0274909881702012,,jan_abr,4
O4_Exposicao_strength_regiao,OLS_cluster,log_despesa_pc,-0.026826055409848,0.0181465235094254,-1.4783027391397792,0.13932676485474,-0.0623925879329313,0.0087404771132352,,jan_mai,5
O4_Exposicao_strength_regiao,OLS_cluster,log_despesa_pc,-0.0121858996143487,0.0172311189931384,-0.7072030330242222,0.4794403139925606,-0.0459582722542241,0.0215864730255266,,jan_jun,6
O4_Exposicao_strength_regiao,OLS_cluster,log_instr_por_forn,0.0828815969236088,0.0194194341357518,4.267971782505284,1.9725827202749544e-05,0.0448202054173874,0.1209429884298302,,jan_mar,3
O4_Exposicao_strength_regiao,OLS_cluster,log_instr_por_forn,0.0621311191098171,0.0142548543884011,4.358593740555622,1.309008517076411e-05,0.0341921179036881,0.0900701203159462,,jan_abr,4
O4_Exposicao_strength_regiao,OLS_cluster,log_instr_por_forn,0.0464694076953807,0.0125629317585912,3.698930201033873,0.0002165101268934,0.0218465139083074,0.0710923014824541,,jan_mai,5
O4_Exposicao_strength_regiao,OLS_cluster,log_instr_por_forn,0.04687483908025,0.0107295355690299,4.368766828598887,1.2495008654703574e-05,0.0258453357941098,0.0679043423663902,,jan_jun,6
O4_Exposicao_strength_regiao,OLS_cluster,log_n_fornecedores,0.0240553185366056,0.0078336871722653,3.0707530193153394,0.0021351969095051,0.0087015738128121,0.039409063260399,,jan_mar,3
O4_Exposicao_strength_regiao,OLS_cluster,log_n_fornecedores,0.0241121970069087,0.0067365535985763,3.5793075278142736,0.000344505871673,0.0109087945737753,0.037315599440042,,jan_abr,4
O4_Exposicao_strength_regiao,OLS_cluster,log_n_fornecedores,0.0274692927317358,0.0061109325301359,4.495106531821693,6.953512546293726e-06,0.0154920850607151,0.0394465004027565,,jan_mai,5
O4_Exposicao_strength_regiao,OLS_cluster,log_n_fornecedores,0.0284587481695844,0.0051493065830746,5.526714657683467,3.2628298307699933e-08,0.0183662927214032,0.0385512036177657,,jan_jun,6
O4_Exposicao_strength_regiao,OLS_cluster,log_populacao,0.010752795557862,0.0038633582929508,2.783276813202072,0.0053812872075719,0.0031807524443042,0.0183248386714198,,jan_mar,3
O4_Exposicao_strength_regiao,OLS_cluster,log_populacao,0.0117292460388784,0.0032720298369879,3.584700208502937,0.0003374656123013,0.0053161854020416,0.0181423066757152,,jan_abr,4
O4_Exposicao_strength_regiao,OLS_cluster,log_populacao,0.011087470281785,0.0036909142924141,3.0039901778734737,0.0026646392724709,0.003853411198629,0.0183215293649409,,jan_mai,5
O4_Exposicao_strength_regiao,OLS_cluster,log_populacao,0.0130326697432162,0.0030237309428188,4.310128774575014,1.631595072850895e-05,0.007106265996352,0.0189590734900804,,jan_jun,6
