familia,modelo,termo,n_janelas,janelas,coeficientes,p_values,sinais,mudancas_sinal,coef_primeira,coef_penultima,coef_ultima,delta_ultima_vs_penultima,razao_abs_ultima_penultima,razao_abs_ultima_primeira,n_significativo_5pct,mesmo_sinal_nao_nulo
hhi_norm,F2_HHI_norm_regiao,log_despesa_pc,5,jan_fev|jan_mar|jan_abr|jan_mai|jan_jun,-0.094735161579|-0.0156838633827|0.091687463182|0.0618649608743|0.118322921238,0.685168741957|0.92804838337|0.479211450037|0.598188511739|0.278913620734,-1|-1|1|1|1,1,-0.0947351615790249,0.0618649608742736,0.1183229212381303,0.0564579603638567,1.9125999526386932,1.2489863242533163,0,False
hhi_norm,F2_HHI_norm_regiao,log_instr_por_forn,5,jan_fev|jan_mar|jan_abr|jan_mai|jan_jun,0.0771627662987|0.110214593127|0.000575423207016|-0.0078109581589|0.121773305247,0.573188597413|0.333024059447|0.995604151873|0.92738543043|0.123469940203,1|1|1|-1|1,2,0.0771627662986704,-0.0078109581588982,0.1217733052471385,0.1295842634060367,15.590059858202547,1.5781355579684135,0,False
hhi_norm,F2_HHI_norm_regiao,log_n_fornecedores,5,jan_fev|jan_mar|jan_abr|jan_mai|jan_jun,-0.458318580162|-0.430007739746|-0.396326092987|-0.393228451322|-0.400249674016,7.77619035379e-10|6.69713547416e-14|4.06286771848e-19|1.55697749128e-24|1.75952958597e-29,-1|-1|-1|-1|-1,0,-0.4583185801617045,-0.3932284513218573,-0.4002496740161544,-0.007021222694297113,1.0178553272803503,0.8733001264642988,5,True
hhi_norm,F2_HHI_norm_regiao,log_populacao,5,jan_fev|jan_mar|jan_abr|jan_mai|jan_jun,0.0825692301268|0.0911108727649|0.11004867404|0.117534364572|0.134702166147,0.0460828491452|0.00102231644463|2.26991124506e-07|5.46277308943e-09|5.13935487003e-15,1|1|1|1|1,0,0.082569230126789,0.1175343645717278,0.1347021661465455,0.017167801574817704,1.1460662303946068,1.6313845477268456,5,True
hhi_norm,O2_HHI_norm_regiao,log_despesa_pc,5,jan_fev|jan_mar|jan_abr|jan_mai|jan_jun,-0.0130428535677|0.00171297515417|0.0204866222269|0.0155293854771|0.0261036419651,0.75347035744|0.955264716912|0.379551598919|0.453404415135|0.178150347585,-1|1|1|1|1,1,-0.0130428535676869,0.0155293854771025,0.0261036419650558,0.0105742564879533,1.680919184055586,2.0013750694653534,0,False
hhi_norm,O2_HHI_norm_regiao,log_instr_por_forn,5,jan_fev|jan_mar|jan_abr|jan_mai|jan_jun,0.0187440509332|0.024339855251|0.00472954915844|0.00637321648462|0.0275172026683,0.442893575333|0.215068657855|0.780668364207|0.639947270066|0.0330301617606,1|1|1|1|1,0,0.0187440509331842,0.0063732164846236,0.0275172026683303,0.0211439861837067,4.317631879400289,1.468049930424284,1,True
hhi_norm,O2_HHI_norm_regiao,log_n_fornecedores,5,jan_fev|jan_mar|jan_abr|jan_mai|jan_jun,-0.079549604476|-0.0727057392756|-0.0667271046945|-0.0664866019971|-0.0675380850279,5.43536589463e-10|7.3747392078e-14|6.97197729737e-20|6.57030197894e-25|5.61668298871e-30,-1|-1|-1|-1|-1,0,-0.0795496044759813,-0.0664866019971229,-0.0675380850278978,-0.0010514830307749023,1.0158149611980531,0.8490059186691471,5,True
hhi_norm,O2_HHI_norm_regiao,log_populacao,5,jan_fev|jan_mar|jan_abr|jan_mai|jan_jun,0.015460691704|0.0167917137497|0.0205347718955|0.0218359081043|0.0248237190485,0.0448348849492|0.000988064421649|4.78893252044e-07|3.69402719287e-09|1.41115773356e-13,1|1|1|1|1,0,0.0154606917040317,0.0218359081043004,0.024823719048481,0.0029878109441806022,1.136830166618634,1.605602098773349,5,True
exposicao_strength,O4_Exposicao_strength_regiao,log_populacao,4,jan_mar|jan_abr|jan_mai|jan_jun,0.0107527955579|0.0117292460389|0.0110874702818|0.0130326697432,0.00538128720757|0.000337465612301|0.00266463927247|1.63159507285e-05,1|1|1|1,0,0.010752795557862,0.011087470281785,0.0130326697432162,0.0019451994614312004,1.175441233391792,1.2120261817576594,4,True
exposicao_strength,O4_Exposicao_strength_regiao,log_despesa_pc,4,jan_mar|jan_abr|jan_mai|jan_jun,-0.0161335069185|-0.0079497728924|-0.0268260554098|-0.0121858996143,0.499519019452|0.660195977293|0.139326764855|0.479440313993,-1|-1|-1|-1,0,-0.0161335069185337,-0.026826055409848,-0.0121858996143487,0.0146401557954993,0.4542561113877065,0.7553162295018386,0,True
