Transição,n comuns,rho Strength LOO,rho Degree LOO,Retenção discordância Strength,Retenção discordância Degree
Abr-Mai,1013,0.8962,0.9091,85.96%,87.57%
Mai-Jun,1210,0.9266,0.9416,90.40%,90.61%
