quintile,n,mean_margin,P_herd_b070_c090,P_herd_b075_c095,min_margin,max_margin
1,346,0.076442078773,0.000000000000,0.554913294798,0.000066573283,0.142210882379
2,346,0.233347851644,0.199421965318,1.000000000000,0.142608396599,0.330589183187
3,345,0.434702965037,0.939130434783,1.000000000000,0.330650854671,0.555105206944
4,346,0.717214757588,1.000000000000,1.000000000000,0.555637531831,0.910965545244
5,346,1.316447411816,1.000000000000,1.000000000000,0.911464995886,3.140827218731
