kappa,P_seed_mc_fixed_realization,P_seed_exact_gaussian,sd_structural_aggregate,n_eff,executive_weight,top6_weight
0,0.000000000000,0.000000000000,0.137380694479,59.194630872483,0.014285714286,0.102380952381
1,0.000000000000,0.000000346203,0.201471472664,45.575461700047,0.046596009805,0.251523225544
2,0.003900000000,0.002926157268,0.362852170781,19.955647755180,0.124667756916,0.496456835986
3,0.046100000000,0.044831140654,0.589212044129,8.751567180216,0.249685806807,0.738807041544
4,0.113300000000,0.112750227977,0.825061301426,4.842132618668,0.391654805082,0.887936960435
5,0.172900000000,0.170122439385,1.048568082889,3.140783586954,0.526477382521,0.956359480167
