kappa,P_seed_wrong,n_eff,executive_weight,top6_weight,wrong_seed_count
0,0.000000000000,59.194630872483,0.014285714286,0.102380952381,0
1,0.000000000000,45.575461700047,0.046596009805,0.251523225544,0
2,0.003900000000,19.955647755180,0.124667756916,0.496456835986,39
3,0.046100000000,8.751567180216,0.249685806807,0.738807041544,461
4,0.113300000000,4.842132618668,0.391654805082,0.887936960435,1133
5,0.172900000000,3.140783586954,0.526477382521,0.956359480167,1729
