group,n_agents,sigma,fraction_correct,stationary_weight_total,stationary_weight_mean,mean_contribution_seed_correct,mean_contribution_seed_wrong
executivo,1,1.900000000000,0.697500000000,0.526477382521,0.526477382521,-0.817815459443,0.890147312739
gestores,5,1.550000000000,0.737920000000,0.429882097646,0.085976419529,-0.452688120564,-0.291245832150
seniores,12,1.200000000000,0.797625000000,0.031796603162,0.002649716930,-0.031789584939,-0.031379266465
demais,42,0.900000000000,0.868004761905,0.011843916670,0.000281998016,-0.011906077562,-0.011821260118
