mes_final,n_elegiveis,hhi_mediana,hhi_norm_mediana,count_hhi_mediana,count_hhi_norm_mediana,neff_mediana,cr1_mediana,cr4_mediana
1,240,0.2393289700393677,0.1462194237422849,0.08009676054170514,0.010925644892658787,4.178566514234339,0.3619997797600547,0.8183804110309216
2,569,0.237419986456335,0.14732398497701146,0.09469302809573361,0.007325664765111123,4.2119453165073555,0.3822952117701211,0.8360546274646532
3,780,0.24505694074099693,0.15018514692537518,0.09090909090909091,0.006944444444444459,4.0806847193889855,0.3812120257426427,0.821427029667158
4,1013,0.24700389938117137,0.15322556463155643,0.09090909090909091,0.006944444444444459,4.048519082108985,0.392956345482527,0.8245484141925796
5,1210,0.24203091177660513,0.15477832229436267,0.08606701940035273,0.006944444444444459,4.131703677994075,0.3909743611362113,0.8205822058484912
6,1347,0.23646546243628083,0.15633537352509544,0.0816326530612245,0.006818310737988541,4.228947389175132,0.38367773814224737,0.8037413716326736
7,1500,0.23463311230242703,0.15457512544013496,0.07692307692307694,0.006002400960384141,4.261973909290829,0.37654083065978994,0.802068844509443
