estrategia,papel,ranking_scope,pct_fornecedores_removidos,k_fornecedores_removidos,limiar_perda,share_severos_direcionado,share_severos_aleatorio_media,share_severos_aleatorio_p025,share_severos_aleatorio_p975,excesso_vs_aleatorio,perda_media_direcionada,perda_media_aleatoria_media,perda_media_aleatoria_p025,perda_media_aleatoria_p975
strength,principal,global,0.01,242,0.25,0.17466666666666666,0.009873333333333335,0.004666666666666667,0.016666666666666666,0.16479333333333332,0.11446015536785126,0.010060914827510715,0.006815013790037483,0.014785578753799196
strength,principal,global,0.01,242,0.5,0.09,0.003092666666666667,0.0006666666666666666,0.006666666666666667,0.08690733333333334,0.11446015536785126,0.010060914827510715,0.006815013790037483,0.014785578753799196
strength,principal,global,0.01,242,0.75,0.052,0.000972,0.0,0.0033333333333333335,0.051028,0.11446015536785126,0.010060914827510715,0.006815013790037483,0.014785578753799196
degree,complementar,global,0.01,242,0.25,0.126,0.009873333333333335,0.004666666666666667,0.016666666666666666,0.11612666666666667,0.10034769773483276,0.010060914827510715,0.006815013790037483,0.014785578753799196
degree,complementar,global,0.01,242,0.5,0.08666666666666667,0.003092666666666667,0.0006666666666666666,0.006666666666666667,0.08357400000000001,0.10034769773483276,0.010060914827510715,0.006815013790037483,0.014785578753799196
degree,complementar,global,0.01,242,0.75,0.05,0.000972,0.0,0.0033333333333333335,0.049028,0.10034769773483276,0.010060914827510715,0.006815013790037483,0.014785578753799196
strength,principal,global,0.05,1208,0.25,0.458,0.054076000000000006,0.04133333333333333,0.07001666666666666,0.403924,0.323379248380661,0.05011042669415474,0.04232543036341667,0.059878057520836594
strength,principal,global,0.05,1208,0.5,0.3333333333333333,0.017464,0.010666666666666666,0.025333333333333333,0.31586933333333334,0.323379248380661,0.05011042669415474,0.04232543036341667,0.059878057520836594
strength,principal,global,0.05,1208,0.75,0.20066666666666666,0.005449999999999999,0.002,0.01,0.19521666666666665,0.323379248380661,0.05011042669415474,0.04232543036341667,0.059878057520836594
degree,complementar,global,0.05,1208,0.25,0.33466666666666667,0.054076000000000006,0.04133333333333333,0.07001666666666666,0.28059066666666665,0.24616098403930664,0.05011042669415474,0.04232543036341667,0.059878057520836594
degree,complementar,global,0.05,1208,0.5,0.194,0.017464,0.010666666666666666,0.025333333333333333,0.176536,0.24616098403930664,0.05011042669415474,0.04232543036341667,0.059878057520836594
degree,complementar,global,0.05,1208,0.75,0.12466666666666666,0.005449999999999999,0.002,0.01,0.11921666666666667,0.24616098403930664,0.05011042669415474,0.04232543036341667,0.059878057520836594
strength,principal,global,0.1,2416,0.25,0.6,0.120616,0.10066666666666667,0.14401666666666665,0.479384,0.4515419900417328,0.09988565573841333,0.08869788292795419,0.11252803914248942
strength,principal,global,0.1,2416,0.5,0.47733333333333333,0.03960266666666666,0.028666666666666667,0.051333333333333335,0.43773066666666666,0.4515419900417328,0.09988565573841333,0.08869788292795419,0.11252803914248942
strength,principal,global,0.1,2416,0.75,0.3233333333333333,0.012468,0.007333333333333333,0.018666666666666668,0.3108653333333333,0.4515419900417328,0.09988565573841333,0.08869788292795419,0.11252803914248942
degree,complementar,global,0.1,2416,0.25,0.4706666666666667,0.120616,0.10066666666666667,0.14401666666666665,0.3500506666666667,0.3385864198207855,0.09988565573841333,0.08869788292795419,0.11252803914248942
degree,complementar,global,0.1,2416,0.5,0.2813333333333333,0.03960266666666666,0.028666666666666667,0.051333333333333335,0.24173066666666665,0.3385864198207855,0.09988565573841333,0.08869788292795419,0.11252803914248942
degree,complementar,global,0.1,2416,0.75,0.17666666666666667,0.012468,0.007333333333333333,0.018666666666666668,0.16419866666666666,0.3385864198207855,0.09988565573841333,0.08869788292795419,0.11252803914248942
