orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global
00091238000170,354388.32,7,6,0.40452126437855135,0.18367346938775508,0.5643524876892105,0.9904406838238913,2.4720579313333677,0.28542551725426163,0.02040816326530611,0.22084779499079626,0.26501735398895554,0.41506546176305276,0.7484208448057248
00204125000133,93584.2,7,7,0.3627043694426003,0.14285714285714285,0.5231652351572167,0.917454014673417,2.7570663169478435,0.25648843101636704,0.0,0.21984722658545747,0.25648843101636704,0.44708342857392275,0.5034087508994136
00460408000146,115122.95999999999,5,5,0.7121942314230545,0.20000000000000004,0.8338909979382045,0.9897622507273962,1.4041113447407079,0.6402427892788182,3.469446951953614e-17,0.5121942314230544,0.6402427892788182,0.4883817695641092,0.6839676665600792
00536717000152,383040.95,10,10,0.12749968892067842,0.10000000000000003,0.17230533706644158,0.6101159158048245,7.843156390931522,0.030555209911864906,3.0839528461809905e-17,0.02749968892067839,0.030555209911864875,0.5123061484187917,0.6522842763779553
00955107000193,347447.98000000004,34,27,0.0992656907238385,0.043252595155709346,0.1731194407865028,0.5443922857171309,10.073974126488917,0.06462206344398613,0.006454618046313553,0.05601309556812916,0.05816744539767258,0.49815884453957354,0.5430572614618535
00999472000108,15195600.0,38,38,0.05613047041653832,0.02631578947368421,0.09476427386875148,0.37905709547500593,17.81563547533283,0.030620483130498814,0.0,0.02981468094285411,0.030620483130498814,0.46923975699979853,0.9142891110850542
01071994000108,2330112.26,26,26,0.18011921632404948,0.038461538461538464,0.27890776386885324,0.7425009643097624,5.551878474759277,0.14732398497701146,0.0,0.14165767786251102,0.14732398497701146,0.5966612844188836,0.8919495534048115
01280363000190,17337283.92,18,16,0.5471006198949253,0.07407407407407407,0.6784062633035545,0.9944246157330047,1.8278173404227862,0.5169073278879204,0.012345679012345675,0.47302654582085124,0.5045616488755748,0.41031407216970733,0.9874785893712867
01282378000198,128035.94,17,13,0.6270303612307502,0.10034602076124567,0.7810307012234221,0.947735534257022,1.5948191057880772,0.5959495579999794,0.025374855824682806,0.5266843404695045,0.5705747021752966,0.9883255129447521,0.9770092336357968
01349236000109,436648.678,70,22,0.1022914515136944,0.0742857142857143,0.1793203642769302,0.5505438401899845,9.77598797555555,0.05954342539529889,0.030204081632653076,0.028005737227980096,0.02933934376264581,0.9978254241054763,0.9466762685726758
01397083000167,54872.98,22,16,0.39721330655989834,0.0743801652892562,0.5710187418288565,0.9252499135275686,2.5175390237064064,0.3570275269972249,0.012672176308539947,0.3228331412706421,0.34435535068868495,0.6608090760711074,0.6618984138330563
01404511000131,533040.86,32,20,0.22741827790979535,0.08203125,0.34633988471352833,0.8876948194928246,4.397183943133395,0.1867560820103109,0.033717105263157895,0.14538702790979535,0.153038976747153,0.4237897571152078,0.7158535114071404
01420402000108,84739.40000000001,11,9,0.20704962064863677,0.12396694214876033,0.3540265803156501,0.8163968590761794,4.829760116764474,0.10793082322971638,0.014462809917355383,0.08308267849987644,0.093468013312361,0.7946867962728098,0.6484428800362312
01465988000127,2669716.75,81,53,0.14064002071437567,0.042219173906416704,0.30738363161560117,0.6208619397544702,7.110351626233683,0.12411386726657521,0.02380031186615549,0.09842084680795897,0.10031355540041972,0.6451281261510384,0.824931488696342
01600293000100,8279.18,7,7,0.2739602189198392,0.14285714285714285,0.4522186979869987,0.8634429979780606,3.650164990898187,0.15295358873981238,0.0,0.13110307606269633,0.15295358873981238,0.9871552537329987,0.7499846767775312
01610999000153,4236.12,8,8,0.21798196515790294,0.125,0.29744199881023203,0.8647111035570286,4.587535483844339,0.10626510303760336,0.0,0.09298196515790294,0.10626510303760336,0.9889191873724316,0.722963215304371
01648573000199,4279820.09,37,32,0.34400941003515123,0.034331628926223524,0.5761637751459782,0.7242194846559543,2.9068972267294053,0.32284842326209157,0.0031810363109404122,0.3096777811089277,0.31966738695115116,0.5129467756364453,0.8826216585759108
01650166000116,579048.92,18,15,0.21380006151089428,0.07407407407407407,0.41447275301022923,0.6717912538374133,4.6772671295468475,0.15764292304738672,0.007936507936507933,0.13972598743682021,0.1497064151108788,0.4870381266049738,0.6945728529735713
01746653000187,803449.0775000001,418,107,0.03713639244321764,0.023774638859000483,0.09635963518795626,0.2681495461670998,26.927763689728934,0.02805277350400271,0.014564965640689168,0.013361753584217158,0.013487807863313543,0.9956783181157159,0.9125488217928412
01815216000178,17198428.91,73,67,0.1035861143336811,0.016325764683805588,0.2519416176137219,0.5151051899193506,9.653803566554377,0.0900040857629793,0.0014216096032571882,0.08726034964987552,0.08858247615972212,0.452428219567515,0.9106674573692309
01823752000115,74995.97,6,4,0.35586133796049574,0.2777777777777778,0.4666917435696878,1.0,2.810083291798926,0.1411484506139943,0.037037037037037056,0.07808356018271795,0.10411141357695725,0.7093074124324621,0.7025348859842135
01824828000127,18819.96,43,21,0.18159729804592467,0.06327744726879393,0.3798467159335089,0.6545996909663995,5.506689861360751,0.1406771629482209,0.016441319632233633,0.11831985077713074,0.12423584331598728,0.9879016826448945,0.7691940856537869
01850671000104,139562.38999999998,85,43,0.13661175104506862,0.03529411764705881,0.310507580158236,0.6039364186870115,7.320014510831481,0.11605488797471311,0.012324929971988781,0.10131763339800981,0.10372995800272433,0.9884332274902338,0.7392005950031386
01877528000106,4159587.9899999998,11,11,0.6534896898603942,0.09090909090909091,0.8053682259045084,0.8947478473703354,1.530246024560282,0.6188386588464336,0.0,0.5625805989513033,0.6188386588464336,0.4366750355366919,0.9342733775885613
01896727000161,7681.620000000001,19,16,0.15049852515547893,0.06925207756232686,0.3189431395981577,0.6327311166134227,6.644583386893043,0.09386509349917753,0.007202216066481985,0.08124644759315207,0.08666287743269555,0.9938833376932583,0.8146889881413153
01906118000146,560749.94,5,5,0.8294648351880152,0.20000000000000004,0.9092171102149381,0.988943378219532,1.2055966179365873,0.786831043985019,3.469446951953614e-17,0.6294648351880151,0.786831043985019,0.4095272879056662,0.8653000686356664
01935036000120,26978.34,37,28,0.19283395591009656,0.04455807158509863,0.37878720484655465,0.708943915748708,5.18580866777541,0.16293891724010015,0.009171333495657838,0.14827588432499794,0.15376758374444233,0.96193033384315,0.6747566155450005
01941360000150,714558.1428,132,72,0.2492985544109163,0.026056014692378334,0.4464157370735934,0.729931659243559,4.011254707685589,0.23872529461388695,0.012338493772552677,0.22324253971853797,0.22638680084133428,0.9850312218557831,0.9571018278327709
02073207000111,864439.406,200,87,0.656824578698333,0.018600000000000002,0.8097733573242496,0.8444348845429659,1.5224765217857064,0.6528341668227322,0.007188372093023258,0.638224578698333,0.645645794729709,0.5208668262990127,0.9215653923816725
02179215000147,73631.7,8,8,0.27320822765521074,0.125,0.45332648845537993,0.8659308422866782,3.660211877886788,0.16938083160595513,0.0,0.14820822765521074,0.16938083160595513,0.4167029093240186,0.403468864821237
02246138000109,1618716.57,16,7,0.3751977273992343,0.1875,0.5632710610974966,0.9574545221341622,2.665261346148657,0.2710640152991067,0.052083333333333336,0.1876977273992343,0.21898068196577333,0.40952728790566634,0.8835690486669582
02247113000111,269616.85,33,27,0.2706740404026447,0.04866850321395775,0.36069463017611847,0.8565215786772971,3.6944806325439887,0.24262304195659257,0.012078830260648434,0.22200553718868696,0.23054421169594413,0.9237570568247466,0.8907460853950394
02307876000100,8297.08,5,5,0.3827766162699564,0.20000000000000004,0.48248299401717226,0.9917440834606874,2.6124897851511957,0.22847077033744548,3.469446951953614e-17,0.18277661626995637,0.22847077033744545,0.9973049042023356,0.9597731965001126
02316487000141,15666842.0,9,9,0.6295827088001638,0.1111111111111111,0.7588000185359628,0.9978756407960201,1.588353660324891,0.5832805474001842,0.0,0.5184715976890526,0.5832805474001842,0.5449192325516842,0.9919365241423179
02362976000130,226400.0,18,18,0.1021504201575747,0.05555555555555555,0.2332155477031802,0.5159010600706713,9.789484942474294,0.04933573899037321,0.0,0.04659486460201914,0.04933573899037321,0.45775757202555023,0.4535176949464028
02406542000194,590906.0015,31,28,0.4401299863323649,0.03850156087408947,0.6261634516501015,0.9496734507273404,2.2720560540150254,0.41939405990023026,0.0028905075731298245,0.40162842545827543,0.41650355232710046,0.6195862799439951,0.8731107807584741
02482295000105,8313386.920000001,120,56,0.7657203353701113,0.028194444444444446,0.873560987824202,0.9559161105423445,1.3059598312961735,0.7614607051041133,0.010525252525252528,0.7375258909256669,0.7509354525788609,0.8438527234647272,0.9698306940996441
02762633000162,5278576.3,25,19,0.1349596061833101,0.0656,0.2811371524552937,0.625999840146291,7.409624466758898,0.08690180652682733,0.013688888888888896,0.0693596061833101,0.07321291763793844,0.6108598554586421,0.8963263451798398
02920909000193,261582.46000000002,14,14,0.4484629540612366,0.07142857142857142,0.655674696231544,0.856290784940244,2.2298385874331377,0.4060370274505625,0.0,0.3770343826326652,0.4060370274505625,0.41629565508483074,0.6478932205832026
03061303000102,1465211.1,27,24,0.10847197778816797,0.05349794238683127,0.2097933669762671,0.580555368438036,9.218970838282983,0.0697098898659144,0.012345679012345673,0.054974035401336704,0.057364210853568735,0.4146562470204035,0.7348075239292894
03130778000103,219634.8,7,7,0.2837917295305102,0.14285714285714285,0.4370892044430118,0.9242615468951186,3.5237108623790636,0.16442368445226188,0.0,0.14093458667336733,0.16442368445226188,0.6354255560459481,0.6637170914422503
03133862000180,27087.739999999998,14,13,0.16442778265002284,0.0816326530612245,0.27646270969818815,0.7045866506397358,6.081697289128171,0.09479676453752472,0.005102040816326534,0.08279512958879834,0.08969472372119819,0.4274519544553845,0.19919299976355404
03264792000108,2802395.7078,155,70,0.24497439547011274,0.030343392299687823,0.4710255572851474,0.6864102719847879,4.08205926207501,0.23403199540446218,0.016290397985190542,0.2146310031704249,0.21774159741927163,0.5971991799719367,0.9218070768312822
03331692000149,429612.62,10,9,0.1299676088705962,0.12000000000000002,0.14261685329448656,0.5604863283578588,7.694224804856278,0.02121355997942072,0.010000000000000033,0.009967608870596167,0.011213559979420688,0.4204121921309798,0.6322562882222266
03347877000141,46157.27999999999,29,18,0.41505165105651254,0.08680142687277051,0.6203985590138761,0.884456579763799,2.409338687015227,0.3806429246480721,0.033083863747639365,0.32825022418374206,0.3475590609004327,0.9892725407183651,0.8242722980340312
03347885000198,233068.99519999998,268,89,0.042639480766974824,0.03271886834484296,0.10409218085477892,0.31829221186774137,23.452443182059596,0.03176038395750863,0.021727037303307082,0.009920612422131866,0.010033346654201549,0.9953519747072308,0.9129004255331822
03387174000147,57459.880000000005,8,8,0.18642925193296328,0.125,0.31987536347099926,0.7635504981910857,5.363965094702963,0.07020485935195804,0.0,0.06142925193296328,0.07020485935195804,0.4852539746311926,0.31862167596243784
04073373000143,9021.93,5,5,0.2601198601651932,0.20000000000000004,0.33471884618923,0.9113271772226119,3.844381583801154,0.07514982520649145,3.469446951953614e-17,0.060119860165193134,0.07514982520649141,0.6474947619080919,0.3979742942545922
04200511000108,36304.600000000006,9,7,0.9438989062413548,0.18518518518518517,0.9714471444389967,0.9924031665408791,1.0594354897412077,0.9345487239482472,0.049382716049382706,0.7587137210561696,0.8851660078988645,0.926656217567175,0.8563969846149261
04244520000109,27423.9,6,6,0.28960971967071353,0.16666666666666669,0.39928675352520976,0.9450515790970649,3.45292278566134,0.14753166360485623,3.3306690738754695e-17,0.12294305300404684,0.1475316636048562,0.49179060367855737,0.31458262151513244
04244525000123,476692.74,88,60,0.07290704054195515,0.022210743801652888,0.20497857802491393,0.45881084742343675,13.716096450582699,0.05719360055114084,0.005638044544053785,0.050696296740302266,0.051555556007087056,0.7125172397826509,0.6075152462627746
04326257000199,192963.71999999997,18,18,0.25573441929733226,0.05555555555555555,0.46703857077382216,0.7597588810995144,3.910306648387989,0.21195409102070475,0.0,0.2001788637417767,0.21195409102070475,0.44990739981777955,0.5276151876333941
04402872000137,17.0,17,17,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.23529411764705882,17.0,0.0,0.0,0.0,0.0,0.48981652558759076,0.10664718772826881
04413256000181,114958.56,6,5,0.2696890169483637,0.22222222222222227,0.42954609034768704,0.9010252042127181,3.707974508251725,0.08711127118545464,0.027777777777777818,0.04746679472614146,0.059333493407676824,0.4095272879056663,0.48985852249347406
04515660000166,27175.870000000003,5,5,0.5433083862549271,0.20000000000000004,0.7166265514222727,0.994739082870208,1.8405753073187197,0.42913548281865876,3.469446951953614e-17,0.343308386254927,0.4291354828186587,0.9832028948687128,0.6725500858041571
04539825000130,5228.43,5,5,0.5481536722977535,0.20000000000000004,0.7206752313792094,0.9808737995918468,1.8243059392600522,0.4351920903721918,3.469446951953614e-17,0.3481536722977534,0.43519209037219175,0.7910637510450456,0.26705761965501706
04621712000189,249306.99,14,12,0.43506184998563496,0.09183673469387757,0.6016678473395392,0.9296432883811241,2.2985237616973735,0.38370383634796545,0.009276437847866446,0.34322511529175737,0.374427398500099,0.4582873853872471,0.7252127896241589
04691691000178,13466411.06,76,57,0.3046416772377051,0.031509695290858716,0.4528868711066956,0.8959336467781938,3.282544952704296,0.29222456433123556,0.014215225563909766,0.27313198194684635,0.2780093387673258,0.6439913343969623,0.9600209820139745
04704773000100,32270.0,11,9,0.17512324592364414,0.14049586776859505,0.27889680818097307,0.7551905794855904,5.71026418980386,0.07201365166409968,0.033057851239669436,0.0346273781550491,0.03895580042443024,0.8860077568023196,0.5610262964051522
04729502000109,283691.66000000003,11,8,0.5374043315112007,0.14049586776859505,0.7049907635635111,0.9626648876459744,1.8607963154817961,0.4713192360128008,0.017709563164108624,0.3969084637426057,0.4536096728486922,0.8558333400842959,0.755904353969435
