pct_removed,k,strength_severe50,random_mean,random_p025,random_p975,spec
0.01,96,0.07390648567119155,0.003177978883861237,0.0,0.00904977375565611,todos
0.05,480,0.3559577677224736,0.017396681749622927,0.007541478129713424,0.030165912518853696,todos
0.1,959,0.5098039215686274,0.039582202111613875,0.024132730015082957,0.05735294117647055,todos
0.01,74,0.06033182503770739,0.0032428355957767733,0.0,0.00904977375565611,sem_empenho
0.05,369,0.3167420814479638,0.01833785822021116,0.007541478129713424,0.03167420814479638,sem_empenho
0.1,738,0.4555052790346908,0.04131674208144796,0.024132730015082957,0.06184012066365008,sem_empenho
0.01,96,0.0784313725490196,0.0031613876319758678,0.0,0.00904977375565611,colapsa_compra_fornecedor_max
0.05,480,0.3438914027149321,0.017478129713423832,0.007541478129713424,0.030165912518853696,colapsa_compra_fornecedor_max
0.1,959,0.5037707390648567,0.0397315233785822,0.02262443438914027,0.058823529411764705,colapsa_compra_fornecedor_max
