tipo_contrato_norm,instrumentos,valor,share_instrumentos,share_valor
Carta Contrato,20,17578456.43,0.0004631237698274864,0.005002136708163534
Comodato,10,154189.83,0.0002315618849137432,4.3876355796075705e-05
Contrato (termo inicial),8914,3134571788.1889,0.20641426421211068,0.8919757356689313
Empenho,6691,164911323.53,0.15493805719578557,0.04692727079343711
Outros,27533,189861704.8012,0.6375593377330091,0.05402716710892636
Termo de Adesão,17,7112063.73,0.0003936552043533634,0.0020238133647455564
