meses_observados,municipios,pct_universo
0,4538,81.48680193930687
1,189,3.3937870353743937
2,134,2.4061770515352845
3,122,2.1906985096067517
4,135,2.4241335966959956
5,151,2.7114383192673728
6,300,5.386963548213323
