metrica,estimativa_pontual,bootstrap_media,bootstrap_desvio,ci95_p025,ci95_p975,B,n_compradores
hhi_mediana,0.237419986456335,0.23981137663658014,0.009031424587053324,0.2247684359530889,0.2598561204325467,5000,569
hhi_norm_mediana,0.14732398497701138,0.14632402851687057,0.006933344509137032,0.12956759703525758,0.16276774253791657,5000,569
count_hhi_mediana,0.0946930280957336,0.09431689430576594,0.004807856888566769,0.0833333333333333,0.1005917159763313,5000,569
neff_mediana,4.211945316507356,4.175789183834375,0.15539386410100936,3.8482834205922782,4.449023261472124,5000,569
cr1_mediana,0.3822952117701211,0.38265856836834955,0.011634262372888162,0.35657420888281,0.4042404218541452,5000,569
cr4_mediana,0.8360546274646532,0.8368940802780951,0.0117816366685159,0.8113135686917052,0.8586595482322742,5000,569
share_hhi_maior_count,0.9771528998242531,0.977108963093146,0.006312558283990419,0.9648506151142355,0.9894551845342706,5000,569
share_exposicao_oculta,0.1265377855887522,0.12814797891036905,0.010190821804322356,0.10896309314586995,0.14938488576449913,5000,569
share_hhi_alto_exposicao_alta,0.12478031634446397,0.12404358523725835,0.010132617173973279,0.10369068541300527,0.14411247803163443,5000,569
