orgao_cnpj,portfolio_hhi_jan_fev,portfolio_hhi_norm_jan_fev,portfolio_cr1_jan_fev,portfolio_cr4_jan_fev,count_hhi_jan_fev,count_hhi_norm_jan_fev,exposicao_strength_jan_fev,exposicao_degree_jan_fev,n_fornecedores_jan_fev,n_instrumentos_jan_fev,quadrante_jan_fev,exposicao_oculta_jan_fev,portfolio_hhi_jan_mar,portfolio_hhi_norm_jan_mar,portfolio_cr1_jan_mar,portfolio_cr4_jan_mar,count_hhi_jan_mar,count_hhi_norm_jan_mar,exposicao_strength_jan_mar,exposicao_degree_jan_mar,n_fornecedores_jan_mar,n_instrumentos_jan_mar,quadrante_jan_mar,exposicao_oculta_jan_mar,delta_hhi,delta_hhi_norm,delta_exposicao_strength,quadrante_estavel
00955107000193,0.3775733228824713,0.22196665360308912,0.5622129945770218,0.9604721560623812,0.2222222222222222,0.02777777777777775,0.5355322984749215,0.4373616478754997,5,6,baixo_baixo,False,0.0992656907238385,0.06462206344398613,0.1731194407865028,0.5443922857171309,0.0432525951557093,0.006454618046313503,0.5430572614618535,0.4981588445395735,27,34,baixo_baixo,False,-0.2783076321586328,-0.157344590159103,0.00752496298693206,True
01071994000108,0.1801192163240494,0.14732398497701138,0.2789077638688532,0.7425009643097624,0.0384615384615384,-6.494804694057165e-17,0.8866911929815148,0.5940995749963444,26,26,baixo_baixo,False,0.1801192163240494,0.14732398497701138,0.2789077638688532,0.7425009643097624,0.0384615384615384,-6.494804694057165e-17,0.8919495534048115,0.5966612844188836,26,26,baixo_baixo,False,0.0,0.0,0.0052583604232967485,True
01280363000190,0.5693974337276639,0.5263371771004303,0.6922886373263444,0.9988515565304272,0.0909090909090909,-1.5265566588595904e-17,0.9899461220237536,0.4087641480443691,11,11,critico,False,0.5471006198949253,0.5169073278879204,0.6784062633035545,0.9944246157330048,0.074074074074074,0.0123456790123456,0.9874785893712869,0.4103140721697073,16,18,critico,False,-0.022296813832738627,-0.009429849212509889,-0.0024675326524667973,True
01349236000109,0.2127317846125581,0.16352752115084296,0.4081821003881077,0.7291516378674298,0.0781893004115226,0.02057613168724276,0.8966513426591152,0.9954207915831956,17,27,baixo_baixo,False,0.1022914515136944,0.05954342539529889,0.1793203642769302,0.5505438401899845,0.0742857142857143,0.030204081632653076,0.9466762685726758,0.9978254241054764,22,70,oculta,True,-0.1104403330988637,-0.10398409575554407,0.05002492591356067,False
01397083000167,0.1393056536922068,0.01634931850537919,0.2136398150065576,0.6313936632843239,0.125,0.0,0.570898458236143,0.993454928652995,8,8,baixo_baixo,False,0.3972133065598983,0.35702752699722484,0.5710187418288565,0.9252499135275686,0.0743801652892562,0.012672176308539947,0.6618984138330563,0.6608090760711074,16,22,hhi_alto,False,0.25790765286769146,0.34067820849184566,0.0909999555969132,False
01404511000131,0.2343311387491839,0.18929179396972415,0.3516615208923314,0.901334567831531,0.0915576694411415,0.03811988529062042,0.7340315303319584,0.4202054360656159,18,29,baixo_baixo,False,0.2274182779097953,0.18675608201031085,0.3463398847135283,0.8876948194928246,0.08203125,0.033717105263157895,0.7158535114071404,0.4237897571152078,20,32,baixo_baixo,False,-0.006912860839388607,-0.002535711959413295,-0.018178018924818073,True
01420402000108,0.2547945801048297,0.14833666297694822,0.4196190362693517,0.8663035003780768,0.1358024691358024,0.012345679012345607,0.6697680255227549,0.8132747528420091,8,9,baixo_baixo,False,0.2070496206486367,0.10793082322971628,0.3540265803156501,0.8163968590761794,0.1239669421487603,0.014462809917355351,0.6484428800362312,0.7946867962728098,9,11,baixo_baixo,False,-0.047744959456193004,-0.04040583974723194,-0.021325145486523756,True
01465988000127,0.2072486374544865,0.17675820043350518,0.3846639046439791,0.74135461522565,0.0953769262807163,0.06058373113766692,0.867275424483054,0.6711250085625865,27,49,baixo_baixo,False,0.1406400207143756,0.12411386726657513,0.3073836316156011,0.6208619397544702,0.0422191739064167,0.023800311866155482,0.824931488696342,0.6451281261510384,53,81,baixo_baixo,False,-0.0666086167401109,-0.052644333166930055,-0.04234393578671192,True
01600293000100,0.2739602189198392,0.15295358873981238,0.4522186979869987,0.8634429979780606,0.1428571428571428,-6.476300976980079e-17,0.7122761975201374,0.978387555850298,7,7,baixo_baixo,False,0.2739602189198392,0.15295358873981238,0.4522186979869987,0.8634429979780606,0.1428571428571428,-6.476300976980079e-17,0.7499846767775312,0.9871552537329988,7,7,baixo_baixo,False,0.0,0.0,0.037708479257393845,True
01648573000199,0.3515646170074522,0.3299501042410339,0.5825583569131781,0.7322572699382008,0.0354938271604938,0.0033436213991769248,0.8826725362132902,0.4619312288797714,31,36,baixo_baixo,False,0.3440094100351512,0.3228484232620915,0.5761637751459782,0.7242194846559543,0.0343316289262235,0.0031810363109403836,0.8826216585759108,0.5129467756364453,32,37,hhi_alto,False,-0.0075552069723009985,-0.007101680978942371,-5.087763737943174e-05,False
01650166000116,0.2138000615108942,0.15764292304738667,0.4144727530102292,0.6717912538374133,0.074074074074074,0.007936507936507858,0.7060311515831795,0.4807768311304231,15,18,baixo_baixo,False,0.2138000615108942,0.15764292304738667,0.4144727530102292,0.6717912538374133,0.074074074074074,0.007936507936507858,0.6945728529735713,0.4870381266049738,15,18,baixo_baixo,False,0.0,0.0,-0.01145829860960823,True
01746653000187,0.0372438174819154,0.026779076367588393,0.098203804696532,0.2740751955501558,0.0210067380103051,0.01036550690172146,0.8768974385413363,0.9928081917194712,93,261,baixo_baixo,False,0.0371363924432176,0.02805277350400267,0.0963596351879562,0.2681495461670998,0.0237746388590004,0.014564965640689083,0.9125488217928412,0.995678318115716,107,418,baixo_baixo,False,-0.00010742503869780318,0.0012736971364142764,0.035651383251504964,True
01815216000178,0.1265741560446672,0.09538037590340531,0.2737281256402148,0.5861460460840343,0.0344827586206896,-5.749369234665989e-17,0.9196216948677094,0.4684790934477228,29,29,oculta,True,0.1035861143336811,0.0900040857629793,0.2519416176137219,0.5151051899193506,0.0163257646838055,0.0014216096032571002,0.9106674573692308,0.452428219567515,67,73,baixo_baixo,False,-0.022988041710986104,-0.00537629014042601,-0.008954237498478568,False
01824828000127,0.7079997103479069,0.6714996741413953,0.8383664010770568,0.9382920484957088,0.140495867768595,0.033057851239669374,0.705315542153475,0.9742876058102096,9,11,hhi_alto,False,0.1815972980459246,0.14067716294822083,0.3798467159335089,0.6545996909663995,0.0632774472687939,0.0164413196322336,0.7691940856537869,0.9879016826448944,21,43,baixo_baixo,False,-0.5264024123019823,-0.5308225111931745,0.06387854350031186,False
01850671000104,0.2312002860623634,0.19276030036548158,0.4141463431416847,0.8002233619043905,0.0707911957168352,0.02433075550267697,0.7615058187872675,0.9882984449845212,21,41,baixo_baixo,False,0.1366117510450686,0.11605488797471308,0.310507580158236,0.6039364186870115,0.0352941176470588,0.012324929971988774,0.7392005950031386,0.9884332274902338,43,85,baixo_baixo,False,-0.0945885350172948,-0.0767054123907685,-0.022305223784128914,True
01877528000106,0.1748572601720237,0.03733347020069431,0.2678314839945717,0.7355711662808334,0.1428571428571428,-6.476300976980079e-17,0.7561583516723167,0.5509587892626545,7,7,baixo_baixo,False,0.6534896898603942,0.6188386588464336,0.8053682259045084,0.8947478473703354,0.0909090909090909,-1.5265566588595904e-17,0.9342733775885612,0.4366750355366919,11,11,critico,False,0.47863242968837055,0.5815051886457393,0.1781150259162445,False
01896727000161,0.2847145005642371,0.14165740067708452,0.4303734652387584,0.8910579647505161,0.1666666666666666,-6.661338147750939e-17,0.8014427027633116,0.989859908966624,6,6,baixo_baixo,False,0.1504985251554789,0.0938650934991775,0.3189431395981577,0.6327311166134227,0.0692520775623268,0.007202216066481926,0.8146889881413153,0.9938833376932584,16,19,baixo_baixo,False,-0.13421597540875818,-0.047792307177907015,0.013246285378003653,True
01906118000146,0.8294648351880152,0.786831043985019,0.909217110214938,0.988943378219532,0.2,0.0,0.8684956544556545,0.4083121827411167,5,5,hhi_alto,False,0.8294648351880152,0.786831043985019,0.909217110214938,0.988943378219532,0.2,0.0,0.8653000686356664,0.4095272879056662,5,5,hhi_alto,False,0.0,0.0,-0.0031955858199880227,True
01935036000120,0.3703356191165899,0.2916275715061637,0.5367614844236779,0.9365421940367348,0.1239669421487603,0.014462809917355351,0.7991541763226881,0.986823226547037,9,11,baixo_baixo,False,0.1928339559100965,0.1629389172401001,0.3787872048465546,0.708943915748708,0.0445580715850986,0.009171333495657808,0.6747566155450005,0.96193033384315,28,37,baixo_baixo,False,-0.1775016632064934,-0.1286886542660636,-0.1243975607776876,True
