municipio_ibge,anexo,exercicio,status,n_registros
4317103,DCA-Anexo I-E,2025,ok,248
5003256,DCA-Anexo I-D,2025,ok,173
5003256,DCA-Anexo I-E,2025,ok,146
5005004,DCA-Anexo I-D,2025,ok,200
5005004,DCA-Anexo I-E,2025,ok,210
5006903,DCA-Anexo I-D,2025,ok,180
5006903,DCA-Anexo I-E,2025,ok,178
5008305,DCA-Anexo I-D,2025,ok,213
5008305,DCA-Anexo I-E,2025,ok,193
5200134,DCA-Anexo I-D,2025,ok,144
5200134,DCA-Anexo I-E,2025,ok,174
5200902,DCA-Anexo I-D,2025,ok,134
5200902,DCA-Anexo I-E,2025,ok,127
5203104,DCA-Anexo I-D,2025,ok,158
5203104,DCA-Anexo I-E,2025,ok,155
5203401,DCA-Anexo I-D,2025,ok,187
5203401,DCA-Anexo I-E,2025,ok,245
5206909,DCA-Anexo I-D,2025,ok,159
5206909,DCA-Anexo I-E,2025,ok,169
5210901,DCA-Anexo I-D,2025,ok,157
5210901,DCA-Anexo I-E,2025,ok,155
5211701,DCA-Anexo I-D,2025,ok,135
5211701,DCA-Anexo I-E,2025,ok,132
5215231,DCA-Anexo I-D,2025,ok,173
5215231,DCA-Anexo I-E,2025,ok,215
5215603,DCA-Anexo I-D,2025,ok,173
5215603,DCA-Anexo I-E,2025,ok,175
5217609,DCA-Anexo I-D,2025,ok,138
5217609,DCA-Anexo I-E,2025,ok,186
5220702,DCA-Anexo I-D,2025,ok,122
5220702,DCA-Anexo I-E,2025,ok,119
5221858,DCA-Anexo I-D,2025,ok,200
5221858,DCA-Anexo I-E,2025,ok,175
