estrategia_direcionada,pct_fornecedores_removidos,k_fornecedores_removidos,limiar_perda,share_compradores_severos_direcionado,share_compradores_severos_aleatorio_media,share_compradores_severos_aleatorio_p025,share_compradores_severos_aleatorio_p975,excesso_vulnerabilidade,perda_media_direcionada,perda_media_aleatoria_media,perda_media_aleatoria_p025,perda_media_aleatoria_p975
degree,0.01,18,0.25,0.37083333333333335,0.009662499999999997,0.0,0.025,0.36117083333333333,0.22872316636986295,0.010104765344766125,0.003001291116963444,0.030086084442761625
degree,0.01,18,0.5,0.22916666666666666,0.0033,0.0,0.0125,0.22586666666666666,0.22872316636986295,0.010104765344766125,0.003001291116963444,0.030086084442761625
degree,0.01,18,0.75,0.06666666666666667,0.0013000000000000004,0.0,0.008333333333333333,0.06536666666666667,0.22872316636986295,0.010104765344766125,0.003001291116963444,0.030086084442761625
strength,0.01,18,0.25,0.0625,0.009662499999999997,0.0,0.025,0.0528375,0.0508929995105953,0.010104765344766125,0.003001291116963444,0.030086084442761625
strength,0.01,18,0.5,0.05416666666666667,0.0033,0.0,0.0125,0.05086666666666667,0.0508929995105953,0.010104765344766125,0.003001291116963444,0.030086084442761625
strength,0.01,18,0.75,0.04583333333333333,0.0013000000000000004,0.0,0.008333333333333333,0.04453333333333333,0.0508929995105953,0.010104765344766125,0.003001291116963444,0.030086084442761625
degree,0.05,87,0.25,0.42916666666666664,0.054287499999999995,0.02489583333333334,0.10833333333333334,0.37487916666666665,0.360593490679502,0.05160142111887664,0.027179101577497325,0.09223013323329235
degree,0.05,87,0.5,0.375,0.018283333333333335,0.004166666666666667,0.0375,0.3567166666666667,0.360593490679502,0.05160142111887664,0.027179101577497325,0.09223013323329235
degree,0.05,87,0.75,0.32083333333333336,0.006699999999999999,0.0,0.020833333333333332,0.3141333333333334,0.360593490679502,0.05160142111887664,0.027179101577497325,0.09223013323329235
strength,0.05,87,0.25,0.43333333333333335,0.054287499999999995,0.02489583333333334,0.10833333333333334,0.37904583333333336,0.26989813848009186,0.05160142111887664,0.027179101577497325,0.09223013323329235
strength,0.05,87,0.5,0.2125,0.018283333333333335,0.004166666666666667,0.0375,0.19421666666666665,0.26989813848009186,0.05160142111887664,0.027179101577497325,0.09223013323329235
strength,0.05,87,0.75,0.10416666666666667,0.006699999999999999,0.0,0.020833333333333332,0.09746666666666667,0.26989813848009186,0.05160142111887664,0.027179101577497325,0.09223013323329235
degree,0.1,173,0.25,0.48333333333333334,0.12053333333333333,0.07083333333333333,0.21666666666666667,0.3628,0.41453685602383106,0.10106164078048947,0.06678013703097632,0.15039418941225788
degree,0.1,173,0.5,0.4041666666666667,0.04125416666666666,0.016666666666666666,0.07083333333333333,0.3629125,0.41453685602383106,0.10106164078048947,0.06678013703097632,0.15039418941225788
degree,0.1,173,0.75,0.36666666666666664,0.015079166666666668,0.004166666666666667,0.03333333333333333,0.3515875,0.41453685602383106,0.10106164078048947,0.06678013703097632,0.15039418941225788
strength,0.1,173,0.25,0.6458333333333334,0.12053333333333333,0.07083333333333333,0.21666666666666667,0.5253000000000001,0.4520733171076731,0.10106164078048947,0.06678013703097632,0.15039418941225788
strength,0.1,173,0.5,0.5208333333333334,0.04125416666666666,0.016666666666666666,0.07083333333333333,0.4795791666666667,0.4520733171076731,0.10106164078048947,0.06678013703097632,0.15039418941225788
strength,0.1,173,0.75,0.2625,0.015079166666666668,0.004166666666666667,0.03333333333333333,0.24742083333333334,0.4520733171076731,0.10106164078048947,0.06678013703097632,0.15039418941225788
