orgao_cnpj,portfolio_hhi,count_hhi,portfolio_neff,count_neff,portfolio_cr1,portfolio_cr4,relacao_hhi,razao_neff_valor_frequencia
01071994000108,0.1611152470722187,0.0454545454545454,6.206737215576856,22.0,0.3178000565745746,0.6644836602832488,HHI monetário > HHI frequência,0.2821244188898571
01280363000190,0.5724545693310483,0.1428571428571428,1.7468635129746055,7.0,0.6941471463679356,0.999741112759237,HHI monetário > HHI frequência,0.24955193042494364
01404511000131,0.3003873385785283,0.14,3.329035120894672,7.142857142857142,0.4115086884231437,0.9527958647181362,HHI monetário > HHI frequência,0.4660649169252541
01465988000127,0.9412607791646812,0.1666666666666666,1.0624048320460633,5.999999999999999,0.96998229666282,0.998191006222042,HHI monetário > HHI frequência,0.17706747200767725
01648573000199,0.4119102734491426,0.0422222222222222,2.427713180412984,23.684210526315788,0.632364705077263,0.7880289174304604,HHI monetário > HHI frequência,0.10250344539521489
01746653000187,0.0363917435583884,0.0196432818073721,27.478760351109827,50.90799031476996,0.0885008632445654,0.2487909169085756,HHI monetário > HHI frequência,0.5397730332940956
01815216000178,0.1789351998544363,0.0769230769230769,5.588615324505739,12.999999999999996,0.307286461698136,0.7639224097873859,HHI monetário > HHI frequência,0.42989348650044157
01941360000150,0.0931695817364416,0.0848765432098765,10.733116767968358,11.78181818181818,0.1666802933705116,0.509695585914644,HHI monetário > HHI frequência,0.910989849133117
02073207000111,0.0511735563293138,0.0360493827160493,19.541342672468684,27.73972602739726,0.0975683022019895,0.3377450507732332,HHI monetário > HHI frequência,0.7044533407852908
02247113000111,0.7329978763249883,0.125,1.3642604328046255,8.0,0.8496644444991219,0.984597884795768,HHI monetário > HHI frequência,0.1705325541005782
02482295000105,0.4848852684643545,0.0933333333333333,2.062343537816747,10.714285714285714,0.6236593460560105,0.9727974818313008,HHI monetário > HHI frequência,0.1924853968628964
03061303000102,0.3474728937213164,0.183673469387755,2.877922330258169,5.444444444444445,0.5136990809769277,0.9486540663241678,HHI monetário > HHI frequência,0.5285979790270107
03264792000108,0.1743539307651748,0.0816326530612245,5.735460024396183,12.249999999999998,0.2663211317375823,0.7816470886900712,HHI monetário > HHI frequência,0.46820081831805577
03347877000141,0.4475288775807601,0.2,2.234492677669816,4.999999999999999,0.6342311578632597,0.9942180389660188,HHI monetário > HHI frequência,0.4468985355339633
03347885000198,0.0965820366860118,0.0450680272108843,10.353892238274076,22.18867924528302,0.2221880505976972,0.5293011491898905,HHI monetário > HHI frequência,0.46662949713310037
04402872000137,0.1,0.1,9.999999999999996,9.999999999999996,0.1,0.4,HHI monetário = HHI frequência,1.0
04691691000178,0.9766555798621496,0.1005917159763313,1.0239024079923296,9.941176470588234,0.9882270353407868,0.998306892791474,HHI monetário > HHI frequência,0.10299610021224619
05029092000156,0.0961456766196791,0.0271609386964551,10.400883691896755,36.81757877280264,0.1032163736151059,0.4128654944604239,HHI monetário > HHI frequência,0.28249776434456764
