orgao_cnpj,portfolio_hhi,exposicao_strength,hhi_alto_q4,exposicao_alta_q4,quadrante
01071994000108,0.1611152470722187,0.8182276898503008,False,False,HHI baixo / exposição baixa
01280363000190,0.5724545693310483,0.991787275825859,True,True,HHI alto / exposição alta
01404511000131,0.3003873385785283,0.7326568155007269,False,False,HHI baixo / exposição baixa
01465988000127,0.9412607791646812,0.8841838243338248,True,False,HHI alto / exposição baixa
01648573000199,0.4119102734491426,0.8943557053496992,True,False,HHI alto / exposição baixa
01746653000187,0.0363917435583884,0.8134904648873739,False,False,HHI baixo / exposição baixa
01815216000178,0.1789351998544363,0.8926999034351872,False,False,HHI baixo / exposição baixa
01941360000150,0.0931695817364416,0.9339283708901271,False,True,HHI baixo / exposição alta
02073207000111,0.0511735563293138,0.7836099046661521,False,False,HHI baixo / exposição baixa
02247113000111,0.7329978763249883,0.7444380222122393,True,False,HHI alto / exposição baixa
02482295000105,0.4848852684643545,0.8366407923391986,True,False,HHI alto / exposição baixa
03061303000102,0.3474728937213164,0.7784213865410221,False,False,HHI baixo / exposição baixa
03264792000108,0.1743539307651748,0.900889715708532,False,False,HHI baixo / exposição baixa
03347877000141,0.4475288775807601,0.6826083294794314,True,False,HHI alto / exposição baixa
03347885000198,0.0965820366860118,0.8502672496592696,False,False,HHI baixo / exposição baixa
04402872000137,0.1,0.0906753812636165,False,False,HHI baixo / exposição baixa
04691691000178,0.9766555798621496,0.983642107662444,True,True,HHI alto / exposição alta
05029092000156,0.0961456766196791,0.9380731640634736,False,True,HHI baixo / exposição alta
05419083000171,0.1802980224026823,0.572651095439245,False,False,HHI baixo / exposição baixa
05532421000187,0.1479183246412831,0.644581098707301,False,False,HHI baixo / exposição baixa
05613121000122,0.212804290412101,0.4105326794926272,False,False,HHI baixo / exposição baixa
06073250000138,0.3271584470269085,0.6084807149410345,False,False,HHI baixo / exposição baixa
06089125000116,0.0519387476949377,0.7326567037352777,False,False,HHI baixo / exposição baixa
06129491000151,0.1713424282388326,0.5625742128460627,False,False,HHI baixo / exposição baixa
06216559000130,0.3799429210123508,0.755155901260748,False,False,HHI baixo / exposição baixa
06231312000192,0.0860760944580016,0.8940220203270702,False,False,HHI baixo / exposição baixa
07104377000130,0.2558230033871064,0.5729719545316578,False,False,HHI baixo / exposição baixa
07276220000191,0.7075186031289357,0.6004629002284829,True,False,HHI alto / exposição baixa
07742778000115,0.3139983095485398,0.9488679381465204,False,True,HHI baixo / exposição alta
07750478000188,0.4724366497758493,0.5664127835997415,True,False,HHI alto / exposição baixa
07777639000127,0.3039892693160554,0.2746603698076407,False,False,HHI baixo / exposição baixa
07868234000102,0.2526071570995468,0.5757647971241331,False,False,HHI baixo / exposição baixa
08083086000175,0.2658594265805699,0.5711404717581062,False,False,HHI baixo / exposição baixa
08184785000101,0.3867824149213559,0.4152847618097953,False,False,HHI baixo / exposição baixa
08184821000137,0.3150295414420884,0.9120183581709456,False,True,HHI baixo / exposição alta
08259606000158,0.4213763658983044,0.8968687236761163,True,False,HHI alto / exposição baixa
08281643000162,0.4318799753036099,0.922921264469354,True,True,HHI alto / exposição alta
08289417000128,0.1062468182065188,0.8317429518245288,False,False,HHI baixo / exposição baixa
08345495000100,0.338823545006424,0.90758948666251,False,True,HHI baixo / exposição alta
08418330000103,0.9955978314842208,0.9989739796869648,True,True,HHI alto / exposição alta
08438054000145,0.2015286106337952,0.9262624011775538,False,True,HHI baixo / exposição alta
08595042000124,0.2016684640284328,0.9175767943985372,False,True,HHI baixo / exposição alta
08595187000125,0.1613617030365475,0.7749663607935842,False,False,HHI baixo / exposição baixa
08692266000154,0.0613471855334072,0.8303249406231867,False,False,HHI baixo / exposição baixa
08857731000160,0.3431689720843457,0.9135439526975434,False,True,HHI baixo / exposição alta
08858200000191,0.0630568803628081,0.8413697999248844,False,False,HHI baixo / exposição baixa
08931506000126,0.5324200613682255,0.9052962309802493,True,True,HHI alto / exposição alta
08971900000198,0.2514760899295422,0.92485280617586,False,True,HHI baixo / exposição alta
08999257000100,0.0869174203536576,0.9080359909391398,False,True,HHI baixo / exposição alta
09240588000125,0.4639113080784708,0.927456082175441,True,True,HHI alto / exposição alta
09522642000125,0.3579535880808501,0.7509252176402287,False,False,HHI baixo / exposição baixa
09579148000105,0.2208670408671542,0.7457735412624049,False,False,HHI baixo / exposição baixa
10324957000147,0.0599742396109383,0.8657993531553212,False,False,HHI baixo / exposição baixa
10377912000130,0.2017076212548065,0.8716938498032724,False,False,HHI baixo / exposição baixa
10391817000191,0.0462668283721302,0.8594502847107583,False,False,HHI baixo / exposição baixa
10396929000135,0.0726726314813629,0.8865093083458063,False,False,HHI baixo / exposição baixa
10429180000185,0.4632489297000786,0.7083645839978183,True,False,HHI alto / exposição baixa
10441099000110,0.0813048054634211,0.904883098351792,False,True,HHI baixo / exposição alta
10455823000165,0.1323484008182351,0.9311273942974908,False,True,HHI baixo / exposição alta
10465435000165,0.1053526492355345,0.8743369327601217,False,False,HHI baixo / exposição baixa
10469199000155,0.1299377474774044,0.8894160402527519,False,False,HHI baixo / exposição baixa
10478051000187,0.0618435017310408,0.8261246865656238,False,False,HHI baixo / exposição baixa
10479670000196,0.1033638129373017,0.907377536042578,False,True,HHI baixo / exposição alta
10481963000108,0.0807246803133762,0.8979953376949972,False,False,HHI baixo / exposição baixa
10496698000131,0.2870698007818966,0.8577546413079932,False,False,HHI baixo / exposição baixa
10532003000120,0.1504322126317979,0.8822033281840814,False,False,HHI baixo / exposição baixa
10540697000147,0.0487876203070814,0.806174730891205,False,False,HHI baixo / exposição baixa
10551277000166,0.6316649083176105,0.959848347121891,True,True,HHI alto / exposição alta
10552903000139,0.1457990295329228,0.8107936978424899,False,False,HHI baixo / exposição baixa
10564533000150,0.1750375414865113,0.7379161512169212,False,False,HHI baixo / exposição baixa
10565436000181,0.0826105392677171,0.8554297293384397,False,False,HHI baixo / exposição baixa
10568451000183,0.1032787638291208,0.8200480392905835,False,False,HHI baixo / exposição baixa
10589926000118,0.9450241918377296,0.8271421279799608,True,False,HHI alto / exposição baixa
10594533000100,0.1327074832696713,0.8771618188767032,False,False,HHI baixo / exposição baixa
10596772000191,0.8230888910240182,0.8130994004837524,True,False,HHI alto / exposição baixa
10624466000111,0.095154950219739,0.8919138920977769,False,False,HHI baixo / exposição baixa
10628610000198,0.3497629137293805,0.9140333005875104,False,True,HHI baixo / exposição alta
10631880000158,0.1122679768453336,0.9268336486243236,False,True,HHI baixo / exposição alta
10698251000145,0.2540475069890011,0.8822273594735242,False,False,HHI baixo / exposição baixa
10714485000139,0.0647911606593791,0.8951439019945655,False,False,HHI baixo / exposição baixa
10788473000159,0.1342547245506519,0.8666635742884459,False,False,HHI baixo / exposição baixa
10971858000157,0.2775212819784814,0.9017150904559292,False,False,HHI baixo / exposição baixa
11124654000143,0.2443608469782419,0.3937904184693742,False,False,HHI baixo / exposição baixa
11149280000110,0.6135087740055182,0.5730004572581088,True,False,HHI alto / exposição baixa
11166368000140,0.153831993848772,0.6212427055085502,False,False,HHI baixo / exposição baixa
11171868000170,0.2495721974765049,0.9401503460331068,False,True,HHI baixo / exposição alta
11188015000141,0.1064472486547641,0.9126992887348834,False,True,HHI baixo / exposição alta
11221619000142,0.1150183143517055,0.6530740029916118,False,False,HHI baixo / exposição baixa
11231203000105,0.6247687653376499,0.8448492852677804,True,False,HHI alto / exposição baixa
11232665000147,0.2531605334171239,0.8560412729452215,False,False,HHI baixo / exposição baixa
11241709000103,0.1139929676706828,0.9235062851405912,False,True,HHI baixo / exposição alta
11243552000147,0.1266802222395627,0.8348646168894733,False,False,HHI baixo / exposição baixa
11246073000184,0.1564838667042625,0.9229191884049186,False,True,HHI baixo / exposição alta
11265919000123,0.1348559481624933,0.8384472516413332,False,False,HHI baixo / exposição baixa
11271704000115,0.0974776511194663,0.8334009086843733,False,False,HHI baixo / exposição baixa
11290422000165,0.2360821171556766,0.8361794279915101,False,False,HHI baixo / exposição baixa
11293409000160,0.2156816026598842,0.9903190058265,False,True,HHI baixo / exposição alta
11303923000139,0.1059887809761399,0.8122860351965825,False,False,HHI baixo / exposição baixa
11307015000113,0.6422406483768424,0.5354008995928324,True,False,HHI alto / exposição baixa
11310394000109,0.0481968301983424,0.8530167056267842,False,False,HHI baixo / exposição baixa
11323077000119,0.2120795097462121,0.7890593295935722,False,False,HHI baixo / exposição baixa
11323964000197,0.1473236589535164,0.8194148727552767,False,False,HHI baixo / exposição baixa
11323985000102,0.0667648508677211,0.8444292416873619,False,False,HHI baixo / exposição baixa
11329956000158,0.0623537222969228,0.8773548990010969,False,False,HHI baixo / exposição baixa
11331930000144,0.22189749706313,0.8589800761004566,False,False,HHI baixo / exposição baixa
11333647000151,0.0830038597662406,0.7641496278960167,False,False,HHI baixo / exposição baixa
11344960000195,0.0834765443739029,0.8418068995391205,False,False,HHI baixo / exposição baixa
11355483000163,0.0634603188425925,0.8924880631197474,False,False,HHI baixo / exposição baixa
11359214000175,0.2052572924086388,0.8805448975403871,False,False,HHI baixo / exposição baixa
11359904000124,0.2205208278573496,0.7458338032773002,False,False,HHI baixo / exposição baixa
11360515000119,0.2020399966125369,0.7673941339278707,False,False,HHI baixo / exposição baixa
11364954000108,0.0742911934076688,0.9057451490771884,False,True,HHI baixo / exposição alta
11375809000114,0.3182692240757021,0.6358143535046081,False,False,HHI baixo / exposição baixa
11391482000174,0.1855671498576022,0.8307717881078712,False,False,HHI baixo / exposição baixa
11395801000110,0.1494856253527529,0.8668528071633099,False,False,HHI baixo / exposição baixa
11407443000118,0.1250092971865612,0.8111585022237963,False,False,HHI baixo / exposição baixa
11408074000188,0.3362216505533447,0.5622243109917465,False,False,HHI baixo / exposição baixa
11418721000132,0.2814297796112014,0.9005515642916588,False,False,HHI baixo / exposição baixa
11420915000172,0.3471892945739313,0.6058682053673634,False,False,HHI baixo / exposição baixa
11423342000130,0.0865592264812733,0.7870407640756689,False,False,HHI baixo / exposição baixa
11431615000199,0.2410550842855903,0.6749368062760644,False,False,HHI baixo / exposição baixa
11433441000101,0.0820863485427253,0.7798839785316486,False,False,HHI baixo / exposição baixa
11436906000170,0.7274219028595077,0.9767848578607848,True,True,HHI alto / exposição alta
11436910000138,0.2834074969672476,0.7227804844730458,False,False,HHI baixo / exposição baixa
11444466000100,0.2857846221675343,0.788345431835735,False,False,HHI baixo / exposição baixa
11455792000105,0.0661593720418511,0.8974403443911094,False,False,HHI baixo / exposição baixa
11481782000144,0.1873038545188425,0.6612060442487295,False,False,HHI baixo / exposição baixa
11485410000196,0.0919650816807774,0.9007664793805872,False,False,HHI baixo / exposição baixa
11491075000139,0.0849234339344193,0.8798955670557124,False,False,HHI baixo / exposição baixa
11520158000109,0.140843872243101,0.7540535866239086,False,False,HHI baixo / exposição baixa
11553540000119,0.1298229915978703,0.7797027640654847,False,False,HHI baixo / exposição baixa
11607258000177,0.237602855793145,0.7434974435650716,False,False,HHI baixo / exposição baixa
11627479000107,0.6940156798037598,0.9526062631917228,True,True,HHI alto / exposição alta
11701954000148,0.2619931468279527,0.7523434448844288,False,False,HHI baixo / exposição baixa
