orgao_cnpj,portfolio_hhi_abr,portfolio_hhi_norm_abr,portfolio_cr1_abr,portfolio_cr4_abr,count_hhi_abr,count_hhi_norm_abr,n_fornecedores_abr,n_instrumentos_abr,exposicao_strength_global_abr,exposicao_degree_global_abr,portfolio_hhi_mai,portfolio_hhi_norm_mai,portfolio_cr1_mai,portfolio_cr4_mai,count_hhi_mai,count_hhi_norm_mai,n_fornecedores_mai,n_instrumentos_mai,exposicao_strength_global_mai,exposicao_degree_global_mai,delta_portfolio_hhi,delta_portfolio_hhi_norm,delta_portfolio_cr1,delta_portfolio_cr4,delta_count_hhi,delta_count_hhi_norm,delta_n_fornecedores,delta_n_instrumentos,delta_exposicao_strength_global,delta_exposicao_degree_global
13128780009581,0.4971234606564902,0.3965481527877883,0.6773905186426865,0.9689937232450084,0.24,0.088,6,10,0.906779997355308,0.5000674199293479,0.4971234606564902,0.3965481527877883,0.6773905186426865,0.9689937232450084,0.24,0.088,6,10,0.9029949215082548,0.8020886496190475,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.003785075847053232,0.3020212296896996
13128780009905,0.3512993314623567,0.1891241643279459,0.4991571922791901,0.9990823187003482,0.2,3.4694469519536136e-17,5,5,0.5513876466592768,0.4065773450889848,0.1311129559665114,0.0521232246907397,0.1922880230586236,0.6508099007176548,0.140625,0.0625,12,16,0.6186621812041139,0.5841598470141899,-0.2201863754958453,-0.13700093963720622,-0.3068691692205665,-0.3482724179826935,-0.05937500000000001,0.062499999999999965,7,11,0.06727453454483712,0.17758250192520508
13128814001049,0.4225692893246375,0.2782116116557968,0.5696015448221737,0.9838908917708014,0.2,3.4694469519536136e-17,5,5,0.8939518016974566,0.7263682572041197,0.8420652931108644,0.815742841962675,0.9163878068933228,0.990612303075054,0.1428571428571428,0.0,7,7,0.9871845941024328,0.4316611775313422,0.4194960037862269,0.5375312303068782,0.34678626207114904,0.0067214113042526336,-0.05714285714285722,-3.4694469519536136e-17,2,2,0.09323279240497617,-0.2947070796727775
13133909000160,0.1974596545009301,0.1528740797509817,0.3206516710625827,0.7466338422403795,0.055,0.0025,19,20,0.9138899421866472,0.582623941720284,0.107054056270257,0.0880552064036667,0.1897798474657522,0.6097310554409036,0.0229289940828402,0.0021402492760921,48,52,0.8953045517762384,0.6999897303808634,-0.09040559823067308,-0.064818873347315,-0.1308718235968305,-0.13690278679947598,-0.0320710059171598,-0.00035975072390790003,29,32,-0.018585390410408853,0.11736578866057945
13170158000151,0.4868432612575884,0.4784308557044341,0.6684684259221494,0.9170442440495956,0.039857227840571,0.0241171823953345,62,164,0.9070019236708396,0.5989890864785833,0.6519167995239306,0.6472129724904702,0.7966364973272312,0.965870028097144,0.0367793440447223,0.0237628486939753,75,223,0.9606360637332536,0.8074525886386676,0.16507353826634213,0.16878211678603605,0.1281680714050818,0.04882578404754834,-0.003077883795848696,-0.00035433370135919823,13,59,0.05363414006241396,0.20846350216008436
13183513000127,0.3352708060901985,0.2877901493823556,0.4591946362657054,0.8893762139493353,0.0726643598615916,0.0064260998517053,15,17,0.9468620590950932,0.4162756631751607,0.3075515569399191,0.2690821989921368,0.4554078637246676,0.8651371807212143,0.0619834710743801,0.0098714416896235,19,22,0.9518257391156872,0.4506477587707604,-0.0277192491502794,-0.018707950390218775,-0.003786772541037764,-0.024239033228121043,-0.010680888787211504,0.0034453418379182003,4,5,0.004963680020593997,0.03437209559559973
13240198000122,0.4094848999803698,0.3110657166437648,0.599897084322423,0.9561130845997088,0.15625,0.015625,7,8,0.4859289237069106,0.4060703352497573,0.3678067297519032,0.2774934054307465,0.5660885295368222,0.9022291727643488,0.1358024691358024,0.0123456790123456,8,9,0.4694468969485939,0.4307431565456974,-0.04167817022846659,-0.03357231121301829,-0.03380855478560074,-0.05388391183536001,-0.020447530864197594,-0.0032793209876543997,1,1,-0.016482026758316726,0.024672821295940117
13244984000106,0.2745642361191763,0.0932052951489704,0.3791020021324487,0.9960510208111204,0.2,3.4694469519536136e-17,5,5,0.6611970518530689,0.5117898302501825,0.5859200766384889,0.5031040919661867,0.7545740542237919,0.9611261118939948,0.1666666666666666,3.3306690738754695e-17,6,6,0.8722164666315827,0.7685747788856023,0.3113558405193126,0.40989879681721625,0.37547205209134316,-0.03492490891712563,-0.03333333333333341,-1.3877787807814407e-18,1,1,0.21101941477851383,0.2567849486354198
13286669000133,0.6425548621499424,0.4638322932249136,0.7833805816026783,1.0,0.5,0.25,3,6,0.7322974117239912,0.9806721522422456,0.6060297732459667,0.4090446598689501,0.7519901819741538,1.0,0.5510204081632654,0.326530612244898,3,7,0.8102986338767935,0.986803106674387,-0.036525088903975655,-0.05478763335596348,-0.031390399628524523,0.0,0.05102040816326536,0.07653061224489799,0,1,0.07800122215280225,0.0061309544321414
13358623000182,0.1605081846050359,0.0405807824057553,0.1872823093896456,0.7002328111797995,0.125,0.0,8,8,0.5852084529640575,0.7038588907632128,0.1277913656568651,0.0405705022225516,0.161123313460935,0.6024265244221316,0.0909090909090909,0.0,11,11,0.5537690790882072,0.7026906962948065,-0.0327168189481708,-1.0280183203703608e-05,-0.0261589959287106,-0.09780628675766789,-0.0340909090909091,0.0,3,3,-0.031439373875850385,-0.001168194468406325
