familia,modelo,termo,n_janelas,janelas,coeficientes,p_values,sinais,mudancas_sinal,coef_primeira,coef_penultima,coef_ultima,delta_ultima_vs_penultima,razao_abs_ultima_penultima,razao_abs_ultima_primeira,n_significativo_5pct,mesmo_sinal_nao_nulo
hhi_norm,F2_HHI_norm_regiao,log_despesa_pc,4,jan_fev|jan_mar|jan_abr|jan_mai,-0.094735161579|-0.0156838633827|0.091687463182|0.0618649608743,0.685168741957|0.92804838337|0.479211450037|0.598188511739,-1|-1|1|1,1,-0.0947351615790249,0.0916874631819959,0.0618649608742736,-0.0298225023077223,0.6747374038637557,0.6530306154876606,0,False
hhi_norm,F2_HHI_norm_regiao,log_instr_por_forn,4,jan_fev|jan_mar|jan_abr|jan_mai,0.0771627662987|0.110214593127|0.000575423207016|-0.0078109581589,0.573188597413|0.333024059447|0.995604151873|0.92738543043,1|1|1|-1,1,0.0771627662986704,0.0005754232070163,-0.0078109581588982,-0.0083863813659145,13.57428422013042,0.10122703647850934,0,False
hhi_norm,F2_HHI_norm_regiao,log_n_fornecedores,4,jan_fev|jan_mar|jan_abr|jan_mai,-0.458318580162|-0.430007739746|-0.396326092987|-0.393228451322,7.77619035379e-10|6.69713547416e-14|4.06286771848e-19|1.55697749128e-24,-1|-1|-1|-1,0,-0.4583185801617045,-0.3963260929867361,-0.3932284513218573,0.003097641664878803,0.9921841086930845,0.8579806020151266,4,True
hhi_norm,F2_HHI_norm_regiao,log_populacao,4,jan_fev|jan_mar|jan_abr|jan_mai,0.0825692301268|0.0911108727649|0.11004867404|0.117534364572,0.0460828491452|0.00102231644463|2.26991124506e-07|5.46277308943e-09,1|1|1|1,0,0.082569230126789,0.1100486740398715,0.1175343645717278,0.007485690531856312,1.068021633128848,1.42346445995982,4,True
hhi_norm,O2_HHI_norm_regiao,log_despesa_pc,4,jan_fev|jan_mar|jan_abr|jan_mai,-0.0130428535677|0.00171297515417|0.0204866222269|0.0155293854771,0.75347035744|0.955264716912|0.379551598919|0.453404415135,-1|1|1|1,1,-0.0130428535676869,0.0204866222268825,0.0155293854771025,-0.004957236749779999,0.7580256669508395,1.1906432435595133,0,False
hhi_norm,O2_HHI_norm_regiao,log_instr_por_forn,4,jan_fev|jan_mar|jan_abr|jan_mai,0.0187440509332|0.024339855251|0.00472954915844|0.00637321648462,0.442893575333|0.215068657855|0.780668364207|0.639947270066,1|1|1|1,0,0.0187440509331842,0.0047295491584358,0.0063732164846236,0.0016436673261878004,1.3475315027133388,0.3400127596399426,0,True
hhi_norm,O2_HHI_norm_regiao,log_n_fornecedores,4,jan_fev|jan_mar|jan_abr|jan_mai,-0.079549604476|-0.0727057392756|-0.0667271046945|-0.0664866019971,5.43536589463e-10|7.3747392078e-14|6.97197729737e-20|6.57030197894e-25,-1|-1|-1|-1,0,-0.0795496044759813,-0.066727104694528,-0.0664866019971229,0.00024050269740509556,0.9963957270661435,0.8357879644417018,4,True
hhi_norm,O2_HHI_norm_regiao,log_populacao,4,jan_fev|jan_mar|jan_abr|jan_mai,0.015460691704|0.0167917137497|0.0205347718955|0.0218359081043,0.0448348849492|0.000988064421649|4.78893252044e-07|3.69402719287e-09,1|1|1|1,0,0.0154606917040317,0.0205347718955118,0.0218359081043004,0.0013011362087885989,1.0633625839823906,1.4123500113909022,4,True
exposicao_strength,O4_Exposicao_strength_regiao,log_populacao,3,jan_mar|jan_abr|jan_mai,0.0107527955579|0.0117292460389|0.0110874702818,0.00538128720757|0.000337465612301|0.00266463927247,1|1|1,0,0.010752795557862,0.0117292460388784,0.011087470281785,-0.0006417757570933991,0.9452841423083689,1.0311244384887703,3,True
exposicao_strength,O4_Exposicao_strength_regiao,log_despesa_pc,3,jan_mar|jan_abr|jan_mai,-0.0161335069185|-0.0079497728924|-0.0268260554098,0.499519019452|0.660195977293|0.139326764855,-1|-1|-1,0,-0.0161335069185337,-0.0079497728924036,-0.026826055409848,-0.0188762825174444,3.3744429901238586,1.6627541392771223,0,True
