fornecedor_raiz,degree_raiz,strength_raiz,pct_degree_global_raiz,pct_strength_global_raiz
00000000,75,2232359.91,0.9959685446944058,0.9662552259605813
00000118,1,41000.0,0.39791956997810074,0.5284690424049373
00003228,1,9737.24,0.39791956997810074,0.2798128608401354
00005544,1,5361.0,0.39791956997810074,0.20351383635277723
00005599,1,302738.79,0.39791956997810074,0.8454111088990643
00006734,1,215000.0,0.39791956997810074,0.8019360939677483
00008089,1,83.0,0.39791956997810074,0.006818634282301414
00009881,1,14094.44,0.39791956997810074,0.3314254429623731
00011080,1,9945.0,0.39791956997810074,0.2823511845510651
00019761,1,350.0,0.39791956997810074,0.02640354369898467
00028682,4,739347.4400000001,0.9461726060123432,0.9206151702170018
00028986,2,10253344.05,0.8486462273541708,0.993529763089787
00029372,2,52915.630000000005,0.8486462273541708,0.5808281903245073
00059307,1,484666.56,0.39791956997810074,0.8910013935894884
00067750,1,265873.0,0.39791956997810074,0.8268465060720684
00071556,1,1100.0,0.39791956997810074,0.06855962572168027
00072182,1,1649.7,0.39791956997810074,0.09351980887915588
00076945,1,48000.0,0.39791956997810074,0.5604220585307585
00085822,3,112912.65,0.9195202070475811,0.7069978100736611
00088317,3,12583.6,0.9195202070475811,0.31719092175990443
00088925,1,120000.0,0.39791956997810074,0.7167280509655585
00108786,1,17000.0,0.39791956997810074,0.3647471630499701
00113440,1,100000.0,0.39791956997810074,0.6890304598845312
00126365,1,24740.0,0.39791956997810074,0.42962373083814454
00126381,2,564000.0,0.8486462273541708,0.902822018713916
00132777,1,2722.0,0.39791956997810074,0.1362731435397173
00136858,1,4164014.54,0.39791956997810074,0.9824805892892694
00137950,3,71611.0,0.9195202070475811,0.6404041409516226
00138113,1,20000.0,0.39791956997810074,0.3930917778220187
00140074,1,4950.0,0.39791956997810074,0.19373382440772446
00142237,1,180000.0,0.39791956997810074,0.7779962173999602
00144236,1,49000.0,0.39791956997810074,0.5650009954210631
00144263,1,1599.99,0.39791956997810074,0.09123034043400359
00147109,4,933.0,0.9461726060123432,0.06037228747760302
00147794,1,152100.0,0.39791956997810074,0.7541807684650608
00154306,1,8850.0,0.39791956997810074,0.26647421859446546
00159049,1,935.0,0.39791956997810074,0.060422058530758514
00165960,4,81650.0,0.9461726060123432,0.6600637069480391
00167287,1,6673.4,0.39791956997810074,0.22889707346207447
00170488,1,5800.0,0.39791956997810074,0.21209934302209835
00171258,1,43827.25,0.39791956997810074,0.5418574557037626
00173508,1,20000.0,0.39791956997810074,0.3930917778220187
00174282,1,7514.5,0.39791956997810074,0.24487358152498506
00178471,1,1395.52,0.39791956997810074,0.0823710929723273
00181365,1,6800.0,0.39791956997810074,0.23046486163647223
00181772,1,3000.0,0.39791956997810074,0.14485865020903843
00187413,1,16200.0,0.39791956997810074,0.35812761298029067
00191334,1,48000.0,0.39791956997810074,0.5604220585307585
00196771,1,150000.0,0.39791956997810074,0.7523143539717301
00202055,1,42760.0,0.39791956997810074,0.5369798924945252
00205480,2,6249139.2,0.8486462273541708,0.9890503683057934
00206665,1,416750.0,0.39791956997810074,0.8775632092375074
00208351,1,27762960.0,0.39791956997810074,0.9979096157674696
00211131,1,64500.0,0.39791956997810074,0.6259456500099542
00214137,1,532060.12,0.39791956997810074,0.8990145331475214
00214410,1,1500.0,0.39791956997810074,0.0880698785586303
00215595,1,1106.0,0.39791956997810074,0.0689826796735019
00220819,1,24859.2,0.39791956997810074,0.43022098347601034
00220982,1,792213.07,0.39791956997810074,0.9240493728847302
00224212,1,53616.70999999999,0.39791956997810074,0.5822217798128608
00236720,1,148520.0,0.39791956997810074,0.7501493131594664
00243167,1,6228.09,0.39791956997810074,0.22018713915986463
00245916,1,550.0,0.39791956997810074,0.03854768066892295
00250388,4,270789.31,0.9461726060123432,0.8293350587298427
00256241,1,3800.0,0.39791956997810074,0.1668574557037627
00258103,1,27450.0,0.39791956997810074,0.44779016523989645
00258563,1,9064.0,0.39791956997810074,0.2706549870595262
00261343,1,4647.95,0.39791956997810074,0.1882341230340434
00263900,1,0.2,0.39791956997810074,0.0007465657973322715
00264554,1,495000.0,0.39791956997810074,0.8930420067688633
00274187,1,454930.39,0.39791956997810074,0.885626119848696
00276970,1,195.0,0.39791956997810074,0.014732231734023491
00282611,1,65598.54000000001,0.39791956997810074,0.6282600039816842
00285549,1,61666.0,0.39791956997810074,0.6172606012343221
00287365,1,49139.0,0.39791956997810074,0.5657475612183954
00288790,1,16827.0,0.39791956997810074,0.36327891698188336
00292410,1,1127.2,0.39791956997810074,0.06972924547083416
00294139,1,42996.25,0.39791956997810074,0.5380250846107903
00295030,2,6500.0,0.8486462273541708,0.22546287079434602
00295234,2,1704.24,0.8486462273541708,0.09620744574955206
00302007,1,33821.93,0.39791956997810074,0.4888015130400159
00304559,3,50151.8,0.9195202070475811,0.5725661955006968
00313537,1,13338.0,0.39791956997810074,0.3238104718295839
00325276,1,480000.0,0.39791956997810074,0.8897073462074457
00326578,1,116504.6,0.39791956997810074,0.7112532351184551
00331788,10,1001458.9400000001,0.977876766872387,0.938084809874577
00333992,1,13400.0,0.39791956997810074,0.3242086402548278
00352294,1,59982.7,0.39791956997810074,0.6066095958590484
00358519,1,14437.4,0.39791956997810074,0.3347103324706351
00360305,85,4188023.24,0.9966902249651602,0.9826299024487358
00367185,2,36050.0,0.8486462273541708,0.5018913000199084
00369925,1,7528.76,0.39791956997810074,0.245072665737607
00374381,1,100000.0,0.39791956997810074,0.6890304598845312
00374407,1,50000.0,0.39791956997810074,0.5706251244276329
00375940,1,100000.0,0.39791956997810074,0.6890304598845312
00376660,1,26800.0,0.39791956997810074,0.4437089388811467
00376959,1,304650.0,0.39791956997810074,0.846306987855863
00377455,12,342627.92,0.9805644037427832,0.8593967748357555
00384013,1,250000.0,0.39791956997810074,0.8203016125821222
00384114,1,332500.0,0.39791956997810074,0.8555146326896277
00388310,1,4950.0,0.39791956997810074,0.19373382440772446
00398022,2,100984.5,0.8486462273541708,0.6914194704359944
00405088,1,150000.0,0.39791956997810074,0.7523143539717301
00407396,1,2200.0,0.39791956997810074,0.11643937885725662
00417857,1,264000.0,0.39791956997810074,0.8259755126418475
00418954,1,1440000.0,0.39791956997810074,0.9518713915986462
00424030,1,5777.9,0.39791956997810074,0.21182560222974317
00436435,1,588177.98,0.39791956997810074,0.9054847700577344
00437218,1,1144000.0,0.39791956997810074,0.9428628309775035
00438279,1,324800.0,0.39791956997810074,0.8533247063507864
00439298,2,36750.0,0.8486462273541708,0.5057485566394585
00444593,1,5280.0,0.39791956997810074,0.20194604817837947
00446092,1,1220.4,0.39791956997810074,0.0748556639458491
00452422,1,12375.0,0.39791956997810074,0.31502588094764084
00455989,1,1610.0,0.39791956997810074,0.0924746167628907
00456865,25,2296986.27,0.9895480788373482,0.9670515628110691
00457674,1,30046.0,0.39791956997810074,0.46939080230937685
00462005,1,6544.0,0.39791956997810074,0.2267569181763886
00462780,1,408000.0,0.39791956997810074,0.8760451921162652
00463731,1,28080.0,0.39791956997810074,0.45224467449731237
00464331,1,1860.0,0.39791956997810074,0.10265279713318734
00467916,1,33900.0,0.39791956997810074,0.48927433804499304
00468680,1,122421.19,0.39791956997810074,0.7216304997013737
00470440,1,4545.0,0.39791956997810074,0.18619350985466854
00474973,2,1246065.4200000002,0.8486462273541708,0.9458490941668326
00482840,1,13246999.99,0.39791956997810074,0.9949731236312961
00483195,1,0.01,0.39791956997810074,0.00027374079235516625
00495124,1,39799.94,0.39791956997810074,0.5208043002189926
00495290,1,68000.0,0.39791956997810074,0.6326896277125224
00495534,1,1550.0,0.39791956997810074,0.08976209436591678
00496983,1,2111.0,0.39791956997810074,0.11347800119450528
00498393,2,79430.0,0.8486462273541708,0.6551363726856461
00502141,2,14459.6,0.8486462273541708,0.3348596456301015
00503028,1,167016.15,0.39791956997810074,0.7669719291260203
00503644,1,891.0,0.39791956997810074,0.05830678877165041
00506738,1,1440000.0,0.39791956997810074,0.9518713915986462
00512932,2,59620.0,0.8486462273541708,0.6051164642643838
00517095,1,5880.0,0.39791956997810074,0.21282102329285288
00519345,1,137600.0,0.39791956997810074,0.7384531156679275
00520127,1,32000.0,0.39791956997810074,0.47941966952020704
00525149,1,200880.0,0.39791956997810074,0.7946446346804699
00528262,3,12390.0,0.9195202070475811,0.31515030858052956
00528952,1,903.0,0.39791956997810074,0.05942663746764881
00532033,1,20000.0,0.39791956997810074,0.3930917778220187
