estrategia,papel,ranking_scope,pct_fornecedores_removidos,k_fornecedores_removidos,limiar_perda,share_severos_direcionado,share_severos_aleatorio_media,share_severos_aleatorio_p025,share_severos_aleatorio_p975,excesso_vs_aleatorio,perda_media_direcionada,perda_media_aleatoria_media,perda_media_aleatoria_p025,perda_media_aleatoria_p975
strength,principal,global,0.01,204,0.25,0.16852264291017074,0.009936896807720861,0.004454342984409799,0.01855976243504083,0.15858574610244988,0.1101599857211113,0.010093319239560515,0.006664732366334647,0.01557160646189004
strength,principal,global,0.01,204,0.5,0.08908685968819599,0.003230883444691908,0.0007423904974016332,0.007423904974016332,0.08585597624350408,0.1101599857211113,0.010093319239560515,0.006664732366334647,0.01557160646189004
strength,principal,global,0.01,204,0.75,0.050482553823311065,0.0010415738678544915,0.0,0.002969561989606533,0.04944097995545657,0.1101599857211113,0.010093319239560515,0.006664732366334647,0.01557160646189004
degree,complementar,global,0.01,204,0.25,0.13734224201930215,0.009936896807720861,0.004454342984409799,0.01855976243504083,0.12740534521158128,0.10322891175746918,0.010093319239560515,0.006664732366334647,0.01557160646189004
degree,complementar,global,0.01,204,0.5,0.08982925018559762,0.003230883444691908,0.0007423904974016332,0.007423904974016332,0.08659836674090571,0.10322891175746918,0.010093319239560515,0.006664732366334647,0.01557160646189004
degree,complementar,global,0.01,204,0.75,0.04899777282850779,0.0010415738678544915,0.0,0.002969561989606533,0.0479561989606533,0.10322891175746918,0.010093319239560515,0.006664732366334647,0.01557160646189004
strength,principal,global,0.05,1019,0.25,0.4484038604305865,0.05401633259094284,0.04007052709725316,0.07201187824795843,0.39438752783964365,0.32364991307258606,0.049996332123875616,0.04157740566879511,0.06165744876489043
strength,principal,global,0.05,1019,0.5,0.3414996288047513,0.01785523385300668,0.010393466963622866,0.02746844840386043,0.32364439495174463,0.32364991307258606,0.049996332123875616,0.04157740566879511,0.06165744876489043
strength,principal,global,0.05,1019,0.75,0.20044543429844097,0.0057520415738678546,0.0022271714922048997,0.01041202672605789,0.19469339272457312,0.32364991307258606,0.049996332123875616,0.04157740566879511,0.06165744876489043
degree,complementar,global,0.05,1019,0.25,0.3370452858203415,0.05401633259094284,0.04007052709725316,0.07201187824795843,0.28302895322939864,0.2511940598487854,0.049996332123875616,0.04157740566879511,0.06165744876489043
degree,complementar,global,0.05,1019,0.5,0.2026726057906459,0.01785523385300668,0.010393466963622866,0.02746844840386043,0.1848173719376392,0.2511940598487854,0.049996332123875616,0.04157740566879511,0.06165744876489043
degree,complementar,global,0.05,1019,0.75,0.13511507052709726,0.0057520415738678546,0.0022271714922048997,0.01041202672605789,0.1293630289532294,0.2511940598487854,0.049996332123875616,0.04157740566879511,0.06165744876489043
strength,principal,global,0.1,2037,0.25,0.5872308834446919,0.1205404602821084,0.09797698589458055,0.14625092798812175,0.46669042316258347,0.44848787784576416,0.0999470404163003,0.08698855508118868,0.11420042607933283
strength,principal,global,0.1,2037,0.5,0.4825538233110616,0.04083518930957683,0.028953229398663696,0.054194506310319225,0.4417186340014848,0.44848787784576416,0.0999470404163003,0.08698855508118868,0.11420042607933283
strength,principal,global,0.1,2037,0.75,0.3236822568671121,0.013314031180400893,0.0066815144766146995,0.020786933927245732,0.3103682256867112,0.44848787784576416,0.0999470404163003,0.08698855508118868,0.11420042607933283
degree,complementar,global,0.1,2037,0.25,0.4669636228656273,0.1205404602821084,0.09797698589458055,0.14625092798812175,0.3464231625835189,0.34060075879096985,0.0999470404163003,0.08698855508118868,0.11420042607933283
degree,complementar,global,0.1,2037,0.5,0.28878990348923533,0.04083518930957683,0.028953229398663696,0.054194506310319225,0.2479547141796585,0.34060075879096985,0.0999470404163003,0.08698855508118868,0.11420042607933283
degree,complementar,global,0.1,2037,0.75,0.18634001484780996,0.013314031180400893,0.0066815144766146995,0.020786933927245732,0.17302598366740907,0.34060075879096985,0.0999470404163003,0.08698855508118868,0.11420042607933283
