,count,mean,std,min,10%,25%,50%,75%,90%,95%,max
n_entrantes_marco,569.0,8.964850615114235,11.231972803111123,0.0,0.0,1.0,4.0,13.0,25.0,32.0,89.0
share_valor_entrantes_acumulado,569.0,0.20598240683796953,0.23911514358750463,0.0,0.0,0.017254379834835132,0.10953958795649874,0.3176387067012889,0.5885492339954689,0.7138347479006931,0.981314800682716
share_valor_entrantes_marco,475.0,0.7532552796770389,0.31743691358886783,0.0,0.23864744321395778,0.49569818542894994,0.9401642830429098,1.0,1.0,1.0,1.0
delta_hhi,569.0,-0.03803887216643409,0.12544605491447955,-0.6314869620494183,-0.15383917557884366,-0.07164073228456216,-0.02337735147143602,0.0,0.016789523397879338,0.10874505221059347,0.7309732101327471
delta_hhi_norm,569.0,-0.023231978500607733,0.13150014906191082,-0.6559982453989738,-0.12945036321089928,-0.050963005512820965,-0.010269160199169123,0.0,0.0307164700255946,0.1211527582784875,0.7707419911601187
efeito_reponderacao,569.0,-0.004768740452629027,0.03631489779159478,-0.2839310459099122,-0.03164862260027438,-0.007269959216279348,0.0,0.0,0.001893501356132922,0.01913650448827321,0.23349148989848986
efeito_entrada,569.0,-0.03327013171380506,0.12002062666335409,-0.6314869620494183,-0.13837973406505358,-0.060869827676111016,-0.018224796110970283,0.0,0.0,0.06812157042543349,0.730973210132747
