orgao_cnpj,n_fornecedores_jan_fev,n_fornecedores_jan_mar,n_entrantes_marco,hhi_jan_fev,hhi_jan_mar,hhi_oldset_reponderado,hhi_norm_jan_fev,hhi_norm_jan_mar,delta_hhi,efeito_reponderacao,efeito_entrada,share_valor_entrantes_acumulado,share_valor_entrantes_marco,valor_marco_sobre_acumulado,erro_identidade
00955107000193,5,27,22,0.3775733228824713,0.09926569072383849,0.3775733228824713,0.22196665360308912,0.06462206344398612,-0.2783076321586328,0.0,-0.2783076321586328,0.7145742507986375,1.0,0.7145742507986375,0.0
01071994000108,26,26,0,0.18011921632404948,0.18011921632404948,0.18011921632404956,0.14732398497701146,0.14732398497701146,0.0,8.326672684688674e-17,-8.326672684688674e-17,0.0,,0.0,0.0
01280363000190,11,16,5,0.5693974337276639,0.5471006198949253,0.5693974337276642,0.5263371771004303,0.5169073278879204,-0.022296813832738627,2.220446049250313e-16,-0.02229681383273885,0.020052869965343452,1.0,0.020052869965343452,0.0
01349236000109,17,22,5,0.21273178461255818,0.1022914515136944,0.13358188356406325,0.16352752115084307,0.05954342539529889,-0.11044033309886378,-0.07914990104849493,-0.031290432050368855,0.23749896707576887,0.42358687331594846,0.5606853801123841,0.0
01397083000167,8,16,8,0.13930565369220682,0.39721330655989834,0.33515784450154856,0.016349318505379223,0.3570275269972249,0.2579076528676915,0.19585219080934174,0.062055462058349775,0.9429959881894513,0.9685671009511033,0.9735990281555692,0.0
01404511000131,18,20,2,0.2343311387491839,0.22741827790979535,0.23354848971447137,0.18929179396972415,0.1867560820103109,-0.0069128608393885516,-0.0007826490347125348,-0.006130211804676017,0.013469886717502294,0.8901098628635752,0.015132836158188698,0.0
01420402000108,8,9,1,0.2547945801048297,0.20704962064863677,0.23399997900424452,0.14833666297694822,0.10793082322971638,-0.04774495945619292,-0.020794601100585175,-0.026950358355607745,0.07080531606313001,0.45296761734503604,0.15631430007764982,0.0
01465988000127,27,53,26,0.2072486374544865,0.14064002071437567,0.2072486374544865,0.17675820043350518,0.12411386726657521,-0.06660861674011082,0.0,-0.06660861674011082,0.2009033654974821,1.0,0.2009033654974821,0.0
01600293000100,7,7,0,0.2739602189198392,0.2739602189198392,0.2739602189198392,0.15295358873981238,0.15295358873981238,0.0,0.0,0.0,0.0,,0.0,0.0
01648573000199,31,32,1,0.3515646170074522,0.3440094100351512,0.3515646170074522,0.3299501042410339,0.3228484232620915,-0.0075552069723009985,0.0,-0.0075552069723009985,0.010976723089310981,1.0,0.010976723089310981,0.0
01650166000116,15,15,0,0.21380006151089428,0.21380006151089428,0.21380006151089428,0.15764292304738672,0.15764292304738672,0.0,0.0,0.0,0.0,,0.0,0.0
01746653000187,93,107,14,0.03724381748191549,0.03713639244321763,0.04009549512889221,0.026779076367588486,0.028052773504002704,-0.00010742503869785869,0.002851677646976719,-0.002959102685674578,0.04422994735469093,0.1306711378577472,0.33848291275186626,0.0
01815216000178,29,67,38,0.1265741560446673,0.1035861143336811,0.1203972382095881,0.09538037590340541,0.0900040857629793,-0.022988041710986187,-0.00617691783507919,-0.016811123875906997,0.4430763007410076,0.9578332780013864,0.4625818614963243,0.0
01824828000127,9,21,12,0.7079997103479069,0.1815972980459247,0.4240686644379947,0.6714996741413953,0.14067716294822094,-0.5264024123019821,-0.2839310459099122,-0.24247136639206998,0.39834144174589103,0.7283353184973894,0.5469203972803344,0.0
01850671000104,21,43,22,0.2312002860623634,0.1366117510450686,0.19539712997278516,0.19276030036548158,0.11605488797471308,-0.0945885350172948,-0.035803156089578236,-0.05878537892771657,0.17261369628307457,0.689774067481116,0.25024671761496775,0.0
01877528000106,7,11,4,0.17485726017202377,0.6534896898603944,0.17485726017202377,0.037333470200694406,0.6188386588464337,0.4786324296883706,0.0,0.4786324296883706,0.8458062669807833,1.0,0.8458062669807833,0.0
01896727000161,6,16,10,0.28471450056423714,0.15049852515547896,0.24874311508270414,0.14165740067708457,0.09386509349917756,-0.13421597540875818,-0.035971385481533,-0.09824458992722518,0.642777174606398,0.9526728485816711,0.6747092410194724,0.0
01906118000146,5,5,0,0.8294648351880152,0.8294648351880152,0.8294648351880156,0.786831043985019,0.786831043985019,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,,0.0,0.0
01935036000120,9,28,19,0.3703356191165899,0.19283395591009653,0.3837707993929212,0.2916275715061637,0.1629389172401001,-0.17750166320649338,0.013435180276331282,-0.19093684348282466,0.3202161437657024,0.8927176379651712,0.35869812597809947,0.0
01941360000150,46,72,26,0.05827853819395156,0.24929855441091628,0.06099187923881693,0.037351394598261596,0.23872529461388692,0.1910200162169647,0.0027133410448653694,0.18830667517209934,0.7127254935537766,0.8794606840209598,0.8104120019272977,0.0
02073207000111,62,87,25,0.760847709336568,0.6568245786983332,0.6957566415455916,0.7569271799814298,0.6528341668227324,-0.10402313063823476,-0.0650910677909764,-0.038932062847258364,0.028419909862369235,0.39891836219989246,0.0712424208944496,0.0
02179215000147,7,8,1,0.2265447070130993,0.2732082276552107,0.2265447070130993,0.09763549151528253,0.16938083160595507,0.04666352064211138,0.0,0.04666352064211138,0.45332648845537993,1.0,0.45332648845537993,0.0
02246138000109,6,7,1,0.3767712071780174,0.3751977273992343,0.391476245114502,0.25212544861362085,0.2710640152991067,-0.0015734797787830823,0.014705037936484644,-0.016278517715267726,0.02162206815489632,0.25855140297378437,0.08362773478003008,0.0
02247113000111,20,27,7,0.4962255071232502,0.27067404040264476,0.4962255071232502,0.46971106012973707,0.24262304195659262,-0.22555146672060544,0.0,-0.22555146672060544,0.4865161431861548,1.0,0.4865161431861548,0.0
02316487000141,6,9,3,0.6309487531255082,0.6295827088001639,0.6309487531255082,0.5571385037506099,0.5832805474001844,-0.0013660443253443733,0.0,-0.0013660443253443733,0.0010836261704815814,1.0,0.0010836261704815814,0.0
02362976000130,17,18,1,0.081231816347767,0.10215042015757468,0.081231816347767,0.02380880486950243,0.0493357389903732,0.020918603809807687,0.0,0.020918603809807687,0.2332155477031802,1.0,0.2332155477031802,0.0
02406542000194,12,28,16,0.47021027814622074,0.4401299863323649,0.47021027814622074,0.42204757615951355,0.41939405990023026,-0.030080291813855853,0.0,-0.030080291813855853,0.03287123493532498,1.0,0.03287123493532498,0.0
02482295000105,28,56,28,0.6523599415657566,0.7657203353701113,0.8012014590758832,0.6394843838459698,0.7614607051041133,0.1133603938043547,0.14884151751012664,-0.035481123705771944,0.02246994176953332,0.0436954225543815,0.5142401756515381,0.0
02762633000162,15,19,4,0.1614011931386311,0.1349596061833101,0.1614011931386311,0.10150127836281904,0.08690180652682733,-0.026441586955321006,0.0,-0.026441586955321006,0.09896233762880344,1.0,0.09896233762880344,0.0
03061303000102,16,24,8,0.15918978229914738,0.10847197778816796,0.17236884218234227,0.1031357677857572,0.06970988986591438,-0.05071780451097942,0.013179059883194899,-0.06389686439417432,0.27567016111193804,0.8569784451075166,0.32167689010818984,0.0
03130778000103,7,7,0,0.28379172953051013,0.28379172953051013,0.28379172953051013,0.16442368445226183,0.16442368445226183,0.0,0.0,0.0,0.0,,0.0,0.0
03133862000180,11,13,2,0.19542652128368068,0.16442778265002286,0.19542652128368068,0.11496917341204875,0.09479676453752475,-0.03099873863365782,0.0,-0.03099873863365782,0.2494427368248514,1.0,0.2494427368248514,0.0
03264792000108,42,70,28,0.10710859309516915,0.2449743954701128,0.10228431812672231,0.0853307539023684,0.23403199540446223,0.13786580237494364,-0.00482427496844684,0.14269007734339048,0.6244703833684626,0.9103121323196565,0.6859958921751244,0.0
03347877000141,18,18,0,0.4150516510565125,0.4150516510565125,0.4150516510565126,0.3806429246480721,0.3806429246480721,0.0,1.1102230246251565e-16,-1.1102230246251565e-16,0.0,,0.0,0.0
03347885000198,63,89,26,0.058211944607191944,0.04263948076697482,0.05700236666385349,0.04302181468150149,0.031760383957508624,-0.015572463840217127,-0.0012095779433384524,-0.014362885896878674,0.1668285778064744,0.40793341261084926,0.4089603171722087,0.0
03387174000147,5,8,3,0.3003262794632859,0.18642925193296328,0.3003262794632859,0.12540784932910734,0.07020485935195804,-0.1138970275303226,0.0,-0.1138970275303226,0.28461945969953295,1.0,0.28461945969953295,0.0
04073373000143,5,5,0,0.26011986016519323,0.26011986016519323,0.26011986016519323,0.07514982520649152,0.07514982520649152,0.0,0.0,0.0,0.0,,0.0,0.0
