estrategia,papel,ranking_scope,pct_fornecedores_removidos,k_fornecedores_removidos,limiar_perda,share_severos_direcionado,share_severos_aleatorio_media,share_severos_aleatorio_p025,share_severos_aleatorio_p975,excesso_vs_aleatorio,perda_media_direcionada,perda_media_aleatoria_media,perda_media_aleatoria_p025,perda_media_aleatoria_p975
strength,principal,global,0.01,171,0.25,0.16776859504132233,0.009922314049586777,0.004132231404958678,0.01818181818181818,0.15784628099173556,0.10960186272859573,0.010192793871741742,0.006714640557765961,0.015204356214962899
strength,principal,global,0.01,171,0.5,0.08264462809917356,0.0032983471074380165,0.0008264462809917355,0.00743801652892562,0.07934628099173555,0.10960186272859573,0.010192793871741742,0.006714640557765961,0.015204356214962899
strength,principal,global,0.01,171,0.75,0.050413223140495865,0.0011735537190082643,0.0,0.0033264462809917167,0.0492396694214876,0.10960186272859573,0.010192793871741742,0.006714640557765961,0.015204356214962899
degree,complementar,global,0.01,171,0.25,0.14132231404958678,0.009922314049586777,0.004132231404958678,0.01818181818181818,0.13140000000000002,0.10913579165935516,0.010192793871741742,0.006714640557765961,0.015204356214962899
degree,complementar,global,0.01,171,0.5,0.09752066115702479,0.0032983471074380165,0.0008264462809917355,0.00743801652892562,0.09422231404958678,0.10913579165935516,0.010192793871741742,0.006714640557765961,0.015204356214962899
degree,complementar,global,0.01,171,0.75,0.05867768595041322,0.0011735537190082643,0.0,0.0033264462809917167,0.05750413223140496,0.10913579165935516,0.010192793871741742,0.006714640557765961,0.015204356214962899
strength,principal,global,0.05,854,0.25,0.4305785123966942,0.053667768595041326,0.03966942148760331,0.07190082644628099,0.3769107438016529,0.31703275442123413,0.050038596332073214,0.04085442051291466,0.061396523285657166
strength,principal,global,0.05,854,0.5,0.3347107438016529,0.018039669421487603,0.009917355371900827,0.02809917355371901,0.3166710743801653,0.31703275442123413,0.050038596332073214,0.04085442051291466,0.061396523285657166
strength,principal,global,0.05,854,0.75,0.20165289256198346,0.006238016528925619,0.001652892561983471,0.011570247933884297,0.19541487603305785,0.31703275442123413,0.050038596332073214,0.04085442051291466,0.061396523285657166
degree,complementar,global,0.05,854,0.25,0.3239669421487603,0.053667768595041326,0.03966942148760331,0.07190082644628099,0.270299173553719,0.2521059513092041,0.050038596332073214,0.04085442051291466,0.061396523285657166
degree,complementar,global,0.05,854,0.5,0.2115702479338843,0.018039669421487603,0.009917355371900827,0.02809917355371901,0.1935305785123967,0.2521059513092041,0.050038596332073214,0.04085442051291466,0.061396523285657166
degree,complementar,global,0.05,854,0.75,0.14793388429752066,0.006238016528925619,0.001652892561983471,0.011570247933884297,0.14169586776859505,0.2521059513092041,0.050038596332073214,0.04085442051291466,0.061396523285657166
strength,principal,global,0.1,1707,0.25,0.5818181818181818,0.12040247933884296,0.09752066115702479,0.1446487603305785,0.46141570247933883,0.44758355617523193,0.10006790293008089,0.08705090172588825,0.11492001060396433
strength,principal,global,0.1,1707,0.5,0.48925619834710743,0.04139090909090909,0.028925619834710745,0.05537190082644628,0.44786528925619834,0.44758355617523193,0.10006790293008089,0.08705090172588825,0.11492001060396433
strength,principal,global,0.1,1707,0.75,0.33140495867768593,0.014278512396694214,0.008264462809917356,0.021487603305785124,0.31712644628099174,0.44758355617523193,0.10006790293008089,0.08705090172588825,0.11492001060396433
degree,complementar,global,0.1,1707,0.25,0.4644628099173554,0.12040247933884296,0.09752066115702479,0.1446487603305785,0.34406033057851243,0.3415839374065399,0.10006790293008089,0.08705090172588825,0.11492001060396433
degree,complementar,global,0.1,1707,0.5,0.29173553719008266,0.04139090909090909,0.028925619834710745,0.05537190082644628,0.25034462809917357,0.3415839374065399,0.10006790293008089,0.08705090172588825,0.11492001060396433
degree,complementar,global,0.1,1707,0.75,0.19669421487603306,0.014278512396694214,0.008264462809917356,0.021487603305785124,0.18241570247933883,0.3415839374065399,0.10006790293008089,0.08705090172588825,0.11492001060396433
