criterio,min_fornecedores,min_instrumentos,n,portfolio_hhi_mediana,portfolio_hhi_norm_mediana,count_hhi_mediana,count_hhi_norm_mediana,portfolio_neff_mediana,portfolio_cr1_mediana,portfolio_cr4_mediana,portfolio_hhi_maior_count_hhi_pct,hidden_exposure_pct,spearman_hhi_norm_exposure_strength_global
3/5,3,5,780,0.24505694074099693,0.15018514692537518,0.09090909090909091,0.006944444444444459,4.0806847193889855,0.3812120257426427,0.821427029667158,97.56410256410255,13.461538461538462,"{'rho': 0.33708983197065534, 'p': 3.5209822889355642e-22, 'n': 780}"
5/10,5,10,500,0.1768489772989565,0.12216777141989962,0.052799999999999986,0.009334882790638337,5.65454443393423,0.31745064141118773,0.7042005290573377,97.0,14.000000000000002,"{'rho': 0.3431564446257785, 'p': 2.9032300429108352e-15, 'n': 500}"
5/20,5,20,327,0.13452517100678507,0.10698474666899806,0.03821688724735816,0.012254044008833644,7.433553085389223,0.27890776386885324,0.6090192140690696,97.55351681957187,15.29051987767584,"{'rho': 0.27225007447350325, 'p': 5.762047300628744e-07, 'n': 327}"
10/20,10,20,326,0.13422422554166757,0.10654398306155441,0.038139585492191194,0.012228620717878162,7.450257381232927,0.27742267788800584,0.6088311039942612,97.85276073619632,15.030674846625766,"{'rho': 0.27148118162020335, 'p': 6.468852753457578e-07, 'n': 326}"
