variavel_a,variavel_b,spearman_rho,p_value,n
portfolio_hhi,count_hhi,0.579404426854893,6.416688317961003e-23,240
portfolio_hhi,exposicao_degree,-0.5063498340421173,4.939870487356488e-17,240
portfolio_hhi,exposicao_strength,0.06200368061945519,0.33883858265224276,240
count_hhi,exposicao_degree,-0.39177377397070773,3.1558326805021535e-10,240
count_hhi,exposicao_strength,-0.17909793304228452,0.005392162438917285,240
exposicao_degree,exposicao_strength,0.18682777355781013,0.003674496461106504,240
