metrica,n,media,desvio_padrao,min,p25,mediana,p75,p90,p95,max
portfolio_hhi,240,0.2925827325904862,0.21761451327817707,0.036391743558388416,0.12643381393926845,0.2393289700393677,0.40028078218094243,0.6327224823235336,0.7342531464905233,0.9955978314842209
count_hhi,240,0.1037300768305278,0.07470137490241452,0.011124260355029584,0.04546519886363636,0.08009676054170514,0.15625,0.20000000000000004,0.21898816568047338,0.59375
portfolio_cr1,240,0.4137506207005329,0.23098485711104136,0.08013776452240165,0.22209565307418855,0.3619997797600547,0.568926316644935,0.7833770432220906,0.8527263971563289,0.9977954164061583
portfolio_cr4,240,0.7583906660785407,0.20923769591382305,0.24879091690857566,0.5986573232696465,0.8183804110309216,0.9564471971023505,0.9910139700796102,0.9981968005505135,1.0000000000000002
portfolio_neff,240,6.0216897303962735,4.86581771419981,1.0044216332906395,2.4983237603237276,4.178566514234339,7.909367030299566,12.308207980517949,16.176388565232028,27.478760351109827
count_neff,240,15.446375741748994,11.397061861609942,1.6842105263157894,6.4,12.485007496251875,21.994845360824744,28.784438625204576,35.685021645021635,89.89361702127661
hhi_gap_value_minus_count,240,0.1888526557599584,0.19249898102840715,-0.037690041597185614,0.04696796357995603,0.12185970528104777,0.2706231147906641,0.4544353162861203,0.6206672566083886,0.878483706328319
shared_procurement_share,240,0.5028225824917437,0.4800594730233677,0.0,0.0,0.45957354312844306,1.0,1.0,1.0,1.0
category_mix_hhi,240,0.8694140800857674,0.1968750307983906,0.3541325465501463,0.7267457106075479,1.0,1.0,1.0,1.0,1.0
exposicao_degree,240,0.6986848727070082,0.25313461314436864,0.39542483660130706,0.4248482940408074,0.6705086985430169,0.9773786489168571,0.9890031109785461,0.9930197681147099,0.9970296546722356
exposicao_strength,240,0.7952237508925412,0.15661342540171477,0.09067538126361656,0.7329024395472709,0.8426617839001972,0.902507092429895,0.9394930172819239,0.9711561385002293,0.9989739796869648
