fornecedor_id_limpo,degree,strength,reach,system_share,pct_degree,pct_strength
00000000000191,1,0.01,0.0014347202295552368,1.3667763597545865e-11,0.3954248366013072,0.0010893246187363835
00000000159204,1,16617.6,0.0014347202295552368,2.2712542835857816e-05,0.3954248366013072,0.47581699346405226
00000000178845,1,2000.0,0.0014347202295552368,2.7335527195091728e-06,0.3954248366013072,0.18736383442265794
00000000203700,1,115.0,0.0014347202295552368,1.5717928137177745e-07,0.3954248366013072,0.02309368191721133
00011080000180,1,9945.0,0.0014347202295552368,1.3592590897759362e-05,0.3954248366013072,0.4013071895424837
00085822000112,1,61298.5,0.0014347202295552368,8.378134068841651e-05,0.3954248366013072,0.693681917211329
00144263000174,1,1599.99,0.0014347202295552368,2.1868285078437407e-06,0.3954248366013072,0.16427015250544663
00165960000101,1,66600.0,0.0014347202295552368,9.102730555965545e-05,0.3954248366013072,0.7067538126361655
00174282000143,1,7514.5,0.0014347202295552368,1.027064095537584e-05,0.3954248366013072,0.35904139433551197
00187413000127,1,16200.0,0.0014347202295552368,2.21417770280243e-05,0.3954248366013072,0.47233115468409587
00206665000156,1,416750.0,0.0014347202295552368,0.0005696040479277239,0.3954248366013072,0.9019607843137255
00263900000121,1,0.2,0.0014347202295552368,2.733552719509173e-10,0.3954248366013072,0.002178649237472767
00331788002758,1,85584.0,0.0014347202295552368,0.00011697418797323653,0.3954248366013072,0.7416122004357298
00331788003134,1,154494.0,0.0014347202295552368,0.00021115874692392508,0.3954248366013072,0.8065359477124183
00358519000146,1,14437.4,0.0014347202295552368,1.9732697016320865e-05,0.3954248366013072,0.4549019607843137
00360305000104,1,1797000.0,0.0014347202295552368,0.0024560971184789918,0.3954248366013072,0.9686274509803922
00377455000120,1,24528.0,0.0014347202295552368,3.35242905520605e-05,0.3954248366013072,0.5315904139433552
00456865000167,2,14449.44,0.0028694404591104736,1.9749153003692314e-05,0.835511982570806,0.45577342047930286
00482840000138,1,13246999.99,0.0014347202295552368,0.018105686424001243,0.3954248366013072,0.9965141612200435
00503644000100,1,891.0,0.0014347202295552368,1.2177977365413365e-06,0.3954248366013072,0.11328976034858387
00535560000140,2,357.52,0.0028694404591104736,4.886498841394597e-07,0.835511982570806,0.05620915032679739
00537562000179,2,8376.0,0.0028694404591104736,1.1448118789304417e-05,0.835511982570806,0.375599128540305
00538257000100,1,52000.0,0.0014347202295552368,7.107237070723849e-05,0.3954248366013072,0.6633986928104575
00538593000144,1,19432.0,0.0014347202295552368,2.6559198222751125e-05,0.3954248366013072,0.5002178649237473
00562583000144,2,3982.5,0.0028694404591104736,5.443186852722641e-06,0.835511982570806,0.27320261437908494
00638358000144,1,4340.0,0.0014347202295552368,5.931809401334905e-06,0.3954248366013072,0.2840958605664488
00646202000105,1,6999410.0,0.0014347202295552368,0.009566628120229851,0.3954248366013072,0.9904139433551198
00656468000139,3,27503.5,0.00430416068866571,3.759113361051027e-05,0.8945533769063181,0.547276688453159
