,log_populacao_siconfi,log_despesa_pc,log_n_fornecedores,log_instrumentos_por_fornecedor
log_populacao_siconfi,1.0,-0.3677202995605051,-0.08101835025705402,-0.15306820670547783
log_despesa_pc,-0.3677202995605051,1.0,0.13339340102149147,0.1074417451492825
log_n_fornecedores,-0.08101835025705402,0.13339340102149147,1.0,0.5757603988211222
log_instrumentos_por_fornecedor,-0.15306820670547783,0.1074417451492825,0.5757603988211222,1.0
