modelo,termo,coef,erro_padrao_HC3,t,p,ci95_inf,ci95_sup
M1_HHI_norm_escala_externa,log_despesa_empenhada,-0.007859383466772462,0.039239877131708845,-0.20029072569193837,0.8412532154195991,-0.08476812940269868,0.06904936246915375
M1_HHI_norm_escala_externa,log_populacao_siconfi,0.026158363299617696,0.03683682351220559,0.7101145214366904,0.4776331219686988,-0.046040484089163516,0.09835721068839891
M2_HHI_norm_escala_carteira,log_despesa_empenhada,0.015256516888497227,0.037948477040040146,0.40203238913645445,0.6876601896510277,-0.059121131378126614,0.08963416515512107
M2_HHI_norm_escala_carteira,log_populacao_siconfi,0.0025008704944050556,0.0356666911495006,0.07011781619781886,0.944099886327832,-0.06740455960632961,0.07240630059513974
M2_HHI_norm_escala_carteira,log_n_instrumentos,0.03031647724610221,0.027891260396555397,1.0869525727796199,0.27705777033126233,-0.024349388614574717,0.08498234310677913
M2_HHI_norm_escala_carteira,log_n_fornecedores,-0.09859734137286917,0.03643922607064596,-2.705802290688479,0.006813960023749217,-0.17001691209584824,-0.027177770649890104
M3_HHI_norm_UF_FE,log_despesa_empenhada,0.0014407504857540296,0.03883625058050861,0.03709808398643722,0.9704067997357787,-0.07467690194661561,0.07755840291812366
M3_HHI_norm_UF_FE,log_populacao_siconfi,0.018205982845010526,0.036383615893844236,0.5003895956391405,0.6168007779442537,-0.053104593934263256,0.08951655962428431
M3_HHI_norm_UF_FE,log_n_instrumentos,0.011681820900771678,0.026607988399101425,0.43903435034443206,0.6606366466630835,-0.04046887806252668,0.06383251986407004
M3_HHI_norm_UF_FE,log_n_fornecedores,-0.08023337463507392,0.034609137875890414,-2.318271403430898,0.020434575550435787,-0.1480660384078002,-0.012400710862347647
M4_CountHHI_norm,log_despesa_empenhada,0.0004048545867654487,0.004359228665714841,0.092872986900094,0.9260044663044121,-0.008139076598410233,0.00894878577194113
M4_CountHHI_norm,log_populacao_siconfi,0.0008095679011686569,0.003857305097229715,0.2098791463890378,0.833761998511942,-0.0067506111667843555,0.00836974696912167
M4_CountHHI_norm,log_n_instrumentos,0.06901619460807935,0.016315998247027588,4.229970705019692,2.3372174640407485e-05,0.03703742567208663,0.10099496354407209
M4_CountHHI_norm,log_n_fornecedores,-0.08346070002907398,0.019271945979572356,-4.3306835810737345,1.4864715711625198e-05,-0.12123302006103728,-0.045688379997110666
M5_Gap_valor_frequencia,log_despesa_empenhada,0.001035895898988576,0.03881423841571543,0.02668855402735801,0.9787081424449553,-0.07503861348316468,0.07711040528114183
M5_Gap_valor_frequencia,log_populacao_siconfi,0.017396414943841844,0.03632858834349536,0.478862948908299,0.6320361308357603,-0.053806309818590685,0.08859913970627437
M5_Gap_valor_frequencia,log_n_instrumentos,-0.05733437370730766,0.03137799618463922,-1.82721590537305,0.0676673133359815,-0.11883411613623576,0.00416536872162044
M5_Gap_valor_frequencia,log_n_fornecedores,0.003227325394000052,0.040060886599073295,0.08056050846549931,0.9357914737592403,-0.07529056952892689,0.081745220316927
M6_Exposicao_strength,log_despesa_empenhada,-0.004055581875982357,0.027201451746434378,-0.1490943172367251,0.8814792099613776,-0.057369447626197896,0.04925828387423318
M6_Exposicao_strength,log_populacao_siconfi,0.01825790509004972,0.02492897889607683,0.7323968288537898,0.4639263937741077,-0.030601995717619946,0.06711780589771939
M6_Exposicao_strength,log_n_instrumentos,0.06938178310163139,0.024159111565730005,2.871868152637297,0.004080531751914271,0.0220307945343155,0.11673277166894727
M6_Exposicao_strength,log_n_fornecedores,-0.02947321727102235,0.03073767998881967,-0.9588627795507909,0.3376278775315813,-0.08971796301742643,0.03077152847538173
