modelo,termo,coef,erro_padrao_HC3,t,p,ci95_inf,ci95_sup
M1_HHI_norm_escala_externa,Intercept,0.11131726476222045,0.3851669810907618,0.2890104038694567,0.7725734160001001,-0.6435961462096926,0.8662306757341336
M1_HHI_norm_escala_externa,log_despesa_empenhada,-0.007859383466772462,0.039239877131708845,-0.20029072569193837,0.8412532154195991,-0.08476812940269868,0.06904936246915375
M1_HHI_norm_escala_externa,log_populacao_siconfi,0.026158363299617696,0.03683682351220559,0.7101145214366904,0.4776331219686988,-0.046040484089163516,0.09835721068839891
M2_HHI_norm_escala_carteira,Intercept,0.08364342882965022,0.3696392703932822,0.226283935526268,0.8209805919694242,-0.6408362284128456,0.8081230860721461
M2_HHI_norm_escala_carteira,log_despesa_empenhada,0.015256516888497227,0.037948477040040146,0.40203238913645445,0.6876601896510277,-0.059121131378126614,0.08963416515512107
M2_HHI_norm_escala_carteira,log_populacao_siconfi,0.0025008704944050556,0.0356666911495006,0.07011781619781886,0.944099886327832,-0.06740455960632961,0.07240630059513974
M2_HHI_norm_escala_carteira,log_n_instrumentos,0.03031647724610221,0.027891260396555397,1.0869525727796199,0.27705777033126233,-0.024349388614574717,0.08498234310677913
M2_HHI_norm_escala_carteira,log_n_fornecedores,-0.09859734137286917,0.03643922607064596,-2.705802290688479,0.006813960023749217,-0.17001691209584824,-0.027177770649890104
M3_HHI_norm_UF_FE,Intercept,-0.02414403774211332,0.39737153400802966,-0.06075935409511604,0.9515508612159568,-0.8029779328792847,0.7546898573950581
M3_HHI_norm_UF_FE,C(uf)[T.BA],0.11082850110850759,0.09824328615661099,1.1281025446546478,0.25927661461410423,-0.08172480148131242,0.30338180369832757
M3_HHI_norm_UF_FE,C(uf)[T.CE],0.09721966200834423,0.11280163013345336,0.8618639809843668,0.3887623718636011,-0.12386747045063246,0.3183067944673209
M3_HHI_norm_UF_FE,C(uf)[T.ES],0.3710605468345015,0.10521154701205526,3.5268043990645337,0.00042060736806978486,0.16484970393313048,0.5772713897358726
M3_HHI_norm_UF_FE,C(uf)[T.GO],0.19831974154000998,0.09110665374500285,2.176786583503378,0.0294964945408929,0.019753981447843155,0.3768855016321768
M3_HHI_norm_UF_FE,C(uf)[T.MA],0.03722774992882466,0.13547469686982802,0.2747948568181352,0.7834738497105653,-0.22829777675251944,0.30275327661016876
M3_HHI_norm_UF_FE,C(uf)[T.MG],0.20742125531517075,0.09684170838364722,2.1418586968070885,0.03220485439199415,0.017614994681891566,0.39722751594844996
M3_HHI_norm_UF_FE,C(uf)[T.MS],0.049197747508232345,0.09295807891739077,0.5292466032129708,0.5966343917376387,-0.13299673924188565,0.23139223425835037
M3_HHI_norm_UF_FE,C(uf)[T.MT],0.755539053121315,0.6064812715942204,1.2457747477267938,0.21284710282188668,-0.43314239650141195,1.944220502744042
M3_HHI_norm_UF_FE,C(uf)[T.PA],0.10118860595113252,0.0930841943154324,1.0870653895143239,0.27700791232601274,-0.081253062437043,0.28363027433930804
M3_HHI_norm_UF_FE,C(uf)[T.PB],0.32525582654530283,0.23679693099368013,1.3735643666512873,0.16957696568882974,-0.13885762985192668,0.7893692829425323
M3_HHI_norm_UF_FE,C(uf)[T.PE],0.1509854584316689,0.09762261691230541,1.546623755920203,0.12195399789588969,-0.04035135479300045,0.3423222716563383
M3_HHI_norm_UF_FE,C(uf)[T.PI],0.40537823221218966,0.5555651860300258,0.7296681692907244,0.4655930422873287,-0.6835095234709561,1.4942659878953355
M3_HHI_norm_UF_FE,C(uf)[T.PR],0.29581123055415753,0.11668941262143703,2.5350305902543724,0.011243750700133155,0.06710418443900734,0.5245182766693077
M3_HHI_norm_UF_FE,C(uf)[T.RJ],0.3224090181579115,0.14469537933041127,2.2281915265703955,0.025867745880364043,0.038811285940944074,0.6060067503748789
M3_HHI_norm_UF_FE,C(uf)[T.RS],0.27707849863631007,0.1208650210643994,2.2924622541428,0.021878983246447086,0.04018741035941226,0.5139695869132079
M3_HHI_norm_UF_FE,C(uf)[T.SC],0.23976257038071294,0.09133290608910988,2.6251499119800936,0.008661082462064684,0.06075336384267857,0.41877177691874734
M3_HHI_norm_UF_FE,C(uf)[T.SE],0.21875025983538124,0.11005691389903718,1.9876103380116217,0.0468548020702025,0.003042672343642666,0.4344578473271198
M3_HHI_norm_UF_FE,C(uf)[T.SP],0.17335860230857195,0.09160056223427551,1.8925495442396296,0.058417799056619646,-0.006175200634227884,0.3528924052513718
M3_HHI_norm_UF_FE,C(uf)[T.TO],0.1412736548959099,0.13699586475029688,1.0312256881140915,0.3024349970181279,-0.12723330604559233,0.4097806158374121
M3_HHI_norm_UF_FE,log_despesa_empenhada,0.0014407504857540296,0.03883625058050861,0.03709808398643722,0.9704067997357787,-0.07467690194661561,0.07755840291812366
M3_HHI_norm_UF_FE,log_populacao_siconfi,0.018205982845010526,0.036383615893844236,0.5003895956391405,0.6168007779442537,-0.053104593934263256,0.08951655962428431
M3_HHI_norm_UF_FE,log_n_instrumentos,0.011681820900771678,0.026607988399101425,0.43903435034443206,0.6606366466630835,-0.04046887806252668,0.06383251986407004
M3_HHI_norm_UF_FE,log_n_fornecedores,-0.08023337463507392,0.034609137875890414,-2.318271403430898,0.020434575550435787,-0.1480660384078002,-0.012400710862347647
M4_CountHHI_norm,Intercept,0.004425428321584872,0.04783994404417763,0.09250488080626151,0.9262969135278221,-0.08933913902741475,0.09818999567058448
M4_CountHHI_norm,C(uf)[T.BA],0.007680622133440277,0.011420640765682267,0.6725211212771596,0.5012519985234721,-0.014703422447666911,0.030064666714547467
M4_CountHHI_norm,C(uf)[T.CE],0.007852147670221845,0.01228412021181425,0.639211236525514,0.5226855232675376,-0.016224285526694623,0.03192858086713831
M4_CountHHI_norm,C(uf)[T.ES],0.018033862973909968,0.01275926947211613,1.4133930640246166,0.15754018385162882,-0.006973845660479032,0.04304157160829897
M4_CountHHI_norm,C(uf)[T.GO],0.011338800982812104,0.011233564452197031,1.009368044405041,0.3127981579815863,-0.010678580761503497,0.0333561827271277
M4_CountHHI_norm,C(uf)[T.MA],0.045938224984203205,0.08099297650444987,0.567187760801448,0.5705866225226219,-0.11280509196521733,0.20468154193362376
M4_CountHHI_norm,C(uf)[T.MG],0.02286411773213191,0.014788936933315032,1.5460284829956858,0.12209768907844008,-0.006121666026799786,0.05184990149106361
M4_CountHHI_norm,C(uf)[T.MS],0.0025329304622004854,0.012345049199287866,0.2051778345562689,0.8374331864995623,-0.021662921355778766,0.026728782280179737
M4_CountHHI_norm,C(uf)[T.MT],-0.0065736565727250226,0.027363973623450197,-0.24023033581247036,0.810151697565514,-0.06020605934859141,0.04705874620314136
M4_CountHHI_norm,C(uf)[T.PA],0.00953422111553531,0.0127649797049193,0.7469045259712448,0.4551211937625915,-0.015484679369491244,0.03455312160056186
M4_CountHHI_norm,C(uf)[T.PB],-0.0012500254540031383,0.011277215354593067,-0.11084522328413449,0.9117390832926984,-0.023352961394907643,0.020852910486901365
M4_CountHHI_norm,C(uf)[T.PE],0.0034386388888506822,0.011544210335128759,0.29786696439400323,0.7658047026550809,-0.019187597597956754,0.026064875375658117
M4_CountHHI_norm,C(uf)[T.PI],-8.074448590900414e-05,0.03794138531056825,-0.0021281375270847964,0.9983019932055774,-0.07444449321817984,0.07428300424636183
M4_CountHHI_norm,C(uf)[T.PR],0.007409023118548424,0.01239166617950581,0.5979037048949863,0.5499041876562025,-0.01687819630172601,0.03169624253882286
M4_CountHHI_norm,C(uf)[T.RJ],0.0033643170488579233,0.011786380540042815,0.2854410679706174,0.7753062479187416,-0.019736564317709746,0.026465198415425592
M4_CountHHI_norm,C(uf)[T.RS],0.006605873711872758,0.011404248764862254,0.5792467218205711,0.562422709322381,-0.015746043137992657,0.02895779056173817
M4_CountHHI_norm,C(uf)[T.SC],0.004030154908441516,0.011517853748586847,0.34990502539902324,0.7264099754377622,-0.01854442361798836,0.026604733434871387
M4_CountHHI_norm,C(uf)[T.SE],0.006940161695445102,0.011334914413775937,0.612281790765914,0.5403513351309945,-0.015275862323399676,0.02915618571428988
M4_CountHHI_norm,C(uf)[T.SP],0.013747287539344495,0.01203914273015178,1.1418825947560787,0.2535028243154984,-0.009848998616490212,0.037343573695179204
M4_CountHHI_norm,C(uf)[T.TO],0.0281337653756701,0.030633607397680392,0.9183954410083749,0.35841187663470064,-0.03190700184032323,0.08817453259166344
M4_CountHHI_norm,log_despesa_empenhada,0.0004048545867654487,0.004359228665714841,0.092872986900094,0.9260044663044121,-0.008139076598410233,0.00894878577194113
M4_CountHHI_norm,log_populacao_siconfi,0.0008095679011686569,0.003857305097229715,0.2098791463890378,0.833761998511942,-0.0067506111667843555,0.00836974696912167
M4_CountHHI_norm,log_n_instrumentos,0.06901619460807935,0.016315998247027588,4.229970705019692,2.3372174640407485e-05,0.03703742567208663,0.10099496354407209
M4_CountHHI_norm,log_n_fornecedores,-0.08346070002907398,0.019271945979572356,-4.3306835810737345,1.4864715711625198e-05,-0.12123302006103728,-0.045688379997110666
M5_Gap_valor_frequencia,Intercept,-0.0285694660636982,0.3949425243969308,-0.07233828797575849,0.94233269509661,-0.8026425898450142,0.7455036577176177
M5_Gap_valor_frequencia,C(uf)[T.BA],0.10314787897506736,0.08888445075726835,1.1604715796326461,0.24585685837438453,-0.07106244329480255,0.27735820124493726
M5_Gap_valor_frequencia,C(uf)[T.CE],0.08936751433812241,0.10215648152770929,0.8748100267517734,0.3816772806394695,-0.1108555102435191,0.28959053891976394
M5_Gap_valor_frequencia,C(uf)[T.ES],0.35302668386059166,0.09501097235175518,3.7156412056661794,0.0002026890322206147,0.16680859991502067,0.5392447678061627
M5_Gap_valor_frequencia,C(uf)[T.GO],0.1869809405571978,0.08060396882340146,2.3197485593651352,0.02035448328801714,0.02900006465234159,0.34496181646205404
M5_Gap_valor_frequencia,C(uf)[T.MA],-0.008710475055378619,0.08092921752240514,-0.10763078307246868,0.9142885774661694,-0.16732882669630056,0.14990787658554333
M5_Gap_valor_frequencia,C(uf)[T.MG],0.1845571375830388,0.08772756076223674,2.103753210273725,0.03539998023136628,0.01261427803750556,0.35649999712857205
M5_Gap_valor_frequencia,C(uf)[T.MS],0.046664817046031856,0.08160704157910727,0.5718234130665854,0.5674416138405449,-0.1132820453338811,0.20661167942594483
M5_Gap_valor_frequencia,C(uf)[T.MT],0.7621127096940401,0.5554439642563076,1.3720784790855445,0.17003900822628426,-0.3265374556784759,1.8507628750665561
M5_Gap_valor_frequencia,C(uf)[T.PA],0.0916543848355972,0.0826236944369126,1.109299038977009,0.2673011995478862,-0.07028508053039394,0.2535938502015883
M5_Gap_valor_frequencia,C(uf)[T.PB],0.32650585199930604,0.2317753170535322,1.4087170978775723,0.15891883712438326,-0.12776542193096924,0.7807771259295813
M5_Gap_valor_frequencia,C(uf)[T.PE],0.14754681954281815,0.08750032602028852,1.6862430833527038,0.09174898873821452,-0.023950668092460325,0.3190443071780966
M5_Gap_valor_frequencia,C(uf)[T.PI],0.4054589766980986,0.48218822604985423,0.8408728268204905,0.4004191827466943,-0.539612580128874,1.3505305335250712
M5_Gap_valor_frequencia,C(uf)[T.PR],0.2884022074356091,0.10901348943758828,2.6455644060519994,0.008155476001343587,0.07473969430889851,0.5020647205623198
M5_Gap_valor_frequencia,C(uf)[T.RJ],0.3190447011090535,0.13766126306233095,2.3176069579181098,0.02047069171664849,0.049233583440590756,0.5888558187775161
M5_Gap_valor_frequencia,C(uf)[T.RS],0.27047262492443724,0.11359625524028207,2.3809994823537606,0.017265736214580888,0.04782805587486502,0.49311719397400944
M5_Gap_valor_frequencia,C(uf)[T.SC],0.2357324154722715,0.0807879964915059,2.917913869754853,0.0035238166979076587,0.07739085196577167,0.39407397897877133
M5_Gap_valor_frequencia,C(uf)[T.SE],0.211810098139936,0.10161053789528052,2.0845288542633913,0.037112088409140494,0.012657103415443849,0.41096309286442817
M5_Gap_valor_frequencia,C(uf)[T.SP],0.15961131476922746,0.0815819905430232,1.9564528115436777,0.050411836112894445,-0.00028644848218531416,0.3195090780206402
M5_Gap_valor_frequencia,C(uf)[T.TO],0.11313988952023984,0.14085796650508886,0.8032196710446787,0.42184777773289683,-0.1629366517652836,0.3892164308057633
M5_Gap_valor_frequencia,log_despesa_empenhada,0.001035895898988576,0.03881423841571543,0.02668855402735801,0.9787081424449553,-0.07503861348316468,0.07711040528114183
