modelo,covariancia,termo,coef,erro_padrao,estatistica,p,ci95_inf,ci95_sup
P1_HHI_norm_externo,cluster_municipio,Intercept,0.11131726476221936,0.3924664811946882,0.2836350875706987,0.7766900449127212,-0.6579029035185359,0.8805374330429746
P1_HHI_norm_externo,cluster_municipio,log_populacao_siconfi,0.018298979832845206,0.007047175511130252,2.5966402857348942,0.009414045461401607,0.0044867696382972656,0.03211119002739315
P1_HHI_norm_externo,cluster_municipio,log_despesa_pc,-0.0078593834667725,0.03940766015066262,-0.19943796299309968,0.8419201667351113,-0.08509697807706551,0.06937821114352052
P1_HHI_norm_externo,HC3,Intercept,0.11131726476221936,0.38516698109076364,0.2890104038694525,0.7725734160001032,-0.6435961462096974,0.8662306757341361
P1_HHI_norm_externo,HC3,log_populacao_siconfi,0.018298979832845206,0.006244745061328887,2.9303005411963396,0.0033863431210052067,0.006059504420006218,0.030538455245684194
P1_HHI_norm_externo,HC3,log_despesa_pc,-0.0078593834667725,0.039239877131709365,-0.2002907256919367,0.8412532154196004,-0.08476812940269973,0.06904936246915475
P2_HHI_norm_carteira,cluster_municipio,Intercept,0.09039808710026162,0.39165828697515775,0.23080856477829467,0.8174635271444669,-0.6772380496177005,0.8580342238182238
P2_HHI_norm_carteira,cluster_municipio,log_populacao_siconfi,0.01780846477630389,0.00723198850206843,2.4624575621505023,0.013798850172588348,0.0036340277756419914,0.031982901776965784
P2_HHI_norm_carteira,cluster_municipio,log_despesa_pc,0.015279976296074946,0.03927363098380897,0.38906451767534056,0.6972284204572183,-0.06169492597430701,0.0922548785664569
P2_HHI_norm_carteira,cluster_municipio,log_n_fornecedores,-0.07035206195631666,0.01273281808759533,-5.5252546193882734,3.290081140053918e-08,-0.09530792682970367,-0.04539619708292965
P2_HHI_norm_carteira,cluster_municipio,log_instrumentos_por_fornecedor,0.0317546533298263,0.026249500516182352,1.2097240978071226,0.22638477983518712,-0.01969342229405667,0.08320272895370927
P2_HHI_norm_carteira,HC3,Intercept,0.09039808710026162,0.3702310578463281,0.24416667695605154,0.8071017340468438,-0.6352414522367068,0.8160376264372301
P2_HHI_norm_carteira,HC3,log_populacao_siconfi,0.01780846477630389,0.006091818828198261,2.923341169286051,0.003462968494107118,0.005868719272692301,0.029748210279915477
P2_HHI_norm_carteira,HC3,log_despesa_pc,0.015279976296074946,0.03794521305420057,0.4026852155039735,0.6871798115406186,-0.059091274675857286,0.08965122726800717
P2_HHI_norm_carteira,HC3,log_n_fornecedores,-0.07035206195631666,0.012943287126924542,-5.435409202193371,5.467081964070964e-08,-0.09572043856664966,-0.04498368534598365
P2_HHI_norm_carteira,HC3,log_instrumentos_por_fornecedor,0.0317546533298263,0.027738856302426586,1.1447715429798888,0.2523038063490439,-0.022612505995261704,0.08612181265491431
P3_HHI_norm_UF_FE,cluster_municipio,Intercept,-0.021981249465937137,0.38088435255059033,-0.05771108557949362,0.9539787633994854,-0.7685008627399509,0.7245383638080766
P3_HHI_norm_UF_FE,cluster_municipio,C(uf)[T.BA],0.11065289480293675,0.061582389933246114,1.7968269000745494,0.07236310443870124,-0.010046371548127625,0.23135216115400112
P3_HHI_norm_UF_FE,cluster_municipio,C(uf)[T.CE],0.0969551326934394,0.07035311524117721,1.3781213861115877,0.16816581368833616,-0.04093443937946388,0.23484470476634267
P3_HHI_norm_UF_FE,cluster_municipio,C(uf)[T.ES],0.3705465345357832,0.06794061738790044,5.453976557501432,4.925569824270387e-08,0.23738537136808255,0.5037076977034838
P3_HHI_norm_UF_FE,cluster_municipio,C(uf)[T.GO],0.19786184014098496,0.053067733296670326,3.728477322271452,0.0001926402405731007,0.09385099413833409,0.3018726861436358
P3_HHI_norm_UF_FE,cluster_municipio,C(uf)[T.MA],0.036532629426499715,0.06926971453531777,0.5273968526010488,0.5979180287262313,-0.09923351628209381,0.17229877513509323
P3_HHI_norm_UF_FE,cluster_municipio,C(uf)[T.MG],0.2069667693778153,0.06153685932221782,3.363297569251965,0.0007701729732978307,0.0863567413845605,0.3275767973710701
P3_HHI_norm_UF_FE,cluster_municipio,C(uf)[T.MS],0.049267846199029165,0.051727398379363236,0.9524516550726952,0.34086797308603656,-0.05211599163847833,0.15065168403653667
P3_HHI_norm_UF_FE,cluster_municipio,C(uf)[T.MT],0.7556135243854978,0.045776833553823955,16.506461144741582,3.296563400874018e-61,0.6658925792937181,0.8453344694772774
P3_HHI_norm_UF_FE,cluster_municipio,C(uf)[T.PA],0.10082104253024662,0.04641274541023702,2.172270604531165,0.029835257891088752,0.009853733102555357,0.1917883519579379
P3_HHI_norm_UF_FE,cluster_municipio,C(uf)[T.PB],0.3248594687385999,0.17401208015274014,1.8668788307883715,0.06191851070987726,-0.016197941235667923,0.6659168787128678
P3_HHI_norm_UF_FE,cluster_municipio,C(uf)[T.PE],0.1510408536174225,0.05806062806099071,2.601433340658307,0.009283510481487187,0.03724411369810508,0.2648375935367399
P3_HHI_norm_UF_FE,cluster_municipio,C(uf)[T.PI],0.4052526499915754,0.04757043497626905,8.519002405459176,1.6093350215400446e-17,0.31201631070918356,0.49848898927396723
