municipio_ibge,anexo,exercicio,status,n_registros
3131901,DCA-Anexo I-E,2025,ok,271
3133808,DCA-Anexo I-D,2025,ok,266
3133808,DCA-Anexo I-E,2025,ok,338
3136207,DCA-Anexo I-D,2025,ok,246
3136207,DCA-Anexo I-E,2025,ok,328
3137809,DCA-Anexo I-D,2025,ok,237
3137809,DCA-Anexo I-E,2025,ok,207
3139003,DCA-Anexo I-D,2025,ok,218
3139003,DCA-Anexo I-E,2025,ok,332
3139409,DCA-Anexo I-D,2025,ok,239
3139409,DCA-Anexo I-E,2025,ok,262
3143104,DCA-Anexo I-D,2025,ok,197
3143104,DCA-Anexo I-E,2025,ok,241
3146008,DCA-Anexo I-D,2025,ok,210
3146008,DCA-Anexo I-E,2025,ok,287
3148103,DCA-Anexo I-D,2025,ok,228
3148103,DCA-Anexo I-E,2025,ok,268
3151800,DCA-Anexo I-D,2025,ok,795
3151800,DCA-Anexo I-E,2025,ok,404
3163706,DCA-Anexo I-D,2025,ok,156
3163706,DCA-Anexo I-E,2025,ok,179
3167202,DCA-Anexo I-D,2025,ok,268
3167202,DCA-Anexo I-E,2025,ok,357
3170206,DCA-Anexo I-D,2025,ok,328
3170206,DCA-Anexo I-E,2025,ok,324
3170404,DCA-Anexo I-D,2025,ok,283
3170404,DCA-Anexo I-E,2025,ok,434
3171303,DCA-Anexo I-D,2025,ok,288
3171303,DCA-Anexo I-E,2025,ok,295
3200201,DCA-Anexo I-D,2025,ok,175
3200201,DCA-Anexo I-E,2025,ok,188
3200300,DCA-Anexo I-D,2025,ok,192
3200300,DCA-Anexo I-E,2025,ok,215
3200607,DCA-Anexo I-D,2025,ok,288
3200607,DCA-Anexo I-E,2025,ok,328
3200805,DCA-Anexo I-D,2025,ok,219
3200805,DCA-Anexo I-E,2025,ok,274
3200904,DCA-Anexo I-D,2025,ok,266
3200904,DCA-Anexo I-E,2025,ok,248
3201506,DCA-Anexo I-D,2025,ok,270
3201506,DCA-Anexo I-E,2025,ok,345
3201902,DCA-Anexo I-D,2025,ok,203
3201902,DCA-Anexo I-E,2025,ok,291
3202256,DCA-Anexo I-D,2025,ok,196
3202256,DCA-Anexo I-E,2025,ok,221
3202801,DCA-Anexo I-D,2025,ok,239
3202801,DCA-Anexo I-E,2025,ok,277
3202900,DCA-Anexo I-D,2025,ok,171
3202900,DCA-Anexo I-E,2025,ok,171
3203056,DCA-Anexo I-D,2025,ok,216
3203056,DCA-Anexo I-E,2025,ok,271
3203205,DCA-Anexo I-D,2025,ok,258
3203205,DCA-Anexo I-E,2025,ok,272
3203403,DCA-Anexo I-D,2025,ok,202
3203403,DCA-Anexo I-E,2025,ok,157
3204351,DCA-Anexo I-D,2025,ok,250
3204351,DCA-Anexo I-E,2025,ok,225
3204559,DCA-Anexo I-D,2025,ok,239
3204559,DCA-Anexo I-E,2025,ok,252
3204609,DCA-Anexo I-D,2025,ok,228
3204609,DCA-Anexo I-E,2025,ok,265
3205010,DCA-Anexo I-D,2025,ok,189
3205010,DCA-Anexo I-E,2025,ok,258
3205036,DCA-Anexo I-D,2025,ok,190
3205036,DCA-Anexo I-E,2025,ok,197
3205200,DCA-Anexo I-D,2025,ok,289
3205200,DCA-Anexo I-E,2025,ok,306
3205309,DCA-Anexo I-D,2025,ok,305
3205309,DCA-Anexo I-E,2025,ok,374
3300506,DCA-Anexo I-D,2025,ok,198
3300506,DCA-Anexo I-E,2025,ok,221
3300605,DCA-Anexo I-D,2025,ok,208
3300605,DCA-Anexo I-E,2025,ok,214
3302700,DCA-Anexo I-D,2025,ok,306
3302700,DCA-Anexo I-E,2025,ok,339
3303856,DCA-Anexo I-D,2025,ok,188
3303856,DCA-Anexo I-E,2025,ok,260
3303955,DCA-Anexo I-D,2025,ok,216
3303955,DCA-Anexo I-E,2025,ok,306
3304524,DCA-Anexo I-D,2025,ok,225
3304524,DCA-Anexo I-E,2025,ok,257
3305158,DCA-Anexo I-D,2025,ok,157
3305158,DCA-Anexo I-E,2025,ok,232
3306156,DCA-Anexo I-D,2025,ok,194
3306156,DCA-Anexo I-E,2025,ok,191
3306305,DCA-Anexo I-D,2025,ok,0
3306305,DCA-Anexo I-E,2025,ok,0
3500105,DCA-Anexo I-D,2025,ok,199
3500105,DCA-Anexo I-E,2025,ok,261
3503208,DCA-Anexo I-D,2025,ok,236
3503208,DCA-Anexo I-E,2025,ok,397
3503307,DCA-Anexo I-D,2025,ok,225
3503307,DCA-Anexo I-E,2025,ok,297
3505302,DCA-Anexo I-D,2025,ok,192
3505302,DCA-Anexo I-E,2025,ok,228
3505708,DCA-Anexo I-D,2025,ok,211
3505708,DCA-Anexo I-E,2025,ok,230
3505807,DCA-Anexo I-D,2025,ok,162
3505807,DCA-Anexo I-E,2025,ok,182
3506003,DCA-Anexo I-D,2025,ok,269
3506003,DCA-Anexo I-E,2025,ok,287
3507902,DCA-Anexo I-D,2025,ok,175
3507902,DCA-Anexo I-E,2025,ok,230
3508108,DCA-Anexo I-D,2025,ok,215
3508108,DCA-Anexo I-E,2025,ok,199
3508702,DCA-Anexo I-D,2025,ok,121
3508702,DCA-Anexo I-E,2025,ok,159
3509502,DCA-Anexo I-D,2025,ok,354
3509502,DCA-Anexo I-E,2025,ok,362
3510401,DCA-Anexo I-D,2025,ok,237
3510401,DCA-Anexo I-E,2025,ok,260
3513405,DCA-Anexo I-D,2025,ok,221
3513405,DCA-Anexo I-E,2025,ok,313
3516705,DCA-Anexo I-D,2025,ok,253
3516705,DCA-Anexo I-E,2025,ok,312
3517406,DCA-Anexo I-D,2025,ok,227
3517406,DCA-Anexo I-E,2025,ok,321
3520509,DCA-Anexo I-D,2025,ok,277
3520509,DCA-Anexo I-E,2025,ok,278
3523107,DCA-Anexo I-D,2025,ok,235
3523107,DCA-Anexo I-E,2025,ok,247
3523909,DCA-Anexo I-D,2025,ok,249
3523909,DCA-Anexo I-E,2025,ok,238
3524105,DCA-Anexo I-D,2025,ok,194
3524105,DCA-Anexo I-E,2025,ok,293
3524402,DCA-Anexo I-D,2025,ok,258
3524402,DCA-Anexo I-E,2025,ok,325
3526704,DCA-Anexo I-D,2025,ok,236
3526704,DCA-Anexo I-E,2025,ok,266
3526803,DCA-Anexo I-D,2025,ok,242
3526803,DCA-Anexo I-E,2025,ok,313
3529005,DCA-Anexo I-D,2025,ok,260
3529005,DCA-Anexo I-E,2025,ok,294
3530607,DCA-Anexo I-D,2025,ok,293
3530607,DCA-Anexo I-E,2025,ok,379
3535309,DCA-Anexo I-D,2025,ok,138
3535309,DCA-Anexo I-E,2025,ok,150
3537107,DCA-Anexo I-D,2025,ok,195
3537107,DCA-Anexo I-E,2025,ok,277
3539301,DCA-Anexo I-D,2025,ok,200
3539301,DCA-Anexo I-E,2025,ok,275
3540705,DCA-Anexo I-D,2025,ok,242
3540705,DCA-Anexo I-E,2025,ok,246
3541406,DCA-Anexo I-D,2025,ok,217
3541406,DCA-Anexo I-E,2025,ok,245
3543907,DCA-Anexo I-D,2025,ok,285
3543907,DCA-Anexo I-E,2025,ok,313
3545803,DCA-Anexo I-D,2025,ok,203
3545803,DCA-Anexo I-E,2025,ok,209
3546603,DCA-Anexo I-D,2025,ok,211
3546603,DCA-Anexo I-E,2025,ok,224
3547809,DCA-Anexo I-D,2025,ok,298
3547809,DCA-Anexo I-E,2025,ok,317
3548807,DCA-Anexo I-D,2025,ok,200
3548807,DCA-Anexo I-E,2025,ok,214
3548906,DCA-Anexo I-D,2025,ok,239
3548906,DCA-Anexo I-E,2025,ok,279
3549805,DCA-Anexo I-D,2025,ok,235
3549805,DCA-Anexo I-E,2025,ok,327
3549904,DCA-Anexo I-D,2025,ok,305
3549904,DCA-Anexo I-E,2025,ok,271
3550308,DCA-Anexo I-D,2025,ok,422
3550308,DCA-Anexo I-E,2025,ok,545
3550407,DCA-Anexo I-D,2025,ok,189
3550407,DCA-Anexo I-E,2025,ok,275
3550704,DCA-Anexo I-D,2025,ok,183
3550704,DCA-Anexo I-E,2025,ok,177
3551702,DCA-Anexo I-D,2025,ok,267
3551702,DCA-Anexo I-E,2025,ok,286
3552205,DCA-Anexo I-D,2025,ok,269
3552205,DCA-Anexo I-E,2025,ok,323
3553609,DCA-Anexo I-D,2025,ok,182
3553609,DCA-Anexo I-E,2025,ok,210
3554102,DCA-Anexo I-D,2025,ok,334
3554102,DCA-Anexo I-E,2025,ok,351
3555406,DCA-Anexo I-D,2025,ok,233
3555406,DCA-Anexo I-E,2025,ok,319
3557105,DCA-Anexo I-D,2025,ok,258
3557105,DCA-Anexo I-E,2025,ok,312
4100509,DCA-Anexo I-D,2025,ok,181
4100509,DCA-Anexo I-E,2025,ok,219
4100806,DCA-Anexo I-D,2025,ok,120
4100806,DCA-Anexo I-E,2025,ok,177
4102901,DCA-Anexo I-D,2025,ok,153
4102901,DCA-Anexo I-E,2025,ok,182
4104808,DCA-Anexo I-D,2025,ok,302
4104808,DCA-Anexo I-E,2025,ok,333
4106902,DCA-Anexo I-D,2025,ok,366
