orgao_cnpj,portfolio_hhi_from,portfolio_hhi_norm_from,portfolio_cr1_from,portfolio_cr4_from,count_hhi_from,count_hhi_norm_from,n_fornecedores_from,n_instrumentos_from,exposicao_strength_global_from,exposicao_degree_global_from,quadrante_from,exposicao_oculta_from,portfolio_hhi_to,portfolio_hhi_norm_to,portfolio_cr1_to,portfolio_cr4_to,count_hhi_to,count_hhi_norm_to,n_fornecedores_to,n_instrumentos_to,exposicao_strength_global_to,exposicao_degree_global_to,quadrante_to,exposicao_oculta_to,delta_portfolio_hhi,delta_portfolio_hhi_norm,delta_portfolio_cr1,delta_portfolio_cr4,delta_count_hhi,delta_count_hhi_norm,delta_n_fornecedores,delta_n_instrumentos,delta_exposicao_strength_global,delta_exposicao_degree_global,quadrante_estavel
00057011000108,0.4829648133554434,0.3106197511405912,0.6602693899110837,1.0,0.2777777777777778,0.037037037037037,4,6,0.6582900729954776,0.8745091341638249,hhi_alto,False,0.4829648133554434,0.3106197511405912,0.6602693899110837,1.0,0.2777777777777778,0.037037037037037,4,6,0.6524445387061057,0.8705410749692106,hhi_alto,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.005845534289371845,-0.003968059194614293,True
00091238000170,0.2668056756418174,0.1853396396020193,0.3750480272607504,0.9573969294994784,0.1111111111111111,0.0123456790123456,10,12,0.7614376167298197,0.5377384278693538,baixo_baixo,False,0.2043324436980761,0.1474990468193673,0.3220380280348693,0.8220766323569917,0.0726643598615916,0.0064260998517053,15,17,0.733071187617144,0.5768477350471067,baixo_baixo,False,-0.0624732319437413,-0.037840592782652005,-0.05300999922588112,-0.13532029714248672,-0.038446751249519504,-0.0059195791606403,5,5,-0.02836642911267573,0.03910930717775296,True
00118735000114,0.3472008824465827,0.2656009927524055,0.5409313063410027,0.8621480176350339,0.1111111111111111,0.0,9,9,0.6109139021220154,0.5674112546915033,baixo_baixo,False,0.3472008824465827,0.2656009927524055,0.5409313063410027,0.8621480176350339,0.1111111111111111,0.0,9,9,0.6098421732053204,0.5660106878176154,baixo_baixo,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0010717289166949362,-0.0014005668738878985,True
00124346000100,0.176032943458608,0.1073690220801586,0.2606785277078571,0.7620894712615378,0.0858725761772853,0.0096952908587257,13,19,0.5264768812189782,0.6003556009175872,baixo_baixo,False,0.176032943458608,0.1073690220801586,0.2606785277078571,0.7620894712615378,0.0858725761772853,0.0096952908587257,13,19,0.5224346424873829,0.5974066853106844,baixo_baixo,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.00404223873159526,-0.002948915606902802,True
00202770000117,0.5160285226261689,0.4192342271514027,0.6929491085614969,0.9699696273599966,0.1666666666666666,3.3306690738754695e-17,6,6,0.939635884664082,0.493195754213683,critico,False,0.5160285226261689,0.4192342271514027,0.6929491085614969,0.9699696273599966,0.1666666666666666,3.3306690738754695e-17,6,6,0.9365578449666252,0.4908194005329772,critico,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0030780396974567914,-0.0023763536807058228,True
00204125000133,0.7356784225748761,0.7255122080585251,0.853407047275955,0.9668244275628088,0.0392390011890606,0.0022866550809475,27,29,0.9507892946653722,0.7972526806434582,critico,False,0.709676167808479,0.6993074595159247,0.8380352407676985,0.95264984586723,0.0364203954214359,0.0020068381150586,29,31,0.9478311712955254,0.796508556876276,critico,False,-0.02600225476639717,-0.026204748542600464,-0.015371806508256425,-0.014174581695578836,-0.0028186057676247017,-0.0002798169658888997,2,2,-0.002958123369846799,-0.0007441237671822476,True
00324208000166,0.4662282745721222,0.1993424118581832,0.5740074644868116,1.0,0.44,0.1600000000000001,3,5,0.4801588229874725,0.8541177229514182,hhi_alto,False,0.3527562434467682,0.1370083245956909,0.4798895194308398,1.0,0.3333333333333333,0.1111111111111111,4,6,0.4295309010633561,0.7750099944851686,hhi_alto,False,-0.11347203112535398,-0.06233408726249229,-0.09411794505597182,0.0,-0.10666666666666669,-0.04888888888888898,1,1,-0.05062792192411636,-0.07910772846624958,True
00421772000105,0.1519375187927683,0.1115535911162334,0.2122526842264491,0.7219680447702566,0.0630202140309155,0.0184021289847687,22,29,0.935230356642287,0.5054402150770875,oculta,True,0.1511100884771814,0.1157396754970639,0.2116722297586082,0.719993654770184,0.0612244897959183,0.0221088435374149,25,42,0.9308967741254712,0.5939800573024184,oculta,True,-0.0008274303155868801,0.004186084380830499,-0.0005804544678409129,-0.001974390000072601,-0.0017957242349972008,0.0037067145526461995,3,13,-0.004333582516815815,0.08853984222533096,True
00426641000102,0.2807508386759461,0.1009385483449326,0.335283084297831,0.9817989182809748,0.2,3.4694469519536136e-17,5,5,0.4482122265826715,0.5502010380132731,baixo_baixo,False,0.2807508386759461,0.1009385483449326,0.335283084297831,0.9817989182809748,0.2,3.4694469519536136e-17,5,5,0.4493180787149341,0.5555441872246771,baixo_baixo,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.001105852132262608,0.005343149211403997,True
00444435000125,0.2852700824257914,0.1831658084866187,0.4051138876416632,0.923778572251124,0.14,0.0171428571428571,8,10,0.7187495217819516,0.629388131740605,baixo_baixo,False,0.2852700824257914,0.1831658084866187,0.4051138876416632,0.923778572251124,0.14,0.0171428571428571,8,10,0.7145998538624136,0.6265975063799266,baixo_baixo,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.004149667919537969,-0.0027906253606784226,True
