pct_removed,k,strategy,target_severe,random_mean,random_p025,random_p975,rede
0.01,64,degree,0.0,0.003495844875346261,0.0,0.0110803324099723,todos
0.01,64,strength,0.07479224376731301,0.003495844875346261,0.0,0.0110803324099723,todos
0.05,316,degree,0.030470914127423823,0.019254847645429365,0.00554016620498615,0.036011080332409975,todos
0.05,316,strength,0.24930747922437674,0.019254847645429365,0.00554016620498615,0.036011080332409975,todos
0.1,631,degree,0.11357340720221606,0.04440443213296399,0.024930747922437674,0.0664819944598338,todos
0.1,631,strength,0.40443213296398894,0.04440443213296399,0.024930747922437674,0.0664819944598338,todos
0.01,53,degree,0.030470914127423823,0.0034459833795013857,0.0,0.0110803324099723,sem_origem_externa
0.01,53,strength,0.07479224376731301,0.0034459833795013857,0.0,0.0110803324099723,sem_origem_externa
0.05,265,degree,0.09695290858725762,0.0190803324099723,0.00554016620498615,0.036011080332409975,sem_origem_externa
0.05,265,strength,0.22437673130193905,0.0190803324099723,0.00554016620498615,0.036011080332409975,sem_origem_externa
0.1,529,degree,0.1745152354570637,0.04282548476454293,0.0221606648199446,0.0664819944598338,sem_origem_externa
0.1,529,strength,0.3850415512465374,0.04282548476454293,0.0221606648199446,0.0664819944598338,sem_origem_externa
