modelo,tipo,termo,coef,erro_padrao,estatistica,p,ci95_inf,ci95_sup,ame_continuo
O1_HHI_norm_externo,OLS_cluster,Intercept,-0.17647365993893915,0.2015713788355772,-0.8754896700036449,0.3813075284418155,-0.5715463027707497,0.21859898289287144,
O1_HHI_norm_externo,OLS_cluster,log_populacao,0.02421735184057075,0.003746216846943028,6.464482124234878,1.0164631171622676e-10,0.016874901742285217,0.03155980193885628,
O1_HHI_norm_externo,OLS_cluster,log_despesa_pc,0.016715847415215885,0.020264398760227932,0.8248874103298521,0.4094355145464097,-0.023001644323188988,0.056433339153620754,
O2_HHI_norm_regiao,OLS_cluster,Intercept,0.009331897029418133,0.20258650652340063,0.046063764016485535,0.9632594274599716,-0.3877303595102358,0.40639415356907205,
O2_HHI_norm_regiao,OLS_cluster,C(regiao)[T.Nordeste],-0.005492240631765754,0.021204646965886354,-0.25901117998340506,0.7956266143996145,-0.047052584989789537,0.03606810372625803,
O2_HHI_norm_regiao,OLS_cluster,C(regiao)[T.Norte],0.06559110054725358,0.03177047362435113,2.064530145908179,0.0389674786854035,0.0033221164717456494,0.1278600846227615,
O2_HHI_norm_regiao,OLS_cluster,C(regiao)[T.Sudeste],0.036589008777030925,0.017506177165018625,2.0900627494016337,0.03661216332274825,0.002277532026616916,0.07090048552744493,
O2_HHI_norm_regiao,OLS_cluster,C(regiao)[T.Sul],0.07209989635374597,0.015382322072447692,4.6871919606266035,2.769791467967851e-06,0.04195109909315298,0.10224869361433897,
O2_HHI_norm_regiao,OLS_cluster,log_populacao,0.021835908104300465,0.003702669181354331,5.897342439951255,3.6940271928702816e-09,0.01457880986217957,0.02909300634642136,
O2_HHI_norm_regiao,OLS_cluster,log_despesa_pc,0.01552938547710256,0.02071271154180766,0.749751448319898,0.45340441513520635,-0.02506678316700755,0.056125554121212666,
O2_HHI_norm_regiao,OLS_cluster,log_n_fornecedores,-0.06648660199712299,0.006450798835237846,-10.306723817511754,6.570301978937118e-25,-0.0791299353857021,-0.05384326860854388,
O2_HHI_norm_regiao,OLS_cluster,log_instr_por_forn,0.006373216484623693,0.013624606266839043,0.4677725256645014,0.639947270066062,-0.02033052110191955,0.03307695407116694,
O3_Gap_regiao,OLS_cluster,Intercept,-0.017497740502190964,0.20185205465919076,-0.08668596676776139,0.930921131321113,-0.41312049783961524,0.37812501683523336,
O3_Gap_regiao,OLS_cluster,C(regiao)[T.Nordeste],0.0004264544117028934,0.021275572905974167,0.020044320949079836,0.9840080166527797,-0.04127290223446265,0.04212581105786844,
O3_Gap_regiao,OLS_cluster,C(regiao)[T.Norte],0.06788814663848529,0.031048587032428153,2.186513240283067,0.028778077084678486,0.007034034284068756,0.12874225899290181,
O3_Gap_regiao,OLS_cluster,C(regiao)[T.Sudeste],0.03951685894376351,0.017559009384597573,2.2505175592893605,0.024416110130390408,0.005101832945751443,0.07393188494177558,
O3_Gap_regiao,OLS_cluster,C(regiao)[T.Sul],0.0830911980873272,0.015533537465426692,5.349148464878973,8.836902859263929e-08,0.0526460241025873,0.11353637207206711,
O3_Gap_regiao,OLS_cluster,log_populacao,0.020069133102359454,0.0035996368749862282,5.575321566966734,2.470730403331493e-08,0.013013974469964138,0.02712429173475477,
O3_Gap_regiao,OLS_cluster,log_despesa_pc,0.014499014166557302,0.02071537662245437,0.6999155473157626,0.4839800473707395,-0.026102377939636254,0.055100406272750854,
O3_Gap_regiao,OLS_cluster,log_n_fornecedores,-0.047123486080537604,0.006917106382237532,-6.812601032354543,9.584969447816376e-12,-0.06068076546695531,-0.033566206694119895,
O3_Gap_regiao,OLS_cluster,log_instr_por_forn,-0.06311895101600018,0.01644315094788414,-3.838616528915473,0.0001237294911599139,-0.09534693466620875,-0.030890967365791618,
O4_Exposicao_strength_regiao,OLS_cluster,Intercept,0.7781117065956474,0.1797953896891342,4.3277622854568225,1.5063191502715132e-05,0.4257192182186002,1.1305041949726946,
O4_Exposicao_strength_regiao,OLS_cluster,C(regiao)[T.Nordeste],0.0774963818396579,0.01700617756756131,4.5569547613967964,5.190059688383358e-06,0.04416488629254475,0.11082787738677105,
O4_Exposicao_strength_regiao,OLS_cluster,C(regiao)[T.Norte],0.08800576372469926,0.024831789923514477,3.5440765243170067,0.00039399087202299585,0.039336349802946265,0.13667517764645226,
O4_Exposicao_strength_regiao,OLS_cluster,C(regiao)[T.Sudeste],-0.005831436562236178,0.01910215099908936,-0.3052764352304709,0.7601556218220948,-0.04327096454769713,0.03160809142322478,
O4_Exposicao_strength_regiao,OLS_cluster,C(regiao)[T.Sul],0.07302623274314082,0.013306239942676485,5.488119337824894,4.062355897227159e-08,0.0469464816858466,0.09910598380043505,
O4_Exposicao_strength_regiao,OLS_cluster,log_populacao,0.011087470281785,0.0036909142924141736,3.0039901778734737,0.002664639272470941,0.003853411198629082,0.018321529364940917,
O4_Exposicao_strength_regiao,OLS_cluster,log_despesa_pc,-0.026826055409848063,0.018146523509425465,-1.4783027391397792,0.13932676485474002,-0.062392587932931357,0.008740477113235234,
O4_Exposicao_strength_regiao,OLS_cluster,log_n_fornecedores,0.027469292731735852,0.006110932530135968,4.495106531821693,6.953512546293726e-06,0.015492085060715127,0.039446500402756574,
O4_Exposicao_strength_regiao,OLS_cluster,log_instr_por_forn,0.04646940769538079,0.012562931758591259,3.698930201033873,0.0002165101268934376,0.02184651390830748,0.0710923014824541,
F1_HHI_norm_externo,fractional_logit_cluster,Intercept,-3.196588495403205,1.123339487034397,-2.8456121522463,0.004432614719167481,-5.398293432402322,-0.994883558404088,
F1_HHI_norm_externo,fractional_logit_cluster,log_populacao,0.13049057501097525,0.020518264844030024,6.3597275891943985,2.0211186359054283e-10,0.09027551489142205,0.17070563513052844,0.022858473493404658
F1_HHI_norm_externo,fractional_logit_cluster,log_despesa_pc,0.06611037812731613,0.11451033071282012,0.5773311256354154,0.5637157911772633,-0.1583257459275821,0.29054650218221434,0.011580777584397286
F2_HHI_norm_regiao,fractional_logit_cluster,Intercept,-2.1746169831551674,1.127568135980997,-1.9285903119843184,0.053781742701169935,-4.384609919792884,0.03537595348254907,
F2_HHI_norm_regiao,fractional_logit_cluster,C(regiao)[T.Nordeste],-0.0005771440204292231,0.12829290611077593,-0.004498643283759445,0.9964106140862068,-0.2520266194695287,0.2508723314286702,
F2_HHI_norm_regiao,fractional_logit_cluster,C(regiao)[T.Norte],0.36816545671586615,0.1586018271912712,2.321319137590166,0.020269626112617685,0.05731158753872917,0.6790193258930031,
F2_HHI_norm_regiao,fractional_logit_cluster,C(regiao)[T.Sudeste],0.23586417933596202,0.10225379332918377,2.30665456661005,0.021074084962684557,0.035450427128159795,0.43627793154376426,
F2_HHI_norm_regiao,fractional_logit_cluster,C(regiao)[T.Sul],0.4347698759976172,0.0948047608225548,4.585949821775005,4.519271405471492e-06,0.24895595922247585,0.6205837927727585,
F2_HHI_norm_regiao,fractional_logit_cluster,log_populacao,0.11753436457172782,0.02015188793516391,5.832424483000274,5.462773089433479e-09,0.07803738999831933,0.1570313391451363,0.020064491626123088
F2_HHI_norm_regiao,fractional_logit_cluster,log_despesa_pc,0.06186496087427365,0.117389189161034,0.5270073106085396,0.5981885117387964,-0.16821362205571266,0.29194354380425996,0.010561072873753219
