modelo,tipo,termo,coef,erro_padrao,estatistica,p,ci95_inf,ci95_sup,ame_continuo
O1_HHI_norm_externo,OLS_cluster,log_populacao,0.02421735184057075,0.003746216846943028,6.464482124234878,1.0164631171622676e-10,0.016874901742285217,0.03155980193885628,
O1_HHI_norm_externo,OLS_cluster,log_despesa_pc,0.016715847415215885,0.020264398760227932,0.8248874103298521,0.4094355145464097,-0.023001644323188988,0.056433339153620754,
O2_HHI_norm_regiao,OLS_cluster,log_populacao,0.021835908104300465,0.003702669181354331,5.897342439951255,3.6940271928702816e-09,0.01457880986217957,0.02909300634642136,
O2_HHI_norm_regiao,OLS_cluster,log_despesa_pc,0.01552938547710256,0.02071271154180766,0.749751448319898,0.45340441513520635,-0.02506678316700755,0.056125554121212666,
O2_HHI_norm_regiao,OLS_cluster,log_n_fornecedores,-0.06648660199712299,0.006450798835237846,-10.306723817511754,6.570301978937118e-25,-0.0791299353857021,-0.05384326860854388,
O2_HHI_norm_regiao,OLS_cluster,log_instr_por_forn,0.006373216484623693,0.013624606266839043,0.4677725256645014,0.639947270066062,-0.02033052110191955,0.03307695407116694,
O3_Gap_regiao,OLS_cluster,log_populacao,0.020069133102359454,0.0035996368749862282,5.575321566966734,2.470730403331493e-08,0.013013974469964138,0.02712429173475477,
O3_Gap_regiao,OLS_cluster,log_despesa_pc,0.014499014166557302,0.02071537662245437,0.6999155473157626,0.4839800473707395,-0.026102377939636254,0.055100406272750854,
O3_Gap_regiao,OLS_cluster,log_n_fornecedores,-0.047123486080537604,0.006917106382237532,-6.812601032354543,9.584969447816376e-12,-0.06068076546695531,-0.033566206694119895,
O3_Gap_regiao,OLS_cluster,log_instr_por_forn,-0.06311895101600018,0.01644315094788414,-3.838616528915473,0.0001237294911599139,-0.09534693466620875,-0.030890967365791618,
O4_Exposicao_strength_regiao,OLS_cluster,log_populacao,0.011087470281785,0.0036909142924141736,3.0039901778734737,0.002664639272470941,0.003853411198629082,0.018321529364940917,
O4_Exposicao_strength_regiao,OLS_cluster,log_despesa_pc,-0.026826055409848063,0.018146523509425465,-1.4783027391397792,0.13932676485474002,-0.062392587932931357,0.008740477113235234,
O4_Exposicao_strength_regiao,OLS_cluster,log_n_fornecedores,0.027469292731735852,0.006110932530135968,4.495106531821693,6.953512546293726e-06,0.015492085060715127,0.039446500402756574,
O4_Exposicao_strength_regiao,OLS_cluster,log_instr_por_forn,0.04646940769538079,0.012562931758591259,3.698930201033873,0.0002165101268934376,0.02184651390830748,0.0710923014824541,
F1_HHI_norm_externo,fractional_logit_cluster,log_populacao,0.13049057501097525,0.020518264844030024,6.3597275891943985,2.0211186359054283e-10,0.09027551489142205,0.17070563513052844,0.022858473493404658
F1_HHI_norm_externo,fractional_logit_cluster,log_despesa_pc,0.06611037812731613,0.11451033071282012,0.5773311256354154,0.5637157911772633,-0.1583257459275821,0.29054650218221434,0.011580777584397286
F2_HHI_norm_regiao,fractional_logit_cluster,log_populacao,0.11753436457172782,0.02015188793516391,5.832424483000274,5.462773089433479e-09,0.07803738999831933,0.1570313391451363,0.020064491626123088
F2_HHI_norm_regiao,fractional_logit_cluster,log_despesa_pc,0.06186496087427365,0.117389189161034,0.5270073106085396,0.5981885117387964,-0.16821362205571266,0.29194354380425996,0.010561072873753219
F2_HHI_norm_regiao,fractional_logit_cluster,log_n_fornecedores,-0.39322845132185735,0.0384633785260807,-10.223450627334326,1.5569774912839532e-24,-0.4686152879567068,-0.3178416146870079,-0.06712869889117205
F2_HHI_norm_regiao,fractional_logit_cluster,log_instr_por_forn,-0.007810958158898292,0.08570768436722452,-0.0911348640039245,0.9273854304300465,-0.17579493271698496,0.16017301639918838,-0.0013334219752859525
