particao,arquivo,linhas_pj,sha256
2025-06-d01-d04,data/processed/pncp_mensal/pncp_2025-06-d01-d04_municipal_pj.csv.gz,2287,9fcc96cf9a442b101094f5ac99e1dbae44e01323676ccc9b00b447eff353cbac
2025-06-d05-d08,data/processed/pncp_mensal/pncp_2025-06-d05-d08_municipal_pj.csv.gz,2072,3e339a54cd0c77cc5372797c699c1e0b144f3767836331e3092fae6f344952eb
2025-06-d09-d12,data/processed/pncp_mensal/pncp_2025-06-d09-d12_municipal_pj.csv.gz,3484,97d8246818f0c148bbaea3d21af4dd1d8bdf529e59c4cd2011db970913aa9974
2025-06-d13-d16,data/processed/pncp_mensal/pncp_2025-06-d13-d16_municipal_pj.csv.gz,1906,4f7882f8bcbeb4989f3b4bd0561e3fd5ca4edf985707254b9ace9fa17a6b0b2c
2025-06-d17-d20,data/processed/pncp_mensal/pncp_2025-06-d17-d20_municipal_pj.csv.gz,2692,c4a236e69c9cf1163c972bb5241bace5be1a9b292a66f77dd580b966afb72a82
2025-06-d21-d24,data/processed/pncp_mensal/pncp_2025-06-d21-d24_municipal_pj.csv.gz,1546,8bcf3c71d6bda95cf757529998fdf9c77fef1f5b66d5c283d886e025bb888f37
2025-06-d25-d27,data/processed/pncp_mensal/pncp_2025-06-d25-d27_municipal_pj.csv.gz,2938,b13549097fb0efb9991f7665db9ea0d516b317102477c2d7b468ee737aaf667b
2025-06-d28-d30,data/processed/pncp_mensal/pncp_2025-06-d28-d30_municipal_pj.csv.gz,1142,66715f07282255153d2d2167b0aa6765025e38ab61731c368411243f120bbdf7
