orgao_cnpj,portfolio_hhi,portfolio_hhi_norm,n_fornecedores,n_instrumentos,exposicao_strength_global,exposicao_degree_global,exposicao_strength_loo,exposicao_degree_loo,contribuicao_propria_strength_media_ponderada,delta_strength_loo,delta_degree_loo
00057011000108,0.4829648133554434,0.3106197511405912,4,6,0.6417431813431906,0.866382202846799,0.48714696551660247,0.4901755219316007,0.5578623656468292,-0.15459621582658817,-0.3762066809151983
00091238000170,0.3303067153054515,0.246595054718633,9,11,0.7879573378713607,0.5615495247490827,0.29570911979319675,0.15644980288524316,0.7550064820159277,-0.49224821807816393,-0.4050997218638396
00118735000114,0.482405668049233,0.4084636206276949,8,8,0.5583930980960434,0.4630226364205698,0.06797653328751911,0.08216872821837776,0.8950341872655669,-0.4904165648085243,-0.380853908202192
00202770000117,0.5160285226261689,0.4192342271514027,6,6,0.9342668747454268,0.4911310230478846,0.1498253310844768,0.15098208951409986,0.9234890305803511,-0.78444154366095,-0.3401489335337847
00204125000133,0.4451703128319597,0.4187498515382435,22,24,0.7734631879124804,0.505001120485745,0.12703744705821365,0.16526650915683366,0.8718270537873064,-0.6464257408542667,-0.3397346113289113
00324208000166,0.4662282745721222,0.1993424118581832,3,5,0.2919815057606655,0.4337377820476057,0.026318634552429727,0.058915229340681025,0.9417016650294628,-0.2656628712082358,-0.37482255270692466
00421772000105,0.1812125737566933,0.1266267453404728,16,20,0.9320785423314372,0.4355354202306462,0.07134531236201484,0.03396321832696136,0.9451220569955654,-0.8607332299694224,-0.4015722019036848
00426641000102,0.2807508386759461,0.1009385483449326,5,5,0.418076453406213,0.455236993226739,0.07528623092848356,0.09455156228781013,0.9071670211060676,-0.34279022247772944,-0.36068543093892885
00444435000125,0.2852700824257914,0.1831658084866187,8,10,0.7181875207471254,0.6292812857858923,0.33080806107881117,0.26208983592830976,0.7250426683974982,-0.3873794596683143,-0.3671914498575825
00460408000146,0.1268202119733327,0.093236373972307,27,33,0.6406166808350311,0.7062223418820968,0.3141348477227282,0.42130456804176086,0.7582537158253818,-0.3264818331123029,-0.2849177738403359
00536717000152,0.0863123771695586,0.0210489755388128,15,15,0.6338541480284949,0.5122307930401889,0.19353034425771592,0.160181945038062,0.7991134192549393,-0.440323803770779,-0.35204884800212694
00569168000112,0.944289681876618,0.93871865006428,11,11,0.9706903916586926,0.9893425469076867,0.9697831517546387,0.9889844369250944,0.0277531521648579,-0.0009072399040539469,-0.0003581099825923362
00634997000131,0.1492468822645694,0.0277107225880793,8,8,0.9544976656482108,0.4347717197159859,0.07653101139962845,0.031895197575217665,0.9459007903215861,-0.8779666542485823,-0.4028765221407682
00675468000186,0.1509875868592134,0.1343402846407667,52,61,0.8810552586902395,0.7268849394722418,0.580537520345344,0.3799376428650204,0.7274677279369279,-0.3005177383448955,-0.34694729660722134
00879976000186,0.0155965741590211,0.0082502799363273,135,141,0.7317832941197299,0.3989296410860706,0.003338734226935704,0.003338734226935704,0.9999999999999925,-0.7284445598927941,-0.3955909068591349
00955107000193,0.2240746394220999,0.2158201143095691,95,328,0.9269717984721229,0.4826799609350993,0.11603410128582889,0.12967404150633072,0.911624524859893,-0.8109376971862939,-0.3530059194287686
00956081000106,0.2320739326466755,0.0784887191760106,6,6,0.5330387652924302,0.5662804573296113,0.2516043938019813,0.28284263833765766,0.7318384638759357,-0.2814343714904489,-0.28343781899195364
00999472000108,0.0272457073150733,0.0149323618380489,80,80,0.8861198435053071,0.5166812450112631,0.13573977461674522,0.15639041460649158,0.922586080767962,-0.7503800688885619,-0.3602908304047715
01071994000108,0.1737828224387252,0.1420052386863685,27,27,0.8823631799097059,0.5887038803245653,0.2998456971993234,0.3157115867168929,0.6969325886905969,-0.5825174827103825,-0.2729922936076724
01210830000106,0.2115697380398444,0.1552532907569761,15,15,0.7186349699352569,0.73455643166781,0.5428788812639448,0.5377488282298463,0.48053176576077405,-0.1757560886713121,-0.19680760343796377
01280363000190,0.5072547203884036,0.4952365428369012,42,55,0.9732219018081736,0.404606136247675,0.007608636105512495,0.00935575041203072,0.9922734445530648,-0.965613265702661,-0.39525038583564426
01282378000198,0.2729473842149322,0.2527514782209025,37,99,0.9495765818430608,0.9892717410957964,0.9482248336578127,0.9854673987257347,0.03244703046139314,-0.0013517481852480806,-0.003804342370061664
01294821000140,0.2908090286534612,0.1135112858168265,5,5,0.7414093490437119,0.7203286798075172,0.5121577134572922,0.48101726211948576,0.44847628777478177,-0.2292516355864197,-0.2393114176880315
01335616000186,0.5983323750215647,0.540951285738931,8,11,0.7760702434356306,0.8610819977332572,0.5960066528383323,0.7707817424750203,0.6774164584411835,-0.18006359059729826,-0.09030025525823693
01349236000109,0.0797985653991157,0.0444062025298509,27,185,0.968915944160482,0.9989294309449628,0.9677994054000538,0.9988898718788619,0.02542711132396928,-0.0011165387604281651,-3.9559066100869344e-05
01393989000103,0.1581754634679916,0.0379148153919904,8,9,0.6197926641823261,0.4542171986465636,0.06441617896198322,0.08659725315819083,0.927912192619153,-0.5553764852203429,-0.3676199454883728
01397083000167,0.2111727137642919,0.1923911117110608,43,82,0.8089384270847968,0.9113668698440348,0.7643236870043059,0.6510743259350877,0.22798472170520195,-0.04461474008049093,-0.26029254390894707
01404511000131,0.3428284843880246,0.3250670920741874,38,64,0.8709507813674692,0.7106916518016232,0.6626379816050891,0.2789746499050252,0.5354439236851414,-0.20831279976238004,-0.431717001896598
01420402000108,0.5164917492658109,0.4910439465955904,20,24,0.8258932496730257,0.5233825405397051,0.17145281596977047,0.17530400070116983,0.8242692210084468,-0.6544404337032552,-0.3480785398385353
