orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,pct_hhi_norm,pct_exposure_strength,gap_percentil_exposure_hhi,residuo_exposure_hhi,sobreexposicao_gap_q75,sobreexposicao_resid_q75
00057011000108,109046.4,6,4,0.4829648133554434,0.2777777777777778,0.6602693899110837,1.0,2.0705442142925614,0.3106197511405912,0.037037037037037,0.2051870355776656,0.2735827141035541,0.866382202846799,0.6417431813431906,0.7505567928730512,0.2026726057906459,-0.5478841870824054,-0.1704843882905137,False,False
00091238000170,463764.85,11,9,0.3303067153054515,0.1239669421487603,0.4312528860261833,0.9731237932327128,3.027489159810901,0.246595054718633,0.0144628099173553,0.2063397731566912,0.2321322448012776,0.5615495247490827,0.7879573378713607,0.6651818856718634,0.39717891610987377,-0.26800296956198966,-0.004586676384486399,False,False
00118735000114,111063.1,8,8,0.482405668049233,0.125,0.67974016572561,0.8988048235642621,2.072944134433227,0.4084636206276949,0.0,0.357405668049233,0.4084636206276949,0.4630226364205698,0.5583930980960434,0.8455827765404603,0.12397921306607275,-0.7216035634743876,-0.28391528926993725,False,False
00202770000117,3232560.62,6,6,0.5160285226261689,0.1666666666666666,0.6929491085614969,0.9699696273599966,1.937877377224822,0.4192342271514027,3.3306690738754695e-17,0.3493618559595022,0.4192342271514027,0.4911310230478846,0.9342668747454268,0.8530066815144766,0.7817371937639198,-0.07126948775055675,0.08864720529908632,False,False
00204125000133,610239.2,24,22,0.4451703128319597,0.0486111111111111,0.6440097587962229,0.913850699856712,2.24633128305093,0.4187498515382435,0.0033068783068783,0.3965592017208486,0.4154429732313652,0.505001120485745,0.7734631879124804,0.852264291017075,0.370452858203415,-0.48181143281366,-0.07200756658793894,False,False
00324208000166,20395.24,5,3,0.4662282745721222,0.44,0.5740074644868116,1.0,2.144872060618252,0.1993424118581832,0.1600000000000001,0.0262282745721221,0.0393424118581831,0.4337377820476057,0.2919815057606655,0.5909428359317,0.014847809948032665,-0.5760950259836674,-0.4860353015817134,False,False
00421772000105,6611636.220000001,20,16,0.1812125737566933,0.075,0.2593851117840237,0.8006036363567505,5.518380867669034,0.1266267453404728,0.0133333333333333,0.1062125737566933,0.1132934120071395,0.4355354202306462,0.9320785423314372,0.4216778025241277,0.7728285077951003,0.3511507052709726,0.17641721543219968,True,True
00426641000102,62633.64,5,5,0.2807508386759461,0.2,0.335283084297831,0.9817989182809748,3.561877160246848,0.1009385483449326,3.4694469519536136e-17,0.0807508386759461,0.1009385483449326,0.455236993226739,0.418076453406213,0.34669636228656275,0.042316258351893093,-0.30438010393466963,-0.3296873733660952,False,False
00444435000125,319910.04000000004,10,8,0.2852700824257914,0.14,0.4051138876416632,0.923778572251124,3.505449963404889,0.1831658084866187,0.0171428571428571,0.1452700824257913,0.1660229513437615,0.6292812857858923,0.7181875207471254,0.5642167780252413,0.29769858945805494,-0.26651818856718634,-0.054856001502399554,False,False
00460408000146,578732.03,33,27,0.1268202119733327,0.0413223140495867,0.2431488023913243,0.6425280798783506,7.88517843047192,0.093236373972307,0.0044500953591862,0.0854978979237459,0.0887862786131208,0.7062223418820968,0.6406166808350311,0.31551596139569416,0.20193021529324426,-0.1135857461024499,-0.10477921318216776,False,False
