ranking_scope,strategy,pct_removed,k,threshold,candidate_suppliers,eligible_buyers,target_severe_share,random_severe_mean,random_severe_p025,random_severe_p975,target_mean_loss,random_mean_loss,random_mean_loss_p025,random_mean_loss_p975
eligible,degree,0.01,54,0.25,5364,569,0.20035149384885764,0.010015817223198597,0.0035149384885764497,0.019332161687170474,0.1472667008638382,0.010136531847296282,0.005195549863856286,0.020031567150726914
eligible,degree,0.01,54,0.5,5364,569,0.1546572934973638,0.003383128295254833,0.0,0.008787346221441126,0.1472667008638382,0.010136531847296282,0.005195549863856286,0.020031567150726914
eligible,degree,0.01,54,0.75,5364,569,0.08611599297012303,0.00129701230228471,0.0,0.005272407732864675,0.1472667008638382,0.010136531847296282,0.005195549863856286,0.020031567150726914
eligible,strength,0.01,54,0.25,5364,569,0.07908611599297012,0.010015817223198597,0.0035149384885764497,0.019332161687170474,0.06227259337902069,0.010136531847296282,0.005195549863856286,0.020031567150726914
eligible,strength,0.01,54,0.5,5364,569,0.070298769771529,0.003383128295254833,0.0,0.008787346221441126,0.06227259337902069,0.010136531847296282,0.005195549863856286,0.020031567150726914
eligible,strength,0.01,54,0.75,5364,569,0.03866432337434095,0.00129701230228471,0.0,0.005272407732864675,0.06227259337902069,0.010136531847296282,0.005195549863856286,0.020031567150726914
eligible,degree,0.05,269,0.25,5364,569,0.28646748681898065,0.05494200351493849,0.0351493848857645,0.0773286467486819,0.24699877202510834,0.050282510429620744,0.0360657811164856,0.06845961064100264
eligible,degree,0.05,269,0.5,5364,569,0.22671353251318102,0.018323374340949033,0.007029876977152899,0.03163444639718805,0.24699877202510834,0.050282510429620744,0.0360657811164856,0.06845961064100264
eligible,degree,0.05,269,0.75,5364,569,0.19156414762741653,0.006945518453427065,0.0,0.015817223198594025,0.24699877202510834,0.050282510429620744,0.0360657811164856,0.06845961064100264
eligible,strength,0.05,269,0.25,5364,569,0.421792618629174,0.05494200351493849,0.0351493848857645,0.0773286467486819,0.29509711265563965,0.050282510429620744,0.0360657811164856,0.06845961064100264
eligible,strength,0.05,269,0.5,5364,569,0.3268892794376098,0.018323374340949033,0.007029876977152899,0.03163444639718805,0.29509711265563965,0.050282510429620744,0.0360657811164856,0.06845961064100264
eligible,strength,0.05,269,0.75,5364,569,0.1704745166959578,0.006945518453427065,0.0,0.015817223198594025,0.29509711265563965,0.050282510429620744,0.0360657811164856,0.06845961064100264
eligible,degree,0.1,537,0.25,5364,569,0.37785588752196836,0.12316344463971882,0.09314586994727592,0.16700351493848853,0.32258883118629456,0.10058936990052461,0.08044682499021291,0.12378633227199316
eligible,degree,0.1,537,0.5,5364,569,0.29349736379613356,0.041987697715289984,0.02460456942003515,0.05975395430579965,0.32258883118629456,0.10058936990052461,0.08044682499021291,0.12378633227199316
eligible,degree,0.1,537,0.75,5364,569,0.24253075571177504,0.015381370826010547,0.005272407732864675,0.026362038664323375,0.32258883118629456,0.10058936990052461,0.08044682499021291,0.12378633227199316
eligible,strength,0.1,537,0.25,5364,569,0.5711775043936731,0.12316344463971882,0.09314586994727592,0.16700351493848853,0.43488621711730957,0.10058936990052461,0.08044682499021291,0.12378633227199316
eligible,strength,0.1,537,0.5,5364,569,0.4956063268892794,0.041987697715289984,0.02460456942003515,0.05975395430579965,0.43488621711730957,0.10058936990052461,0.08044682499021291,0.12378633227199316
eligible,strength,0.1,537,0.75,5364,569,0.3233743409490334,0.015381370826010547,0.005272407732864675,0.026362038664323375,0.43488621711730957,0.10058936990052461,0.08044682499021291,0.12378633227199316
global,degree,0.01,64,0.25,6304,569,0.20738137082601055,0.010036906854130051,0.0035149384885764497,0.01937609841827764,0.15665040910243988,0.010243969827191904,0.005064575362484902,0.020365496817976236
global,degree,0.01,64,0.5,6304,569,0.16695957820738136,0.003377855887521969,0.0,0.008787346221441126,0.15665040910243988,0.010243969827191904,0.005064575362484902,0.020365496817976236
