municipio_ibge,municipio,uf,datas_sentinela,instrumentos,fornecedores,categorias,valor_inicial,presenca_sentinela
2613404,São José da Coroa Grande,PE,1,1,1,1,2718900.0,0.08333333333333333
2613602,São José do Egito,PE,2,4,3,2,1241473.4300000002,0.16666666666666666
2614600,Tabira,PE,1,1,1,1,60000.0,0.08333333333333333
2615003,Taquaritinga do Norte,PE,1,1,1,1,120000.0,0.08333333333333333
2615904,Tuparetama,PE,1,1,1,1,389000.0,0.08333333333333333
2616308,Vicência,PE,1,1,1,1,26800.0,0.08333333333333333
2700300,Arapiraca,AL,1,1,1,1,7790.0,0.08333333333333333
2704203,Limoeiro de Anadia,AL,3,4,4,2,2713868.0,0.25
2704302,Maceió,AL,7,38,36,3,9001133.12,0.5833333333333334
2706406,Pão de Açúcar,AL,2,2,2,1,56760.0,0.16666666666666666
2707503,Porto Real do Colégio,AL,1,1,1,1,1979800.0,0.08333333333333333
2800308,Aracaju,SE,9,38,22,3,73847276.89,0.75
2801306,Capela,SE,1,1,1,1,12094.0,0.08333333333333333
2802304,Frei Paulo,SE,2,5,5,1,14900.0,0.16666666666666666
2802908,Itabaiana,SE,3,4,4,2,1428729.69,0.25
2803005,Itabaianinha,SE,3,4,4,1,178260.0,0.25
2803203,Itaporanga d'Ajuda,SE,1,3,3,1,181240.0,0.08333333333333333
2803302,Japaratuba,SE,1,2,2,1,78000.0,0.08333333333333333
2803500,Lagarto,SE,2,2,2,1,101092.26999999999,0.16666666666666666
2804300,Muribeca,SE,1,1,1,1,6000.0,0.08333333333333333
2804508,Nossa Senhora da Glória,SE,7,14,11,1,2456452.84,0.5833333333333334
2804805,Nossa Senhora do Socorro,SE,3,7,5,1,1678674.52,0.25
2805604,Porto da Folha,SE,1,1,1,1,4200.0,0.08333333333333333
2805703,Propriá,SE,2,4,4,1,104100.0,0.16666666666666666
2806701,São Cristóvão,SE,3,5,5,1,345891.87,0.25
2807105,Simão Dias,SE,3,5,3,1,1505764.04,0.25
2807204,Siriri,SE,1,3,1,1,172188.0,0.08333333333333333
2904902,Cachoeira,BA,3,4,4,1,436890.0,0.25
2906808,Cansanção,BA,3,8,8,2,2357560.13,0.25
2908903,Coração de Maria,BA,2,2,2,1,2959950.0,0.16666666666666666
2910800,Feira de Santana,BA,4,19,19,2,2373091.9,0.3333333333333333
2911709,Guanambi,BA,1,3,3,1,48704.0,0.08333333333333333
2914703,Itaberaba,BA,2,3,3,2,47164.0,0.16666666666666666
2914802,Itabuna,BA,3,10,7,1,1241498.31,0.25
2915502,Itajuípe,BA,1,7,7,2,89597.82,0.08333333333333333
2916401,Itapetinga,BA,2,2,2,2,32756.0,0.16666666666666666
2917706,Jaguarari,BA,1,2,2,2,337794.0,0.08333333333333333
2918001,Jequié,BA,6,16,16,3,3824851.0100000002,0.5
2918407,Juazeiro,BA,2,4,4,2,241780.0,0.16666666666666666
2918753,Lagoa Real,BA,1,2,2,1,198650.0,0.08333333333333333
2919801,Macaúbas,BA,1,1,1,1,6000.0,0.08333333333333333
2921005,Mata de São João,BA,1,1,1,1,128400.0,0.08333333333333333
2921104,Medeiros Neto,BA,1,5,5,1,339900.0,0.08333333333333333
2924009,Paulo Afonso,BA,1,1,1,1,15000.0,0.08333333333333333
2925303,Porto Seguro,BA,1,1,1,1,22399.5,0.08333333333333333
2927408,Salvador,BA,3,3,3,1,53555242.7,0.25
2928000,Santaluz,BA,1,4,3,2,5244749.0,0.08333333333333333
2931202,Taperoá,BA,3,4,4,2,83548.82,0.25
2932903,Valença,BA,1,4,4,1,116727.81,0.08333333333333333
3100302,Abre Campo,MG,2,4,4,1,30826.45,0.16666666666666666
3104007,Araxá,MG,1,2,1,1,442.18,0.08333333333333333
3105608,Barbacena,MG,5,22,21,2,1212970.31,0.4166666666666667
3106200,Belo Horizonte,MG,11,47,39,3,26308213.57,0.9166666666666666
3107307,Bocaiúva,MG,3,4,4,2,11461.55,0.25
3107406,Bom Despacho,MG,1,1,1,1,2779.92,0.08333333333333333
3109402,Buritizeiro,MG,1,1,1,1,1200.0,0.08333333333333333
3110004,Caeté,MG,2,7,6,2,26761.38,0.16666666666666666
3110103,Caiana,MG,1,1,1,1,42848.04,0.08333333333333333
3111200,Campo Belo,MG,1,1,1,1,30001.08,0.08333333333333333
3113206,Carandaí,MG,2,2,2,2,57000.0,0.16666666666666666
3113305,Carangola,MG,1,1,1,1,28580.0,0.08333333333333333
3124708,Estrela do Indaiá,MG,1,5,4,1,1131100.0,0.08333333333333333
3126703,Francisco Sá,MG,1,1,1,1,11520.0,0.08333333333333333
3127701,Governador Valadares,MG,2,5,5,2,41982.4,0.16666666666666666
3128006,Guanhães,MG,1,1,1,1,14280.0,0.08333333333333333
3128402,Guarani,MG,1,1,1,1,13532.0,0.08333333333333333
3131703,Itabira,MG,3,10,9,2,556525.0,0.25
3131901,Itabirito,MG,1,1,1,1,14000.0,0.08333333333333333
3132701,Itambacuri,MG,1,1,1,1,6000.0,0.08333333333333333
3133709,Itatiaiuçu,MG,1,3,3,1,18840.44,0.08333333333333333
3133808,Itaúna,MG,4,6,6,2,2736885.0004,0.3333333333333333
3134202,Ituiutaba,MG,3,4,4,2,707814.39,0.25
3135076,Jampruca,MG,1,1,1,1,32040.0,0.08333333333333333
3135100,Janaúba,MG,1,1,1,1,43995.0,0.08333333333333333
3136207,João Monlevade,MG,3,9,9,1,572405.4,0.25
3137205,Lagoa da Prata,MG,1,1,1,1,546.0,0.08333333333333333
3137502,Lagoa Formosa,MG,1,7,7,2,499412.88,0.08333333333333333
3137809,Lambari,MG,1,1,1,1,70801.0,0.08333333333333333
3139409,Manhuaçu,MG,2,2,2,2,100520.0,0.16666666666666666
3139607,Mantena,MG,1,2,2,1,6900.0,0.08333333333333333
3140001,Mariana,MG,1,2,2,2,269440.0,0.08333333333333333
3143104,Monte Carmelo,MG,10,48,32,2,57360.2,0.8333333333333334
3143906,Muriaé,MG,2,3,3,2,322713.15,0.16666666666666666
3145604,Oliveira,MG,3,4,4,1,2076259.82,0.25
3146008,Ouro Fino,MG,1,3,3,2,106777.0,0.08333333333333333
3147105,Pará de Minas,MG,1,1,1,1,12515.51,0.08333333333333333
3147303,Paraisópolis,MG,1,1,1,1,2733.92,0.08333333333333333
3147907,Passos,MG,4,11,10,2,447604.45,0.3333333333333333
3148103,Patrocínio,MG,7,21,12,2,292228.36,0.5833333333333334
3151206,Pirapora,MG,1,1,1,1,54498.0,0.08333333333333333
3151503,Piumhi,MG,1,1,1,1,395000.0,0.08333333333333333
3151800,Poços de Caldas,MG,4,7,7,2,121662.6,0.3333333333333333
3152105,Ponte Nova,MG,1,1,1,1,1284511.8,0.08333333333333333
3152501,Pouso Alegre,MG,1,1,1,1,1140.0,0.08333333333333333
3154705,Ribeirão Vermelho,MG,1,1,1,1,149500.0,0.08333333333333333
3156908,Sacramento,MG,1,2,2,1,55556.0,0.08333333333333333
3163706,São Lourenço,MG,2,2,2,2,2912119.91,0.16666666666666666
3167202,Sete Lagoas,MG,2,2,2,2,1543939.16,0.16666666666666666
3167806,Soledade de Minas,MG,1,1,1,1,20452.45,0.08333333333333333
3169356,Três Marias,MG,1,3,3,2,19438.18,0.08333333333333333
3169406,Três Pontas,MG,2,6,6,1,263173.25,0.16666666666666666
3169901,Ubá,MG,1,1,1,1,264.8,0.08333333333333333
3170206,Uberlândia,MG,8,30,25,2,5296996.78,0.6666666666666666
3170404,Unaí,MG,1,1,1,1,8500.0,0.08333333333333333
3170529,Urucuia,MG,1,1,1,1,1123.5,0.08333333333333333
3170701,Varginha,MG,1,2,1,1,389.0,0.08333333333333333
3171303,Viçosa,MG,3,3,3,1,234999.5,0.25
3200201,Alegre,ES,1,1,1,1,3600.0,0.08333333333333333
3200300,Alfredo Chaves,ES,2,4,4,2,43212.59,0.16666666666666666
3200409,Anchieta,ES,1,1,1,1,61083.36,0.08333333333333333
3200607,Aracruz,ES,9,15,15,3,804262.1000000001,0.75
3200706,Atílio Vivácqua,ES,1,1,1,1,20001.1,0.08333333333333333
3200805,Baixo Guandu,ES,4,8,8,3,1576098.658,0.3333333333333333
3200904,Barra de São Francisco,ES,1,7,4,2,7855904.41,0.08333333333333333
3201001,Boa Esperança,ES,2,26,25,3,2028021.1689,0.16666666666666666
3201308,Cariacica,ES,1,1,1,1,6974.0,0.08333333333333333
3201407,Castelo,ES,1,1,1,1,6000.0,0.08333333333333333
3201506,Colatina,ES,1,2,2,1,62360.0,0.08333333333333333
3201704,Conceição do Castelo,ES,1,2,1,1,3145635.81,0.08333333333333333
3201902,Domingos Martins,ES,1,1,1,1,7100.0,0.08333333333333333
3202256,Governador Lindenberg,ES,1,1,1,1,12186.48,0.08333333333333333
3202306,Guaçuí,ES,1,1,1,1,825065.0,0.08333333333333333
3202405,Guarapari,ES,1,2,2,1,155800.0,0.08333333333333333
3202454,Ibatiba,ES,1,2,1,1,5306000.0,0.08333333333333333
3202603,Iconha,ES,1,2,2,1,21600.0,0.08333333333333333
3202652,Irupi,ES,1,1,1,1,2700.0,0.08333333333333333
3202801,Itapemirim,ES,1,2,2,1,150500.0,0.08333333333333333
3203007,Iúna,ES,2,8,8,2,209215.17,0.16666666666666666
3203056,Jaguaré,ES,4,6,6,3,4537384.6985,0.3333333333333333
3203205,Linhares,ES,3,7,7,2,238087.5,0.25
3203403,Mimoso do Sul,ES,2,2,2,1,417760.64,0.16666666666666666
3203502,Montanha,ES,1,1,1,1,50004.99,0.08333333333333333
3203700,Muniz Freire,ES,2,4,3,1,1656047.16,0.16666666666666666
3203908,Nova Venécia,ES,3,3,3,2,44421.0,0.25
3204351,Rio Bananal,ES,2,2,2,1,122409.96,0.16666666666666666
3204559,Santa Maria de Jetibá,ES,5,7,6,1,173516.8,0.4166666666666667
3204708,São Gabriel da Palha,ES,2,2,2,1,431332.1,0.16666666666666666
3204906,São Mateus,ES,3,5,5,2,6254352.04,0.25
3205002,Serra,ES,1,1,1,1,118509.36,0.08333333333333333
