municipio_ibge,categoria,ano_assinatura,valor_total,n_fornecedores,hhi,hhi_10000,cr1,cr4,n_efetivo,entropia,entropia_normalizada,exposicao_degree,exposicao_strength
1100023,Compras,2025,47326.35,2.0,0.6280876863394875,6280.876863394876,0.753068850650853,1.0,1.5921343814715232,0.5589384843278029,0.8063777795017149,0.4003839590443686,0.6710982344396812
1100023,Obras,2025,280000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5104166666666666,0.3541666666666667
1100114,Compras,2025,263990.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.4003839590443686,0.9129692832764505
1100114,Obras,2025,149577.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5104166666666666,0.1875
1100114,Serviços,2025,74499.96,4.0,0.8841925444417368,8841.925444417368,0.9395972830052526,0.9999999999999999,1.1309753811952599,0.2907497113570213,0.2097315833573361,0.48636968085106386,0.7060286455330154
1100122,Compras,2025,6419.47,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.4003839590443686,0.4351535836177474
1100130,Serviços,2025,4499.95,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.2214095744680851
1100205,Serviços,2025,563251.0,2.0,0.9350388207391542,9350.388207391543,0.9663897622907016,1.0,1.0694743125312096,0.1470759783263764,0.2121857845653559,0.4863696808510638,0.9165546121741499
1100304,Compras,2025,1106388.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.4003839590443686,0.9765358361774744
1100809,Compras,2025,165278.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.4003839590443686,0.8801194539249146
1100924,Compras,2025,34399.99,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.4003839590443686,0.7077645051194539
1200500,Compras,2025,5252.7,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.4003839590443686,0.40017064846416384
1301852,Serviços,2025,524.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.03856382978723404
1400100,Serviços,2025,878965.0,3.0,0.5114549388666355,5114.549388666355,0.6683997656334438,0.9999999999999999,1.955206459079194,0.8349187486981635,0.7599757961112631,0.4863696808510638,0.9040938698936406
1500107,Compras,2025,1704000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.4003839590443686,0.9859215017064846
1500602,Compras,2025,2955160.77,5.0,0.49404057178638605,4940.40571786386,0.656478665964424,0.997292871480559,2.024125258344939,0.9334898245985276,0.5800098390789897,0.4003839590443686,0.9689872510085399
1501303,Compras,2024,427939.7,14.0,0.33149349567970243,3314.9349567970244,0.465899751764092,0.9674638973668487,3.0166504412087343,1.3045684911676867,0.4943312434057188,0.5026455026455027,0.8047474344197924
1501303,Compras,2025,1610724.4499999997,17.0,0.43496757689914467,4349.675768991447,0.6105327326471018,0.9332817913082528,2.2990219342989526,1.2012359248813356,0.4239835758932176,0.41343024521059746,0.9272509162563318
1501303,Serviços,2025,5241790.9,3.0,0.930957272794062,9309.57272794062,0.9642806812457932,1.0,1.0741631535878349,0.1627155447607051,0.14811007162314874,0.48636968085106386,0.9858717659511727
1501402,Compras,2025,3477954.7299999995,13.0,0.29441678260258597,2944.1678260258595,0.45011195415990946,0.9558103506424882,3.3965455065441525,1.4302117469283915,0.5575984347479807,0.4183359487742225,0.9614445489959382
1501402,Obras,2025,183670.91,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5104166666666666,0.2708333333333333
1501402,Serviços,2025,7000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.9823803191489362,0.3025265957446808
1501451,Compras,2025,272895.7,15.0,0.4190423836741565,4190.4238367415655,0.6304606485188297,0.866275906875777,2.3863934507817968,1.4353413377165456,0.5300275959184005,0.4376405319905684,0.7671484129853603
1501451,Serviços,2024,338400.0,2.0,0.6267793370554802,6267.793370554802,0.75177304964539,1.0,1.5954578284246848,0.5603788540093131,0.8084557936982765,0.5,0.8246292714377821
1501451,Serviços,2025,69425.15,5.0,0.32677161122843706,3267.716112284371,0.4609280642533722,0.9999978393996989,3.060241360137394,1.225669037575913,0.7615509912539723,0.4863696808510639,0.4703653729109543
1501451,Serviços de Saúde,2025,69042.6,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5,0.36213991769547327
1502400,Compras,2025,82497.79000000001,2.0,0.5041348885522814,5041.348885522814,0.5454691574162168,1.0,1.9835961023679376,0.6890065739704807,0.9940263674071073,0.4003839590443685,0.7419721332284799
1502400,Serviços,2025,18000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.4401595744680851
1502905,Obras,2026,3301933.94,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,1.0,1.0
