id_compra,n_instrumentos,n_fornecedores,valor_inicial
01650166000116-1-000108/2025,1,1,370.0
01650166000116-1-000109/2025,2,2,9475.0
01650166000116-1-000114/2024,1,1,2824.0
01671721000196-1-000006/2025,2,1,14694.0
01705182000169-1-000001/2025,1,1,132000.0
01705182000169-1-000002/2025,1,1,21480.0
01743462000161-1-000021/2025,1,1,417600.0
01803618000152-1-000019/2025,14,2,195299.5
01814099000128-1-000003/2025,1,1,52572.0
01815216000178-1-000093/2025,2,2,110820.0
01815216000178-1-000156/2024,1,1,2529999.99
01815216000178-1-000172/2024,1,1,86980.5
01815216000178-1-000175/2024,1,1,651812.28
01815216000178-1-000188/2025,1,1,114940.0
01815216000178-1-000190/2024,2,2,69977.85
01834835000100-1-000005/2025,2,1,1200000.0
01834835000100-1-000006/2025,1,1,300000.0
01834835000100-1-000007/2025,1,1,430000.0
01834835000100-1-000008/2025,1,1,600000.0
01834835000100-1-000009/2025,1,1,500000.0
01834835000100-1-000011/2025,1,1,450000.0
01834835000100-1-000012/2025,1,1,30000.0
01834835000100-1-000013/2025,1,1,150000.0
01834835000100-1-000014/2025,1,1,35000.0
01834835000100-1-000015/2025,1,1,400000.0
01834835000100-1-000016/2025,1,1,590000.0
01834835000100-1-000017/2025,1,1,350000.0
01834835000100-1-000018/2025,1,1,70000.0
01834835000100-1-000019/2025,1,1,35000.0
01834835000100-1-000020/2025,1,1,200000.0
01834835000100-1-000021/2025,1,1,200000.0
01834835000100-1-000022/2025,1,1,300000.0
01834835000100-1-000023/2025,1,1,500000.0
01834835000100-1-000024/2025,1,1,250000.0
01834835000100-1-000025/2025,1,1,90000.0
01834835000100-1-000026/2025,1,1,230000.0
01834835000100-1-000027/2025,1,1,50000.0
01834835000100-1-000028/2025,1,1,350000.0
01834835000100-1-000029/2025,1,1,220000.0
01842685000186-1-000016/2025,1,1,60200.0
01933030000113-1-000043/2025,1,1,1106388.0
01977854000195-1-000009/2025,1,1,660.0
01977854000195-1-000010/2025,1,1,1420.0
01977854000195-1-000011/2025,1,1,2000.0
01977854000195-1-000012/2025,1,1,1325.0
01977854000195-1-000013/2025,1,1,240.0
01977854000195-1-000014/2025,1,1,880.0
01977854000195-1-000015/2025,1,1,430.0
01977854000195-1-000016/2025,1,1,350.0
02056711000103-1-000002/2024,2,1,947.8599999999999
02056711000103-1-000042/2025,4,1,1030801.41
02056711000103-1-000068/2025,2,1,16170.0
02056711000103-1-000081/2024,1,1,5095.6
02073207000111-1-000004/2025,1,1,187200.0
02236374000136-1-000002/2025,1,1,1200.0
02246138000109-1-000024/2025,1,1,18539.76
02264166000140-1-000151/2025,1,1,48000.0
02316487000141-1-000042/2024,2,2,39505.7
02316487000141-1-000043/2024,1,1,6097.0
02316487000141-1-000071/2024,1,1,11970.0
02316487000141-1-000078/2024,1,1,47000.0
02318396000145-1-000002/2025,1,1,42000.0
02318396000145-1-000035/2025,1,1,22200.0
02318396000145-1-000047/2024,1,1,258513.15
02318953000128-1-000001/2024,1,1,8652.72
02318953000128-1-000002/2024,1,1,7650.0
02318953000128-1-000003/2024,1,1,17880.0
02362976000130-1-000004/2025,1,1,15360.0
02362976000130-1-000007/2025,7,7,40000.0
02362976000130-1-000008/2025,1,1,85000.0
02371916000183-1-000020/2026,1,1,480061.15
02371916000183-1-000021/2026,1,1,562746.0
02371916000183-1-000022/2026,1,1,853337.4
02371916000183-1-000023/2026,1,1,473662.5
02482295000105-1-000018/2024,1,1,313800.0
02524947000127-1-000017/2025,1,1,9275.0
02533645000115-1-000001/2025,1,1,7790.0
02555079000142-1-000004/2025,1,1,141600.0
02555079000142-1-000006/2025,1,1,335291.0
02555079000142-1-000007/2025,1,1,816700.0
02555079000142-1-000008/2025,1,1,42000.0
02555079000142-1-000010/2025,1,1,21651211.48
02555079000142-1-000013/2025,1,1,893117.64
02555079000142-1-000014/2025,1,1,191369.0
02555079000142-1-000015/2025,1,1,10923355.44
02581343000112-1-000003/2025,1,1,1680.0
02581343000112-1-000004/2025,1,1,1895.0
02581343000112-1-000005/2025,1,1,630.0
02581343000112-1-000007/2025,1,1,1188.0
02581343000112-1-000012/2025,2,2,1143.6
02581343000112-1-000035/2025,1,1,6650.0
02694244000147-1-000002/2025,1,1,167400.0
02701029000126-1-000004/2025,1,1,33200.0
02701029000126-1-000023/2025,1,1,14250.0
02701029000126-1-000024/2025,2,2,645.0699999999999
02715882000105-1-000001/2025,3,2,3801.996
02715882000105-1-000036/2025,1,1,163.222
02715882000105-1-000049/2025,56,19,131781.561
02715882000105-1-000050/2024,94,23,238288.4274
02715882000105-1-000092/2025,1,1,433.44
02760004000101-1-000010/2025,1,1,1422.0
02760004000101-1-000020/2024,1,1,144000.0
02762633000162-1-000009/2025,1,1,6750.0
02762633000162-1-000031/2024,1,1,136800.0
02762633000162-1-000031/2025,1,1,2100.0
02762633000162-1-000039/2024,2,2,336293.55
02762633000162-1-000041/2024,2,2,340384.7
02762633000162-1-000045/2025,1,1,55131.5
02762633000162-1-000050/2024,1,1,123980.0
02762633000162-1-000054/2024,1,1,240058.56
02888096000100-1-000004/2025,1,1,3100.0
02888096000100-1-000005/2025,1,1,3800.0
02920909000193-1-000024/2025,1,1,15560.5
03061303000102-1-000017/2025,1,1,2075899.92
03061303000102-1-000021/2025,1,1,17300.0
03061303000102-1-000022/2025,3,3,872323.2
03061303000102-1-000055/2025,2,2,73184.9
03061303000102-1-000056/2025,1,1,39500.0
03061303000102-1-000062/2025,1,1,54000.0
03133862000180-1-000006/2025,1,1,11520.0
03148801000197-1-000011/2025,2,2,5715.41
03155900000104-1-000085/2025,3,3,8747.0
03155926000144-1-000120/2024,1,1,30721.6
03155934000190-1-000061/2024,4,2,4619.5
03155934000190-1-000107/2024,1,1,1497.1
03167814000103-1-000001/2025,2,2,47620.0
03167814000103-1-000002/2025,1,1,23800.0
03183869000107-1-000011/2025,1,1,59734.4
03184041000173-1-000110/2025,7,7,1062689.53
03184041000173-1-000134/2025,1,1,563999.16
03222337000131-1-000003/2024,4,4,300921.08
03222337000131-1-000007/2025,95,22,1014206.6974
03222337000131-1-000015/2025,2,2,8440.0
03230443000167-1-000006/2025,1,1,27109.32
03230443000167-1-000012/2025,1,1,54813.12
03230443000167-1-000030/2025,1,1,96000.0
03264792000108-1-000028/2025,1,1,57600.0
03269695000108-1-000004/2024,66,22,163237.454
03269695000108-1-000007/2024,1,1,2070.0
03269695000108-1-000019/2024,1,1,234.0
03269695000108-1-000021/2024,1,1,157.68
03269695000108-1-000029/2024,3,2,1550.0
03269695000108-1-000030/2024,7,4,86554.08
03269695000108-1-000033/2024,30,13,43675.226
03269695000108-1-000034/2024,2,1,33000.0
03269695000108-1-000035/2024,2,2,1787.4
03269695000108-1-000037/2025,34,17,137669.177
03330461000110-1-000025/2023,1,1,878.36
03330461000110-1-000033/2023,1,1,19694.65
03331692000149-1-000022/2025,1,1,28000.0
03331692000149-1-000023/2025,1,1,10364.0
03501491000142-1-000031/2025,2,1,425000.0
03532661000156-1-000075/2025,3,3,76696.0
03532661000156-1-000112/2025,1,1,18520299.84
03587269000104-1-000022/2025,1,1,106373.17
03587269000104-1-000043/2025,1,1,30900.0
03587269000104-1-000051/2025,1,1,15500.0
03802344000102-1-000004/2024,1,1,132020.0
03852808000195-1-000001/2025,1,1,31362.72
03861196000105-1-000018/2025,1,1,27630.0
03918310000188-1-000107/2025,1,1,55461.0
03918310000188-1-000131/2025,1,1,30000.0
04092672000125-1-000070/2024,1,1,6419.47
04104816000116-1-000135/2025,1,1,11686.35
04104816000116-1-000176/2025,1,1,280000.0
04104816000116-1-000270/2025,1,1,35640.0
