municipio_ibge,categoria,ano_assinatura,valor_total,n_fornecedores,hhi,hhi_10000,cr1,cr4,n_efetivo,entropia,entropia_normalizada,exposicao_degree,exposicao_strength,n_instrumentos,datas_sentinela,interpretavel_piloto
1100023,Compras,2025,47326.35,2.0,0.6280876863394875,6280.876863394876,0.753068850650853,1.0,1.5921343814715232,0.5589384843278029,0.8063777795017149,0.40946103140752227,0.6716176580223905,2,2,False
1100023,Obras,2025,280000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5104166666666666,0.3541666666666667,1,1,False
1100114,Compras,2025,263990.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.9197363319115937,1,1,False
1100114,Obras,2025,149577.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5104166666666666,0.1875,1,1,False
1100114,Serviços,2025,74499.96,4.0,0.8841925444417368,8841.925444417368,0.9395972830052526,0.9999999999999999,1.1309753811952599,0.2907497113570213,0.2097315833573361,0.4879340788699234,0.7249301587294033,4,3,False
1100122,Compras,2025,6419.47,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.4156649864288484,1,1,False
1100130,Serviços,2025,4499.95,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.22307239552678046,1,1,False
1100205,Serviços,2025,563251.0,2.0,0.9350388207391542,9350.388207391543,0.9663897622907016,1.0,1.0694743125312096,0.1470759783263764,0.2121857845653559,0.48793407886992346,0.9227044595305123,2,1,False
1100304,Compras,2025,1106388.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.9782861574253586,1,1,False
1100809,Compras,2025,165278.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.8887165568049632,1,1,False
1100924,Compras,2025,34399.99,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.7142303218301668,1,1,False
1200500,Compras,2025,5252.7,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.37727801473439315,1,1,False
1301852,Serviços,2025,524.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.04120070629782225,1,1,False
1302900,Serviços,2025,15000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.41965862271924664,1,1,False
1400100,Serviços,2025,878965.0,3.0,0.5114549388666355,5114.549388666355,0.6683997656334438,0.9999999999999999,1.955206459079194,0.8349187486981635,0.7599757961112631,0.48793407886992346,0.9126089483749826,3,3,False
1500107,Compras,2025,1704000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.986816595579682,1,1,False
1500602,Compras,2025,2955160.77,5.0,0.49404057178638605,4940.40571786386,0.656478665964424,0.997292871480559,2.024125258344939,0.9334898245985276,0.5800098390789897,0.40946103140752227,0.9710279983165139,5,4,True
1501303,Compras,2024,427939.7,14.0,0.33149349567970243,3314.9349567970244,0.465899751764092,0.9674638973668487,3.0166504412087343,1.3045684911676867,0.4943312434057188,0.5026455026455027,0.8047474344197924,91,2,True
