categoria,ano_assinatura,fornecedor_id_limpo,degree,strength,n_compradores_categoria,reach,pct_degree,pct_strength
Alienação de bens móveis/imóveis,2025,26574991000100,1,10923355.44,1,1.0,1.0,1.0
Cessão,2025,01144081000166,1,9120.0,7,0.14285714285714285,0.5131578947368421,0.4473684210526316
Cessão,2025,01226927001260,1,13850.0,7,0.14285714285714285,0.5131578947368421,0.5263157894736842
Cessão,2025,02819759000126,1,188842.0,7,0.14285714285714285,0.5131578947368421,0.868421052631579
Cessão,2025,03858154000107,1,4850.0,7,0.14285714285714285,0.5131578947368421,0.34210526315789475
Cessão,2025,04292445000143,1,177499.92,7,0.14285714285714285,0.5131578947368421,0.8421052631578947
Cessão,2025,05269798000195,1,7200.0,7,0.14285714285714285,0.5131578947368421,0.42105263157894735
Cessão,2025,05997973000160,1,30000.0,7,0.14285714285714285,0.5131578947368421,0.5789473684210527
Cessão,2025,08532353000144,1,252000.0,7,0.14285714285714285,0.5131578947368421,0.9210526315789473
Cessão,2025,11696367000108,1,6457.5,7,0.14285714285714285,0.5131578947368421,0.39473684210526316
Cessão,2025,12661958000102,1,281900.0,7,0.14285714285714285,0.5131578947368421,0.9473684210526315
Cessão,2025,13091467000136,1,114000.0,7,0.14285714285714285,0.5131578947368421,0.7631578947368421
Cessão,2025,13111147000109,1,48750.0,7,0.14285714285714285,0.5131578947368421,0.6842105263157895
Cessão,2025,16451403000197,1,20000.0,7,0.14285714285714285,0.5131578947368421,0.5526315789473685
Cessão,2025,17873426000152,1,1588.0,7,0.14285714285714285,0.5131578947368421,0.2631578947368421
Cessão,2025,19822396000180,1,1547.0,7,0.14285714285714285,0.5131578947368421,0.23684210526315788
Cessão,2025,20214712000110,1,5220.0,7,0.14285714285714285,0.5131578947368421,0.3684210526315789
Cessão,2025,23189908000190,1,1000.0,7,0.14285714285714285,0.5131578947368421,0.15789473684210525
Cessão,2025,24446768000151,1,12496.23,7,0.14285714285714285,0.5131578947368421,0.5
Cessão,2025,26857705000113,1,300.0,7,0.14285714285714285,0.5131578947368421,0.05263157894736842
Cessão,2025,28126445000131,1,12000.0,7,0.14285714285714285,0.5131578947368421,0.47368421052631576
Cessão,2025,28221264000194,1,30003.95,7,0.14285714285714285,0.5131578947368421,0.6052631578947368
Cessão,2025,28761536000149,1,143500.0,7,0.14285714285714285,0.5131578947368421,0.8157894736842105
Cessão,2025,29842046000130,1,366756.85,7,0.14285714285714285,0.5131578947368421,0.9736842105263158
Cessão,2025,31372346000144,1,37800.0,7,0.14285714285714285,0.5131578947368421,0.6578947368421053
Cessão,2025,31488959000141,1,36000.0,7,0.14285714285714285,0.5131578947368421,0.631578947368421
Cessão,2025,32965361000169,1,202032.0,7,0.14285714285714285,0.5131578947368421,0.8947368421052632
Cessão,2025,34622939000100,1,1300000.0,7,0.14285714285714285,0.5131578947368421,1.0
Cessão,2025,35963608000104,1,50040.0,7,0.14285714285714285,0.5131578947368421,0.7105263157894737
Cessão,2025,36938049000137,1,1800.0,7,0.14285714285714285,0.5131578947368421,0.2894736842105263
Cessão,2025,39896348000144,1,270.0,7,0.14285714285714285,0.5131578947368421,0.02631578947368421
Cessão,2025,40369640000198,1,129600.0,7,0.14285714285714285,0.5131578947368421,0.7894736842105263
Cessão,2025,50809635000102,1,3000.0,7,0.14285714285714285,0.5131578947368421,0.3157894736842105
Cessão,2025,53073552000196,1,1479.58,7,0.14285714285714285,0.5131578947368421,0.21052631578947367
Cessão,2025,53078838000164,1,668.32,7,0.14285714285714285,0.5131578947368421,0.10526315789473684
Cessão,2025,53260105000146,1,478.0,7,0.14285714285714285,0.5131578947368421,0.07894736842105263
Cessão,2025,59025118000117,1,1305.0,7,0.14285714285714285,0.5131578947368421,0.18421052631578946
Cessão,2025,60068516000108,1,92000.0,7,0.14285714285714285,0.5131578947368421,0.7368421052631579
Cessão,2025,67745232000140,1,699.93,7,0.14285714285714285,0.5131578947368421,0.13157894736842105
Compras,2023,04307650002502,1,445.6,1,1.0,0.5357142857142857,0.07142857142857142
Compras,2023,09035549000196,1,11471.8,1,1.0,0.5357142857142857,0.7142857142857143
Compras,2023,09538374000130,1,23598.59,1,1.0,0.5357142857142857,0.7857142857142857
Compras,2023,11994394000167,1,51813.0,1,1.0,0.5357142857142857,0.8571428571428571
Compras,2023,33618396000194,1,5387.16,1,1.0,0.5357142857142857,0.5714285714285714
Compras,2023,40091160000108,1,1254.0,1,1.0,0.5357142857142857,0.42857142857142855
Compras,2023,43295831000140,1,550.8,1,1.0,0.5357142857142857,0.14285714285714285
Compras,2023,44650853000144,1,627.3,1,1.0,0.5357142857142857,0.21428571428571427
Compras,2023,44734671002286,1,1265845.0,1,1.0,0.5357142857142857,1.0
Compras,2023,45403977000198,1,3335.5,1,1.0,0.5357142857142857,0.5
Compras,2023,46014745000100,1,1087800.0,1,1.0,0.5357142857142857,0.9285714285714286
Compras,2023,46754870000157,1,888.8,1,1.0,0.5357142857142857,0.35714285714285715
Compras,2023,50735093000170,1,6023.4,1,1.0,0.5357142857142857,0.6428571428571429
Compras,2023,52134461000150,1,657.6,1,1.0,0.5357142857142857,0.2857142857142857
Compras,2024,00498393000105,1,1020.0,29,0.034482758620689655,0.5026455026455027,0.12169312169312169
Compras,2024,00904728001209,1,39200.0,29,0.034482758620689655,0.5026455026455027,0.7248677248677249
Compras,2024,01571702000198,1,4040.0,29,0.034482758620689655,0.5026455026455027,0.32275132275132273
Compras,2024,01652665000142,1,27841.0,29,0.034482758620689655,0.5026455026455027,0.6878306878306878
Compras,2024,01772798000233,1,8130.0,29,0.034482758620689655,0.5026455026455027,0.4656084656084656
Compras,2024,01854654000145,1,54762.0,29,0.034482758620689655,0.5026455026455027,0.7619047619047619
Compras,2024,02248312000144,1,2117.5,29,0.034482758620689655,0.5026455026455027,0.2328042328042328
Compras,2024,02279922000105,1,1265.0,29,0.034482758620689655,0.5026455026455027,0.15873015873015872
Compras,2024,02391971000216,1,11300.0,29,0.034482758620689655,0.5026455026455027,0.5608465608465608
Compras,2024,02525328000157,1,206.25,29,0.034482758620689655,0.5026455026455027,0.026455026455026454
Compras,2024,02814497000700,1,1819800.0,29,0.034482758620689655,0.5026455026455027,0.9682539682539683
Compras,2024,02836739000163,1,4725.0,29,0.034482758620689655,0.5026455026455027,0.37037037037037035
Compras,2024,03051866000110,1,1856.54,29,0.034482758620689655,0.5026455026455027,0.20634920634920634
Compras,2024,03062090000133,1,22000.0,29,0.034482758620689655,0.5026455026455027,0.6349206349206349
Compras,2024,03485572000104,1,160300.0,29,0.034482758620689655,0.5026455026455027,0.8465608465608465
Compras,2024,03500185000191,1,59559.0,29,0.034482758620689655,0.5026455026455027,0.7724867724867724
