variaveis,rho,p,n
hhi_vs_log_despesa,0.18597539035433913,9.088756965216468e-06,562
hhi_vs_log_populacao,0.20272600575914126,1.2620687916996417e-06,562
hhi_vs_procurement_intensity_parcial,0.025458119442797397,0.5469892409094763,562
exposicao_strength_vs_log_despesa,0.11177155413706218,0.007998526445896778,562
exposicao_strength_vs_procurement_intensity_parcial,0.5568671821869966,4.3664847249683013e-47,562
