criterio,delta_hhi_mediana_vs_3_5,delta_hhi_normalizado_mediana_vs_3_5,delta_neff_mediana_vs_3_5,delta_cr1_mediana_vs_3_5,delta_cr4_mediana_vs_3_5
nforn>=3_ninstr>=5,0.0,0.0,0.0,0.0,0.0
nforn>=5_ninstr>=10,-0.05909815278508457,-0.027892538775524056,1.3958963384429852,-0.07291741520397949,-0.13690265074796404
nforn>=5_ninstr>=20,-0.1098590226084529,-0.05092155813456206,3.6274435516460013,-0.115498292750356,-0.2456820625852293
nforn>=10_ninstr>=20,-0.11035242651006033,-0.051432583604084064,3.6580025944603944,-0.11562852530836149,-0.2477953219829241
