criterio,min_fornecedores,min_instrumentos,n_compradores,portfolio_hhi_media,portfolio_hhi_mediana,portfolio_hhi_p25,portfolio_hhi_p75,portfolio_hhi_normalizado_mediana,portfolio_hhi_normalizado_p25,portfolio_hhi_normalizado_p75,count_hhi_mediana,count_hhi_normalizado_mediana,portfolio_neff_mediana,portfolio_cr1_mediana,portfolio_cr4_mediana,spearman_hhi_count,p_hhi_count,spearman_hhi_exposure_strength,p_hhi_exposure_strength,spearman_hhi_norm_exposure_strength,p_hhi_norm_exposure_strength,hhi_maior_count_n,hhi_maior_count_pct,hhi_norm_maior_count_norm_pct,hhi_baixo_exposicao_alta_n,hhi_baixo_exposicao_alta_pct,hhi_alto_exposicao_alta_n
nforn>=3_ninstr>=5,3,5,569,0.30048968897910033,0.237419986456335,0.1371618523922532,0.4067663178442704,0.14732398497701138,0.0724115449793547,0.3178087441991852,0.0946930280957336,0.007325664765111037,4.211945316507356,0.3822952117701211,0.8360546274646532,0.5683573524115657,5.434597285726467e-50,0.2088645076035055,4.987720520595167e-07,0.3225504098297392,3.047972085696409e-15,556,97.71528998242532,97.71528998242532,72,12.65377855887522,71
nforn>=5_ninstr>=10,5,10,362,0.24252621561746784,0.17832183367125043,0.09446634695172525,0.32207913807907496,0.11943144620148732,0.06601514431390608,0.2672159048788588,0.0531097902341416,0.010313503021195262,5.607841654950342,0.3093777965661416,0.6991519767166892,0.48743688907987226,5.312042174585435e-23,0.17326408609987018,0.0009321488220502579,0.25371526779316267,1.004148513574376e-06,353,97.51381215469614,97.51381215469614,54,14.917127071823206,37
nforn>=5_ninstr>=20,5,20,241,0.19977039681417988,0.1275609638478821,0.0816087191322729,0.2488938652861671,0.09640242684244932,0.056556011914274534,0.21443765030122405,0.0399999999999999,0.012499999999999942,7.839388868153358,0.2667969190197651,0.5903725648794239,0.3367535044203866,8.417116705991254e-08,0.2075606117760022,0.0011918617563028125,0.24471468742498548,0.00012416388961564162,236,97.9253112033195,97.9253112033195,35,14.522821576763487,26
nforn>=10_ninstr>=20,10,20,240,0.19931053730380613,0.12706755994627467,0.08124737746282683,0.24559646585976713,0.09589140137292732,0.056422492668214225,0.2147956796534191,0.0399652777777777,0.012458911614316986,7.869947910967751,0.2666666864617596,0.5882593054817291,0.332408329935826,1.3385864713087927e-07,0.20519366655671104,0.0013918787075610898,0.24268042847966106,0.00014653132310135138,236,98.33333333333333,98.33333333333333,34,14.166666666666666,26
