modelo,tipo,termo,coef,erro_padrao,estatistica,p,ci95_inf,ci95_sup,ame_continuo
O1_HHI_norm_externo,OLS_cluster,log_populacao,0.018298979832845216,0.007047175511130104,2.59664028573495,0.009414045461400077,0.004486769638297566,0.032111190027392864,
O1_HHI_norm_externo,OLS_cluster,log_despesa_pc,-0.007859383466772427,0.03940766015066355,-0.19943796299309313,0.8419201667351164,-0.08509697807706726,0.06937821114352241,
O2_HHI_norm_regiao,OLS_cluster,log_populacao,0.01546069170403175,0.0077064547967732495,2.0062002712979328,0.044834884949186124,0.0003563178538702385,0.030565065554193263,
O2_HHI_norm_regiao,OLS_cluster,log_despesa_pc,-0.013042853567686948,0.04152892463380305,-0.31406673018136705,0.7534703574395589,-0.09443805016661917,0.06835234303124528,
O2_HHI_norm_regiao,OLS_cluster,log_n_fornecedores,-0.07954960447598135,0.012818197480003174,-6.205989929557681,5.435365894630416e-10,-0.10467280988350965,-0.05442639906845305,
O2_HHI_norm_regiao,OLS_cluster,log_instr_por_forn,0.018744050933184295,0.02442806815723114,0.7673161386540395,0.4428935753334995,-0.02913408286687846,0.06662218473324705,
F1_HHI_norm_externo,fractional_logit_cluster,log_populacao,0.09931341385687012,0.03718911069023194,2.6704971432122924,0.007573901606849636,0.026424096286942006,0.17220273142679823,0.017602311275817156
F1_HHI_norm_externo,fractional_logit_cluster,log_despesa_pc,-0.06361788091182184,0.22276786377619384,-0.28557925651132626,0.7752003929847042,-0.5002348708260866,0.372999109002443,-0.011275634368300286
F2_HHI_norm_regiao,fractional_logit_cluster,log_populacao,0.08256923012678906,0.04139568663502872,1.9946336644871496,0.04608284914522106,0.0014351752068267054,0.1637032850467514,0.014268769828786554
F2_HHI_norm_regiao,fractional_logit_cluster,log_despesa_pc,-0.09473516157902497,0.2336715979402594,-0.4054200956131819,0.685168741957365,-0.5527230777518573,0.36325275459380735,-0.016371161668678833
F2_HHI_norm_regiao,fractional_logit_cluster,log_n_fornecedores,-0.45831858016170457,0.07453025423790231,-6.149429984483093,7.776190353792267e-10,-0.6043951942266068,-0.3122419660968023,-0.07920192932090664
F2_HHI_norm_regiao,fractional_logit_cluster,log_instr_por_forn,0.07716276629867048,0.13696842262645295,0.5633617210377941,0.5731885974130124,-0.19129040906843836,0.3456159416657793,0.013334480047561437
