rank,score,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15
964,6.3894222037916695,2,3,4,5,11,12,13,14,16,17,20,21,23,24,25
965,6.389390892215696,1,2,3,4,5,6,11,12,13,15,17,19,21,24,25
966,6.389377224735711,1,2,3,4,5,10,11,12,13,14,17,19,21,24,25
967,6.389371519486794,2,3,4,5,9,11,13,15,16,17,19,21,23,24,25
968,6.3893551014876975,2,3,4,5,7,11,12,13,15,17,21,22,23,24,25
969,6.389318848229815,1,2,3,4,5,9,11,13,14,16,17,20,21,24,25
970,6.389297897234278,2,3,5,9,11,12,13,14,15,17,19,21,23,24,25
971,6.3892517459258436,1,2,3,4,5,7,9,11,13,15,17,21,22,24,25
972,6.389247469060098,1,3,4,5,9,11,12,14,15,16,17,20,21,24,25
973,6.389244227992257,1,3,4,5,8,9,11,12,13,15,17,21,23,24,25
974,6.389235606935338,1,3,4,5,9,10,11,13,14,15,17,22,23,24,25
975,6.389229507820911,3,4,5,9,11,12,13,14,15,17,19,21,22,23,25
976,6.3892252807507885,1,2,3,4,5,10,11,12,13,14,15,20,21,24,25
977,6.389217591405742,2,3,4,5,11,13,14,15,17,19,20,21,22,24,25
978,6.389207793663889,1,2,3,4,5,9,11,14,15,17,20,21,23,24,25
979,6.3891734518961965,1,2,3,4,5,10,11,12,13,14,15,16,21,24,25
980,6.389166302183562,2,3,4,5,7,9,11,12,13,14,15,17,22,24,25
981,6.3891657625511495,2,3,4,5,11,13,14,15,16,17,19,21,22,24,25
982,6.389158054384514,1,2,3,4,5,9,11,12,13,15,16,17,20,24,25
983,6.389155964809297,1,2,3,4,5,9,11,14,15,16,17,21,23,24,25
984,6.389143685609345,2,3,4,5,10,11,12,13,15,17,19,21,23,24,25
985,6.389129347630495,2,3,4,5,6,9,11,13,14,15,17,19,21,24,25
986,6.389104681832351,1,2,3,4,5,6,11,12,13,15,17,20,21,24,25
987,6.389091014352366,1,2,3,4,5,10,11,12,13,14,17,20,21,24,25
988,6.389085309103449,2,3,4,5,9,11,13,15,16,17,20,21,23,24,25
989,6.389052852977759,1,2,3,4,5,6,11,12,13,15,16,17,21,24,25
990,6.389040330047491,1,2,3,4,5,9,10,11,13,15,17,19,21,24,25
991,6.389039185497774,1,2,3,4,5,10,11,12,13,14,16,17,21,24,25
992,6.389038471056613,1,3,4,5,8,11,12,13,14,15,17,21,22,24,25
993,6.3890116868509335,2,3,5,9,11,12,13,14,15,17,20,21,23,24,25
994,6.388993087213549,1,3,4,5,6,9,11,12,13,15,21,22,23,24,25
995,6.388979419733564,1,3,4,5,9,10,11,12,13,14,21,22,23,24,25
996,6.388959857996341,2,3,5,9,11,12,13,14,15,16,17,21,23,24,25
997,6.38895488630521,2,3,4,5,9,10,11,12,13,14,15,17,19,24,25
998,6.388943297437566,3,4,5,9,11,12,13,14,15,17,20,21,22,23,25
999,6.388928130931849,1,2,3,4,5,10,11,12,14,15,17,21,23,24,25
1000,6.388926587347661,1,3,4,5,9,11,13,14,15,19,20,21,23,24,25
