fold,config,mean_hits,brier,ge11,n
2,blend_w120_lw0.5,8.844444444444445,0.2404593272044967,18,180
2,blend_w60_lw0.5,8.816666666666666,0.24047102241791124,15,180
3,blend_w120_lw0.25,9.092307692307692,0.24021426478995817,35,260
3,marg_w250_hl125.0_pr100.0,9.080769230769231,0.24040931255170675,25,260
3,pair_w250_pw0.1,9.080769230769231,0.24040931255170675,23,260
3,marg_w250_hl125.0_pr25.0,9.080769230769231,0.24082824779215056,25,260
3,blend_w120_lw0.5,9.069230769230769,0.2401608056704836,32,260
3,marg_w60_hl30.0_pr100.0,9.069230769230769,0.24028721108397408,32,260
3,pair_w250_pw0.25,9.069230769230769,0.24040931255170675,22,260
3,marg_w60_hl30.0_pr25.0,9.069230769230769,0.24146924749081042,32,260
3,marg_w60_hlNone_pr100.0,9.053846153846154,0.24056478365384615,30,260
3,marg_w60_hlNone_pr25.0,9.053846153846154,0.24196284269363855,30,260
3,marg_w120_hl60.0_pr100.0,9.042307692307693,0.24031768545836935,34,260
3,marg_w120_hl60.0_pr25.0,9.042307692307693,0.24110932416269182,34,260
3,marg_w120_hlNone_pr100.0,9.034615384615385,0.24048871582962494,29,260
3,marg_w120_hlNone_pr25.0,9.034615384615385,0.2411864995884021,29,260
3,marg_w250_hlNone_pr100.0,9.03076923076923,0.24052901224489795,28,260
3,marg_w250_hlNone_pr25.0,9.03076923076923,0.24082487171010805,28,260
3,pair_w120_pw0.25,9.026923076923078,0.24031768545836935,35,260
3,pair_w60_pw0.1,9.015384615384615,0.24028721108397408,27,260
3,pair_w120_pw0.1,9.011538461538462,0.24031768545836935,33,260
3,marg_w500_hl250.0_pr100.0,9.007692307692308,0.24039016685415224,28,260
3,marg_w500_hl250.0_pr25.0,9.007692307692308,0.24057875698507894,28,260
3,blend_w60_lw0.5,8.996153846153845,0.24015045641528904,26,260
3,blend_w60_lw0.25,8.984615384615385,0.24019507495816406,23,260
3,marg_w30_hlNone_pr100.0,8.98076923076923,0.2404265634956759,32,260
3,marg_w30_hlNone_pr25.0,8.98076923076923,0.24233734265734266,32,260
3,blend_w30_lw0.5,8.976923076923077,0.2401264534680306,25,260
3,pair_w60_pw0.25,8.976923076923077,0.24028721108397408,24,260
3,repeatmix_rw0.25,8.976923076923077,0.24028721108397408,21,260
3,marg_w30_hl15_pr100.0,8.96923076923077,0.2402122826173532,28,260
3,marg_w30_hl15_pr25.0,8.96923076923077,0.24151089545396975,28,260
3,blend_w60_lw0.75,8.965384615384615,0.240153355455349,25,260
3,blend_w30_lw0.25,8.961538461538462,0.24014897457273743,30,260
3,blend_w120_lw0.75,8.946153846153846,0.2401573080999455,25,260
3,repeatmix_rw0.5,8.942307692307692,0.24028721108397408,21,260
3,repeatmix_rw0.1,8.934615384615384,0.24028721108397408,17,260
3,marg_w500_hlNone_pr100.0,8.919230769230769,0.24043702478632478,33,260
3,marg_w500_hlNone_pr25.0,8.919230769230769,0.24055431390197105,33,260
3,marg_wNone_hlNone_pr100.0,8.915384615384616,0.24020377207834395,26,260
3,marg_wNone_hlNone_pr25.0,8.915384615384616,0.24022943534754657,26,260
3,blend_w30_lw0.75,8.873076923076923,0.2401447193032328,21,260
4,blend_w120_lw0.75,9.14,0.2399916510560942,36,300
4,pair_w120_pw0.1,9.096666666666666,0.2402730225830995,35,300
4,pair_w120_pw0.25,9.09,0.2402730225830995,38,300
4,marg_w250_hlNone_pr100.0,9.083333333333334,0.24024875972789117,34,300
4,marg_w250_hlNone_pr25.0,9.083333333333334,0.24052698269972453,34,300
4,blend_w120_lw0.25,9.08,0.24013051702621524,31,300
4,marg_w120_hl60.0_pr100.0,9.08,0.2402730225830995,34,300
4,marg_w120_hl60.0_pr25.0,9.08,0.24109711998816294,34,300
4,blend_w120_lw0.5,9.073333333333334,0.2400367265172135,31,300
4,marg_w500_hlNone_pr100.0,9.063333333333333,0.24007493481481484,43,300
4,marg_w500_hlNone_pr25.0,9.063333333333333,0.24015273118669692,43,300
4,marg_w120_hlNone_pr100.0,9.063333333333333,0.2404396418732782,34,300
4,marg_w120_hlNone_pr25.0,9.063333333333333,0.24118994847403882,34,300
4,marg_wNone_hlNone_pr100.0,9.06,0.23999529064285738,32,300
4,marg_wNone_hlNone_pr25.0,9.06,0.2400024782570573,32,300
4,marg_w250_hl125.0_pr100.0,9.023333333333333,0.24021411674685936,34,300
4,marg_w250_hl125.0_pr25.0,9.023333333333333,0.24061206435308846,34,300
4,pair_w250_pw0.1,9.02,0.24021411674685936,35,300
4,blend_w60_lw0.75,9.016666666666667,0.24001286202536634,27,300
4,blend_w60_lw0.5,9.01,0.24007227560151412,29,300
4,pair_w250_pw0.25,9.01,0.24021411674685936,31,300
4,repeatmix_rw0.5,9.006666666666666,0.24031662933472656,36,300
4,marg_w500_hl250.0_pr100.0,9.003333333333334,0.24007457838352209,36,300
4,marg_w500_hl250.0_pr25.0,9.003333333333334,0.24021500518425987,36,300
4,repeatmix_rw0.1,9.003333333333334,0.24031662933472656,34,300
4,repeatmix_rw0.25,8.996666666666666,0.24031662933472656,34,300
4,marg_w60_hlNone_pr100.0,8.99,0.24052007291666663,27,300
4,marg_w60_hlNone_pr25.0,8.99,0.24191749019607842,27,300
4,blend_w30_lw0.75,8.976666666666667,0.24001912062614877,29,300
4,blend_w30_lw0.5,8.963333333333333,0.24007734184671842,27,300
4,blend_w60_lw0.25,8.95,0.2401735313713009,21,300
4,pair_w60_pw0.1,8.95,0.24031662933472656,27,300
4,pair_w60_pw0.25,8.943333333333333,0.24031662933472656,26,300
4,marg_w30_hlNone_pr100.0,8.943333333333333,0.24067676528599605,38,300
4,marg_w30_hlNone_pr25.0,8.943333333333333,0.24294787878787877,38,300
4,blend_w30_lw0.25,8.93,0.24016995430456642,34,300
4,marg_w60_hl30.0_pr100.0,8.923333333333334,0.24031662933472656,27,300
4,marg_w60_hl30.0_pr25.0,8.923333333333334,0.24156571929943818,27,300
4,marg_w30_hl15_pr100.0,8.9,0.24029695799969275,31,300
4,marg_w30_hl15_pr25.0,8.9,0.24176233603074432,31,300
5,marg_w500_hlNone_pr100.0,9.113333333333333,0.24021009407407404,40,300
5,marg_w500_hlNone_pr25.0,9.113333333333333,0.240300458473167,40,300
5,marg_w30_hlNone_pr100.0,9.113333333333333,0.24030975936883625,33,300
5,marg_w30_hlNone_pr25.0,9.113333333333333,0.24211402754820938,33,300
5,blend_w120_lw0.5,9.106666666666667,0.240084424884322,38,300
5,marg_wNone_hlNone_pr100.0,9.1,0.23998563933175981,37,300
5,marg_wNone_hlNone_pr25.0,9.1,0.2399907215698124,37,300
5,marg_w30_hl15_pr100.0,9.08,0.24012778851034752,32,300
5,marg_w30_hl15_pr25.0,9.08,0.2413095558293197,32,300
5,blend_w30_lw0.5,9.073333333333334,0.23998971934255953,32,300
5,marg_w60_hl30.0_pr100.0,9.066666666666666,0.24019028342944926,29,300
5,marg_w60_hl30.0_pr25.0,9.066666666666666,0.24127981831521916,29,300
