pct_removed,k,target_strength_severe_50,random_mean,random_p025,random_p975,spec
0.01,96,0.07060333761232349,0.003337612323491656,0.0,0.008985879332477536,lag_baseline
0.05,480,0.32349165596919127,0.018242618741976895,0.008985879332477536,0.029525032092426188,lag_baseline
0.1,959,0.46983311938382544,0.04129268292682927,0.025673940949935817,0.05779845956354297,lag_baseline
0.01,96,0.07060333761232349,0.003413350449293967,0.0,0.008985879332477536,lag_exclui_negativos
0.05,479,0.32349165596919127,0.01834659820282413,0.008985879332477536,0.03080872913992298,lag_exclui_negativos
0.1,958,0.46983311938382544,0.0411591784338896,0.025673940949935817,0.059050064184852376,lag_exclui_negativos
0.01,96,0.07060333761232349,0.0032926829268292686,0.0,0.008985879332477536,valorInicial_amostra_comum
0.05,478,0.32349165596919127,0.018155327342747114,0.008985879332477536,0.03080872913992298,valorInicial_amostra_comum
0.1,956,0.4711168164313222,0.041468549422336326,0.028209242618741977,0.057766367137355584,valorInicial_amostra_comum
0.01,96,0.07060333761232349,0.003301668806161746,0.0,0.008985879332477536,valorGlobal_amostra_comum
0.05,478,0.32605905006418484,0.018164313222079592,0.008985879332477536,0.03080872913992298,valorGlobal_amostra_comum
0.1,956,0.4711168164313222,0.04147625160462131,0.026957637997432605,0.057766367137355584,valorGlobal_amostra_comum
