variaveis,rho,p,n
hhi_norm_vs_log_despesa,0.20344937803842245,2.2924701628913684e-15,1488
hhi_norm_vs_log_populacao,0.20496689872827556,1.4075995180722978e-15,1488
hhi_norm_vs_log_despesa_per_capita,-0.06345143077834586,0.014364214376293665,1488
hhi_norm_vs_procurement_intensity_parcial,-0.01904745554419149,0.4628285758591609,1488
exposicao_strength_vs_log_despesa,0.21267351721110056,1.1141945977061398e-16,1488
exposicao_strength_vs_log_populacao,0.2120060845337847,1.3933779611238136e-16,1488
exposicao_strength_vs_log_despesa_per_capita,-0.04744327991653671,0.06731007495219818,1488
